wavelength,band,device
184.2165527,band_1,Ocean Optics
184.6663577,band_2,Ocean Optics
185.1162027,band_3,Ocean Optics
185.5660878,band_4,Ocean Optics
186.0160131,band_5,Ocean Optics
186.4659786,band_6,Ocean Optics
186.9159842,band_7,Ocean Optics
187.3660299,band_8,Ocean Optics
187.8161159,band_9,Ocean Optics
188.266242,band_10,Ocean Optics
188.7164084,band_11,Ocean Optics
189.166615,band_12,Ocean Optics
189.6168618,band_13,Ocean Optics
190.0671488,band_14,Ocean Optics
190.5174761,band_15,Ocean Optics
190.9678437,band_16,Ocean Optics
191.4182516,band_17,Ocean Optics
191.8686998,band_18,Ocean Optics
192.3191883,band_19,Ocean Optics
192.7697171,band_20,Ocean Optics
193.2202862,band_21,Ocean Optics
193.6708957,band_22,Ocean Optics
194.1215455,band_23,Ocean Optics
194.5722358,band_24,Ocean Optics
195.0229664,band_25,Ocean Optics
195.4737374,band_26,Ocean Optics
195.9245488,band_27,Ocean Optics
196.3754006,band_28,Ocean Optics
196.8262929,band_29,Ocean Optics
197.2772256,band_30,Ocean Optics
197.7281988,band_31,Ocean Optics
198.1792125,band_32,Ocean Optics
198.6302666,band_33,Ocean Optics
199.0813613,band_34,Ocean Optics
199.5324964,band_35,Ocean Optics
199.9836721,band_36,Ocean Optics
200.4348883,band_37,Ocean Optics
200.8861451,band_38,Ocean Optics
201.3374424,band_39,Ocean Optics
201.7887803,band_40,Ocean Optics
202.2401588,band_41,Ocean Optics
202.6915779,band_42,Ocean Optics
203.1430376,band_43,Ocean Optics
203.5945379,band_44,Ocean Optics
204.0460789,band_45,Ocean Optics
204.4976605,band_46,Ocean Optics
204.9492827,band_47,Ocean Optics
205.4009457,band_48,Ocean Optics
205.8526493,band_49,Ocean Optics
206.3043937,band_50,Ocean Optics
206.7561787,band_51,Ocean Optics
207.2080045,band_52,Ocean Optics
207.659871,band_53,Ocean Optics
208.1117783,band_54,Ocean Optics
208.5637263,band_55,Ocean Optics
209.0157151,band_56,Ocean Optics
209.4677447,band_57,Ocean Optics
209.9198151,band_58,Ocean Optics
210.3719263,band_59,Ocean Optics
210.8240783,band_60,Ocean Optics
211.2762712,band_61,Ocean Optics
211.7285049,band_62,Ocean Optics
212.1807795,band_63,Ocean Optics
212.633095,band_64,Ocean Optics
213.0854513,band_65,Ocean Optics
213.5378486,band_66,Ocean Optics
213.9902868,band_67,Ocean Optics
214.4427659,band_68,Ocean Optics
214.8952859,band_69,Ocean Optics
215.3478469,band_70,Ocean Optics
215.8004488,band_71,Ocean Optics
216.2530918,band_72,Ocean Optics
216.7057757,band_73,Ocean Optics
217.1585006,band_74,Ocean Optics
217.6112665,band_75,Ocean Optics
218.0640735,band_76,Ocean Optics
218.5169215,band_77,Ocean Optics
218.9698106,band_78,Ocean Optics
219.4227407,band_79,Ocean Optics
219.8757119,band_80,Ocean Optics
220.3287242,band_81,Ocean Optics
220.7817776,band_82,Ocean Optics
221.2348721,band_83,Ocean Optics
221.6880078,band_84,Ocean Optics
222.1411845,band_85,Ocean Optics
222.5944025,band_86,Ocean Optics
223.0476616,band_87,Ocean Optics
223.5009619,band_88,Ocean Optics
223.9543033,band_89,Ocean Optics
224.407686,band_90,Ocean Optics
224.8611099,band_91,Ocean Optics
225.314575,band_92,Ocean Optics
225.7680814,band_93,Ocean Optics
226.221629,band_94,Ocean Optics
226.6752179,band_95,Ocean Optics
227.1288481,band_96,Ocean Optics
227.5825195,band_97,Ocean Optics
228.0362323,band_98,Ocean Optics
228.4899864,band_99,Ocean Optics
228.9437818,band_100,Ocean Optics
229.3976185,band_101,Ocean Optics
229.8514966,band_102,Ocean Optics
230.3054161,band_103,Ocean Optics
230.759377,band_104,Ocean Optics
231.2133792,band_105,Ocean Optics
231.6674229,band_106,Ocean Optics
232.121508,band_107,Ocean Optics
232.5756345,band_108,Ocean Optics
233.0298024,band_109,Ocean Optics
233.4840118,band_110,Ocean Optics
233.9382627,band_111,Ocean Optics
234.392555,band_112,Ocean Optics
234.8468889,band_113,Ocean Optics
235.3012642,band_114,Ocean Optics
235.7556811,band_115,Ocean Optics
236.2101395,band_116,Ocean Optics
236.6646395,band_117,Ocean Optics
237.119181,band_118,Ocean Optics
237.573764,band_119,Ocean Optics
238.0283887,band_120,Ocean Optics
238.4830549,band_121,Ocean Optics
238.9377628,band_122,Ocean Optics
239.3925123,band_123,Ocean Optics
239.8473034,band_124,Ocean Optics
240.3021361,band_125,Ocean Optics
240.7570105,band_126,Ocean Optics
241.2119266,band_127,Ocean Optics
241.6668844,band_128,Ocean Optics
242.1218839,band_129,Ocean Optics
242.576925,band_130,Ocean Optics
243.0320079,band_131,Ocean Optics
243.4871325,band_132,Ocean Optics
243.9422989,band_133,Ocean Optics
244.397507,band_134,Ocean Optics
244.8527569,band_135,Ocean Optics
245.3080486,band_136,Ocean Optics
245.7633821,band_137,Ocean Optics
246.2187573,band_138,Ocean Optics
246.6741744,band_139,Ocean Optics
247.1296334,band_140,Ocean Optics
247.5851342,band_141,Ocean Optics
248.0406768,band_142,Ocean Optics
248.4962613,band_143,Ocean Optics
248.9518877,band_144,Ocean Optics
249.407556,band_145,Ocean Optics
249.8632662,band_146,Ocean Optics
250.3190183,band_147,Ocean Optics
250.7748124,band_148,Ocean Optics
251.2306484,band_149,Ocean Optics
251.6865264,band_150,Ocean Optics
