Wavelength (nm), Blank 9/13, HNSs1d30, HNSs2d30, HNSs3d30, HNSs4d30, HNSs5d30, blank 9/10, HNSs1, HNSs2, HNSs3, HNSs4, HNSs5, blank 9/17, HNSs6-NA, HNSs7-NA, HNSsav-NA, HNSs8-NA, HNSs9-NA, HNSs10-NA, HNSs6-NAd30, HNSs7-NAd30, HNSsav-NAd30, HNSs8-NAd30, HNSs9-NAd30, HNSs10-NAd30, blank 9/27, HNSs11-NAd30, HNSs12-NAd30, HNSs13-NAd30, HNSs14-NAd30, HNSs15d30, HNSs16d30, HNSs11-NA, HNSs12-NA, HNSs13-NA, HNSs14-NA, HNSs15, HNSs16, blank 10/1, HNss17d30, HNSs18d30, HNSs19d30, HNSs20d30, HNSs21d30, HNSs22d30, blank 10/7, HNSs17, HNSs18, HNSs19, HNSs20, HNSs21, HNSs22, bank 11/3, HNSs23d30, HNSs24d30, HNSs25d30, HNSs26d30, HNSs27d30, HNSs28d30, blank 11/29, HNSs23, HNSs24, HNSs25, HNSs26, HNSs27, HNSs28, blank 12/2, HNSs29, HNSs30, HNSs31, HNSs32, HNSs33, HNSs34, blank 12/6, HNSs29d30, HNSs30d30, HNSs31d30, HNSs32d30, HNSs35, HNSs36, HNSs37, HNSs38, HNSs39, HNSs40, blank 12/29, HNSs35d30, HNSs36d30, HNSs37d30, HNSs38d30, HNSs39d30, HNSs40d30, blank 1/20, HNSs41, HNSs42, HNSs43, HNSs44, HNSs45, HNSs46, blank 1/21, HNSs41d30, HNSs42d30, HNSs43d30, HNSs44d30, HNSs45d30, HNSs46d30
190,-0.015,0.229,0.221,0.221,0.268,0.289,0.025,0.445,0.396,0.285,0.139,0.343,0.032,0.411,0.316,0.418,0.335,0.523,0.271,0.177,0.165,0.183,0.151,0.206,0.142,0.021,0.225,0.21,0.233,0.302,0.23,0.127,0.437,0.319,0.361,0.223,0.383,0.307,0.078,0.357,0.252,0.232,0.287,0.34,0.344,-0.02,0.35,0.221,0.391,0.445,0.397,0.325,0.044,0.319,0.279,0.252,0.242,0.323,0.323,0.091,0.392,0.407,0.403,0.344,0.383,0.411,0.05,0.347,0.4,0.155,0.323,0.368,0.249,0.108,0.24,0.217,0.231,0.227,0.352,0.398,0.447,0.458,0.333,0.417,0.048,0.205,0.228,0.201,0.202,0.24,0.277,-0.016,0.422,0.306,0.337,0.338,0.522,0.387,0.017,0.179,0.199,0.23,0.219,0.126,0.203
191,0.005,0.486,0.501,0.501,0.493,0.507,0.096,0.679,0.701,0.437,0.226,0.717,0.043,0.516,0.58,0.68,0.555,0.64,0.605,0.334,0.349,0.328,0.335,0.356,0.344,-0.014,-0.062,-0.052,-0.065,-0.026,-0.046,-0.065,0.39,0.349,0.533,0.373,0.51,0.41,0.044,0.548,0.524,0.528,0.528,0.53,0.52,-0.036,0.574,0.578,0.609,0.597,0.574,0.56,-0.006,0.528,0.506,0.529,0.518,0.53,0.535,0.035,0.479,0.409,0.114,0.356,0.448,0.404,0.108,0.408,0.493,0.221,0.54,0.523,0.427,0.213,0.569,0.579,0.567,0.569,0.47,0.487,0.393,0.462,0.324,0.498,0.131,0.486,0.466,0.483,0.488,0.486,0.507,-0.037,0.395,0.509,0.507,0.52,0.573,0.505,0.028,0.409,0.394,0.407,0.402,0.381,0.396
192,0.004,1.075,1.072,1.072,1.069,1.069,0.073,1.323,1.254,0.857,0.789,1.252,0.041,1.043,1.193,1.136,1.168,1.188,1.192,0.886,0.884,0.889,0.889,0.877,0.878,0.153,0.123,0.121,0.121,0.111,0.115,0.125,0.859,0.696,0.801,0.969,0.911,0.969,0.027,1.105,1.11,1.105,1.106,1.115,1.106,-0.039,1.133,1.137,1.068,1.086,1.124,1.142,-0.031,1.075,1.081,1.071,1.075,1.071,1.065,0.051,1.018,0.973,0.56,0.898,1.048,0.83,0.131,0.883,1.057,0.75,1.121,1.111,0.93,0.21,1.185,1.181,1.183,1.189,1.049,1.022,0.996,1.027,0.902,1.025,0.119,1.07,1.076,1.075,1.078,1.072,1.059,-0.055,0.832,1.059,0.985,1.048,1.018,1.054,0.026,1.016,1.019,1.01,1.017,1.033,1.024
193,0.003,1.809,1.809,1.809,1.809,1.809,0.014,1.854,1.96,1.594,1.582,1.908,0.015,1.776,1.887,1.741,1.873,1.805,1.892,1.627,1.627,1.627,1.627,1.627,1.627,0.24,0.622,0.622,0.622,0.622,0.622,0.622,1.54,1.222,1.33,1.589,1.607,1.697,-0.015,1.808,1.808,1.808,1.808,1.808,1.808,-0.043,1.861,1.842,1.712,1.745,1.841,1.839,-0.044,1.77,1.77,1.77,1.77,1.77,1.77,0.032,1.791,1.793,1.495,1.528,1.584,1.622,0.088,1.599,1.867,1.573,1.858,1.862,1.731,0.115,1.861,1.861,1.861,1.861,1.829,1.806,1.745,1.725,1.456,1.789,0.056,1.766,1.766,1.766,1.766,1.766,1.766,-0.05,1.615,1.794,1.758,1.837,1.788,1.787,0.025,1.763,1.763,1.763,1.763,1.763,1.763
194,-0.001,2.16,2.16,2.16,2.16,2.16,-0.049,1.853,2.038,1.706,1.84,2.093,-0.024,2.092,2.121,1.946,2.036,1.948,2.128,2.074,2.074,2.074,2.074,2.074,2.074,0.241,1.227,1.227,1.227,1.227,1.227,1.227,1.907,1.4,1.568,1.797,1.658,2.058,-0.048,2.119,2.119,2.119,2.119,2.119,2.119,-0.011,2.105,2.119,1.991,2.003,2.119,2.2,-0.062,2.071,2.071,2.071,2.071,2.071,2.071,0.004,1.986,2.184,1.761,1.745,1.808,1.996,-0.018,1.944,2.097,1.665,2.147,2.124,1.847,-0.08,2.092,2.092,2.092,2.092,1.942,2.089,2.122,2.043,1.688,2.121,-0.057,2.068,2.068,2.068,2.068,2.068,2.068,-0.02,1.925,2.133,1.925,2.067,2.038,2.146,0.005,2.144,2.144,2.144,2.144,2.144,2.144
195,-0.015,2.142,2.142,2.142,2.142,2.142,-0.034,1.752,2.025,1.674,1.718,2.113,-0.008,2.188,2.131,2.023,2.039,1.852,2.185,2.094,2.094,2.094,2.094,2.094,2.094,0.137,1.722,1.722,1.722,1.722,1.722,1.722,2.147,1.57,1.795,1.675,1.611,2.137,-0.01,2.168,2.168,2.168,2.168,2.168,2.168,0.013,2.132,2.173,2.077,2.083,2.157,2.03,0,2.148,2.148,2.148,2.148,2.148,2.148,0.013,1.977,2.117,1.759,1.951,1.783,1.871,0.021,1.904,2.031,1.683,2.271,2.142,1.704,-0.017,2.164,2.164,2.164,2.164,1.857,2.016,2.026,2.064,1.54,2.152,0.005,2.139,2.139,2.139,2.139,2.139,2.139,0.003,1.927,2.157,1.903,2.054,2.113,2.086,0.013,2.163,2.163,2.163,2.163,2.163,2.163
196,-0.009,2.244,2.244,2.244,2.244,2.244,0.009,1.841,2.106,1.677,1.728,2.235,-0.006,2.271,2.109,2.256,2.213,1.988,2.255,2.213,2.213,2.213,2.213,2.213,2.213,-0.013,1.902,1.902,1.902,1.902,1.902,1.902,2.118,1.869,2.061,1.662,1.735,2.229,0.006,2.26,2.26,2.26,2.26,2.26,2.26,-0.006,2.212,2.265,2.167,2.34,2.241,1.976,-0.016,2.23,2.23,2.23,2.23,2.23,2.23,0.017,1.995,2.172,1.668,1.93,1.855,1.853,0.007,1.855,1.986,1.733,2.059,2.107,1.837,0.004,2.257,2.257,2.257,2.257,1.972,2.083,1.994,2.192,1.612,2.287,-0.002,2.229,2.229,2.229,2.229,2.229,2.229,0.002,1.936,2.244,1.991,2.117,2.018,2.133,0.001,2.249,2.249,2.249,2.249,2.249,2.249
197,-0.011,2.352,2.352,2.352,2.352,2.352,0.014,1.848,2.063,1.719,1.933,2.192,0,2.318,2.058,2.33,2.317,2.156,2.232,2.345,2.345,2.345,2.345,2.345,2.345,0.004,2.096,2.096,2.096,2.096,2.096,2.096,2.076,1.881,2.057,2.041,1.915,2.353,0.005,2.373,2.373,2.373,2.373,2.373,2.373,-0.012,2.337,2.369,2.047,2.201,2.366,1.999,-0.003,2.342,2.342,2.342,2.342,2.342,2.342,0.017,2.043,2.316,1.805,1.966,2.095,1.921,0.001,1.772,2.138,1.955,1.982,2.056,1.927,0.006,2.367,2.367,2.367,2.367,2.218,2.182,2.055,2.286,1.865,2.294,-0.009,2.336,2.336,2.336,2.336,2.336,2.336,0.009,2.185,2.255,1.923,2.228,2.103,2.254,-0.012,2.348,2.348,2.348,2.348,2.348,2.348
198,-0.006,2.421,2.421,2.421,2.421,2.421,0.007,1.933,2.147,1.947,2.178,2.079,-0.001,2.235,2.096,2.19,2.212,2.063,2.288,2.414,2.414,2.414,2.414,2.414,2.414,0.003,2.175,2.175,2.175,2.175,2.175,2.175,2.043,1.834,2.037,2.025,2.071,2.352,-0.008,2.439,2.439,2.439,2.439,2.439,2.439,-0.018,2.453,2.43,1.871,1.979,2.439,2.1,0.007,2.412,2.412,2.412,2.412,2.412,2.412,0.003,2.23,2.348,1.945,1.837,1.968,1.992,-0.003,1.9,2.279,2.243,1.841,2.026,2.116,0.003,2.439,2.439,2.439,2.439,2.36,2.299,2.025,2.139,1.783,2.253,-0.003,2.407,2.407,2.407,2.407,2.407,2.407,0.004,2.371,2.177,1.948,2.188,1.892,2.406,-0.009,2.413,2.413,2.413,2.413,2.413,2.413
199,-0.003,2.446,2.446,2.446,2.446,2.446,-0.002,1.937,2.145,1.832,2.185,2.015,0.001,1.995,2.155,2.06,2.142,1.842,2.229,2.444,2.444,2.444,2.444,2.444,2.444,0.008,2.216,2.216,2.216,2.216,2.216,2.216,2.148,2.024,1.861,1.911,1.921,2.245,-0.006,2.459,2.459,2.459,2.459,2.459,2.459,-0.002,2.287,2.461,1.921,1.826,2.47,2.167,0.007,2.436,2.436,2.436,2.436,2.436,2.436,0.001,2.129,2.364,1.764,1.666,1.989,2.043,0.001,2.123,2.171,2.273,1.957,1.953,2.102,-0.005,2.463,2.463,2.463,2.463,2.211,2.354,2.029,1.935,1.814,2.25,0.013,2.439,2.439,2.439,2.439,2.439,2.439,0.001,2.102,2.048,1.748,1.934,1.738,2.385,-0.003,2.441,2.441,2.441,2.441,2.434,2.441
