Species,Value,Date_col,Date_an,Sample_num,Time,Plant
Nitrate-Nitrogen,166.18,12/8/2020,12/11/2020,120820Z2,,
Ammonia-Nitrogen,1.234,12/8/2020,12/11/2020,120820Z2,,
Phosphorus,49.5,12/8/2020,12/11/2020,120820Z2,,
Potassium,234.22,12/8/2020,12/11/2020,120820Z2,,
Calcium,146.04,12/8/2020,12/11/2020,120820Z2,,
Magnesium,45.98,12/8/2020,12/11/2020,120820Z2,,
Sulfate,226.62,12/8/2020,12/11/2020,120820Z2,,
Boron,0.39,12/8/2020,12/11/2020,120820Z2,,
Zinc,0.48,12/8/2020,12/11/2020,120820Z2,,
Manganese,0.49,12/8/2020,12/11/2020,120820Z2,,
Iron,2.54,12/8/2020,12/11/2020,120820Z2,,
Copper,0.36,12/8/2020,12/11/2020,120820Z2,,
Molybdenum,0.1,12/8/2020,12/11/2020,120820Z2,,
pH,6.5,12/8/2020,12/11/2020,120820Z2,,
Conductivity,1.818,12/8/2020,12/11/2020,120820Z2,,
Nitrate-Nitrogen,181.13,12/8/2020,12/11/2020,120820Z5,,
Ammonia-Nitrogen,1.48,12/8/2020,12/11/2020,120820Z5,,
Phosphorus,48.38,12/8/2020,12/11/2020,120820Z5,,
Potassium,238.98,12/8/2020,12/11/2020,120820Z5,,
Calcium,150.46,12/8/2020,12/11/2020,120820Z5,,
Magnesium,44.97,12/8/2020,12/11/2020,120820Z5,,
Sulfate,222.12,12/8/2020,12/11/2020,120820Z5,,
Boron,0.39,12/8/2020,12/11/2020,120820Z5,,
Zinc,0.47,12/8/2020,12/11/2020,120820Z5,,
Manganese,0.47,12/8/2020,12/11/2020,120820Z5,,
Iron,2.51,12/8/2020,12/11/2020,120820Z5,,
Copper,0.36,12/8/2020,12/11/2020,120820Z5,,
Molybdenum,0.1,12/8/2020,12/11/2020,120820Z5,,
pH,6.5,12/8/2020,12/11/2020,120820Z5,,
Conductivity,1.858,12/8/2020,12/11/2020,120820Z5,,
Nitrate-Nitrogen,202.1,12/8/2020,12/11/2020,120820TP,,
Ammonia-Nitrogen,6.72,12/8/2020,12/11/2020,120820TP,,
Phosphorus,24.48,12/8/2020,12/11/2020,120820TP,,
Potassium,171.55,12/8/2020,12/11/2020,120820TP,,
Calcium,171.93,12/8/2020,12/11/2020,120820TP,,
Magnesium,46.58,12/8/2020,12/11/2020,120820TP,,
Sulfate,179.01,12/8/2020,12/11/2020,120820TP,,
Boron,0.43,12/8/2020,12/11/2020,120820TP,,
Zinc,0.27,12/8/2020,12/11/2020,120820TP,,
Manganese,0.6,12/8/2020,12/11/2020,120820TP,,
Iron,2,12/8/2020,12/11/2020,120820TP,,
Copper,0.47,12/8/2020,12/11/2020,120820TP,,
Molybdenum,0.21,12/8/2020,12/11/2020,120820TP,,
pH,6.4,12/8/2020,12/11/2020,120820TP,,
Conductivity,1.934,12/8/2020,12/11/2020,120820TP,,
Nitrate-Nitrogen,147.55,4/2/2021,4/6/2021,HNSr1,23,bibb
Ammonia-Nitrogen,0.01,4/2/2021,4/6/2021,HNSr1,23,bibb
Phosphorus,20.45,4/2/2021,4/6/2021,HNSr1,23,bibb
Potassium,0.04,4/2/2021,4/6/2021,HNSr1,23,bibb
Calcium,193.18,4/2/2021,4/6/2021,HNSr1,23,bibb
Magnesium,49.19,4/2/2021,4/6/2021,HNSr1,23,bibb
Sulfate,220.32,4/2/2021,4/6/2021,HNSr1,23,bibb
Boron,0.35,4/2/2021,4/6/2021,HNSr1,23,bibb
Zinc,0.01,4/2/2021,4/6/2021,HNSr1,23,bibb
Manganese,0.13,4/2/2021,4/6/2021,HNSr1,23,bibb
Iron,2.32,4/2/2021,4/6/2021,HNSr1,23,bibb
Copper,0.67,4/2/2021,4/6/2021,HNSr1,23,bibb
pH,6.6,4/2/2021,4/6/2021,HNSr1,23,bibb
Nitrate-Nitrogen,169.4,4/2/2021,4/6/2021,HNSr2,4,romaine
Ammonia-Nitrogen,13.67,4/2/2021,4/6/2021,HNSr2,4,romaine
Phosphorus,18.6,4/2/2021,4/6/2021,HNSr2,4,romaine
Potassium,110.32,4/2/2021,4/6/2021,HNSr2,4,romaine
Calcium,148.75,4/2/2021,4/6/2021,HNSr2,4,romaine
Magnesium,27.34,4/2/2021,4/6/2021,HNSr2,4,romaine
Sulfate,102.37,4/2/2021,4/6/2021,HNSr2,4,romaine
Boron,0.21,4/2/2021,4/6/2021,HNSr2,4,romaine
Zinc,0.01,4/2/2021,4/6/2021,HNSr2,4,romaine
Manganese,0.31,4/2/2021,4/6/2021,HNSr2,4,romaine
Iron,1.68,4/2/2021,4/6/2021,HNSr2,4,romaine
Copper,0.47,4/2/2021,4/6/2021,HNSr2,4,romaine
pH,6.2,4/2/2021,4/6/2021,HNSr2,4,romaine
Nitrate-Nitrogen,212.5,4/12/2021,4/13/2021,HNSr1,0,none
Ammonia-Nitrogen,6.92,4/12/2021,4/13/2021,HNSr1,0,none
Phosphorus,23.37,4/12/2021,4/13/2021,HNSr1,0,none
Potassium,117.55,4/12/2021,4/13/2021,HNSr1,0,none
Calcium,152.68,4/12/2021,4/13/2021,HNSr1,0,none
Magnesium,33.62,4/12/2021,4/13/2021,HNSr1,0,none
Sulfate,127.21,4/12/2021,4/13/2021,HNSr1,0,none
Boron,0.26,4/12/2021,4/13/2021,HNSr1,0,none
Zinc,0.01,4/12/2021,4/13/2021,HNSr1,0,none
Manganese,0.38,4/12/2021,4/13/2021,HNSr1,0,none
Iron,1.96,4/12/2021,4/13/2021,HNSr1,0,none
Copper,0.35,4/12/2021,4/13/2021,HNSr1,0,none
Molybdenum,0.08,4/12/2021,4/13/2021,HNSr1,0,none
pH,7.1,4/12/2021,4/13/2021,HNSr1,0,none
Nitrate-Nitrogen,221.43,4/12/2021,4/13/2021,HNSr2,11,romaine
Ammonia-Nitrogen,0.01,4/12/2021,4/13/2021,HNSr2,11,romaine
Phosphorus,32.98,4/12/2021,4/13/2021,HNSr2,11,romaine
Potassium,101.19,4/12/2021,4/13/2021,HNSr2,11,romaine
Calcium,159.73,4/12/2021,4/13/2021,HNSr2,11,romaine
Magnesium,30.37,4/12/2021,4/13/2021,HNSr2,11,romaine
Sulfate,109.35,4/12/2021,4/13/2021,HNSr2,11,romaine
Boron,0.22,4/12/2021,4/13/2021,HNSr2,11,romaine
Zinc,0.01,4/12/2021,4/13/2021,HNSr2,11,romaine
Manganese,0.2,4/12/2021,4/13/2021,HNSr2,11,romaine
Iron,1.77,4/12/2021,4/13/2021,HNSr2,11,romaine
Copper,0.51,4/12/2021,4/13/2021,HNSr2,11,romaine
Molybdenum,0.11,4/12/2021,4/13/2021,HNSr2,11,romaine
pH,6.2,4/12/2021,4/13/2021,HNSr2,11,romaine
Nitrate-Nitrogen,149.25,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Ammonia-Nitrogen,0.01,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Phosphorus,35.78,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Potassium,143.29,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Calcium,150.74,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Magnesium,35.31,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Sulfate,127.9,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Boron,0.25,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Zinc,0.01,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Manganese,0.11,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Iron,1.6,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Copper,0.37,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Molybdenum,0.05,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
pH,6.1,4/19/2021,4/21/2021,HNSr1,3,red_oakleaf
Nitrate-Nitrogen,156.73,4/19/2021,4/21/2021,HNSr2,18,romaine
Ammonia-Nitrogen,0.11,4/19/2021,4/21/2021,HNSr2,18,romaine
Phosphorus,27.74,4/19/2021,4/21/2021,HNSr2,18,romaine
Potassium,69.33,4/19/2021,4/21/2021,HNSr2,18,romaine
Calcium,187,4/19/2021,4/21/2021,HNSr2,18,romaine
Magnesium,37.54,4/19/2021,4/21/2021,HNSr2,18,romaine
Sulfate,134.94,4/19/2021,4/21/2021,HNSr2,18,romaine
Boron,0.27,4/19/2021,4/21/2021,HNSr2,18,romaine
Zinc,0.01,4/19/2021,4/21/2021,HNSr2,18,romaine
Manganese,0.17,4/19/2021,4/21/2021,HNSr2,18,romaine
Iron,2.24,4/19/2021,4/21/2021,HNSr2,18,romaine
Copper,0.62,4/19/2021,4/21/2021,HNSr2,18,romaine
Molybdenum,0.09,4/19/2021,4/21/2021,HNSr2,18,romaine
pH,6.3,4/19/2021,4/21/2021,HNSr2,18,romaine
Nitrate-Nitrogen,158.13,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Ammonia-Nitrogen,0.06,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Phosphorus,29.14,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Potassium,25.39,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Calcium,189.91,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Magnesium,44.18,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Sulfate,165.41,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Boron,0.28,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Zinc,0.12,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Manganese,0.05,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Iron,1.63,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Copper,0.52,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Molybdenum,0.08,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
pH,6.2,5/3/2021,5/5/2021,HNSr1,17,red_oakleaf
Nitrate-Nitrogen,161.15,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Ammonia-Nitrogen,6.51,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Phosphorus,27.01,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Potassium,126.74,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Calcium,163.76,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Magnesium,40.63,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Sulfate,149.14,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Boron,0.3,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Zinc,0.06,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Manganese,0.31,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Iron,1.72,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Copper,0.48,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Molybdenum,0.08,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
pH,6,5/3/2021,5/5/2021,HNSr2,7,crystal_lettuce
Nitrate-Nitrogen,198.28,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Ammonia-Nitrogen,0.06,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
Phosphorus,18.07,5/10/2021,5/14/2021,HNSr1,24,red_oakleaf
