Lab Number,ID#,pH,EC,B,Ca,Cu,Fe,K,Mg,Mn,Mo,P,S,Zn,TKN,NH4N,NO3N
R310799,1,3.46,1.69,0.57,37.97,0.31,4.16,258.67,76.18,0.40,0.06,18.59,103.56,0.35,-0.19,3.38,120.91
R310800,2,3.44,1.85,0.51,143.56,0.29,0.74,220.35,32.62,1.64,-0.03,98.90,44.45,1.82,-0.21,10.03,150.53
R310801,3,7.69,1.84,0.21,178.16,0.43,4.77,124.36,51.22,0.30,0.00,68.43,72.91,0.99,-0.21,11.94,159.21
R310802,4,5.01,2.41,0.06,281.85,0.14,6.59,261.84,99.17,1.21,0.22,44.73,104.44,0.54,-0.22,13.77,226.56
R310803,5,5.26,2.63,0.57,233.29,0.36,0.94,293.32,47.32,0.36,0.10,46.23,66.45,0.04,-0.22,16.10,254.87
R310804,6,4.61,1.02,0.42,96.78,0.44,4.97,46.23,40.86,0.14,-0.05,24.16,55.31,0.71,-0.23,6.83,85.70
R310805,7,5.39,2.20,0.43,199.96,0.33,0.15,228.71,48.98,1.25,0.04,34.27,73.59,0.64,-0.22,12.82,209.68
R310806,8,4.83,2.12,0.45,152.90,0.52,2.07,279.66,59.00,0.32,0.08,68.70,82.86,0.02,-0.21,10.63,190.94
R310807,9,4.66,1.83,0.26,81.89,0.24,3.48,310.43,61.77,1.06,-0.03,91.86,86.41,0.95,-0.22,5.88,134.98
R310808,10,5.03,1.71,0.14,113.67,0.23,1.69,300.80,11.37,1.32,-0.02,47.70,16.03,0.07,-0.22,8.03,179.80
R310809,11,4.61,1.68,0.22,161.37,0.19,3.14,150.53,46.81,0.17,-0.05,86.68,62.20,0.41,-0.22,10.83,141.62
R310810,12,4.51,2.31,0.23,233.03,0.22,4.37,191.67,65.37,0.12,-0.04,72.73,89.06,0.74,-0.21,15.65,215.10
R310811,13,4.51,2.05,0.30,230.96,0.11,4.56,202.46,3.67,0.33,0.09,82.86,3.91,0.85,-0.22,15.60,214.28
R310812,14,4.59,2.13,0.35,202.67,0.28,4.33,217.88,36.48,1.46,-0.03,49.08,49.27,0.04,-0.23,13.99,212.06
R310813,15,6.60,2.63,0.12,258.11,0.65,3.30,243.06,60.37,1.44,-0.01,50.60,81.73,0.69,-0.22,16.28,258.01
R310814,16,7.76,1.42,0.13,55.44,0.65,0.29,169.30,80.69,1.23,0.01,7.92,106.72,0.44,-0.22,1.08,78.37
R310815,17,7.54,1.91,0.69,218.06,0.49,0.01,149.26,23.14,0.62,0.00,18.29,26.76,0.14,-0.23,12.03,189.18
R310816,18,6.24,1.40,0.17,48.51,0.69,0.18,182.13,84.77,0.23,0.01,51.22,111.70,0.80,-0.21,0.68,75.71
R310817,19,6.79,1.62,0.24,94.07,0.21,1.67,275.70,28.25,0.87,0.01,44.16,35.88,0.97,-0.22,4.54,141.86
R310818,20,7.64,2.14,0.07,155.94,0.24,2.29,245.23,65.57,1.31,0.07,4.24,85.08,0.33,-0.19,8.08,182.62
R310819,21,7.22,0.99,0.22,106.31,0.56,1.29,95.05,23.71,0.36,0.00,46.83,27.31,0.50,-0.20,6.02,73.25
R310820,22,6.80,2.06,0.29,264.50,0.56,-0.01,118.86,56.24,0.59,-0.04,70.78,70.88,0.22,-0.22,15.13,198.76
R310821,23,6.57,2.30,0.43,208.68,0.62,0.52,275.70,40.59,1.53,0.00,59.28,50.88,0.04,-0.21,11.43,223.07
R310822,24,6.33,1.60,0.21,81.29,0.47,2.25,280.66,35.79,0.81,-0.05,79.94,45.53,0.52,-0.23,2.87,125.47
R310823,25,6.68,2.20,0.14,181.07,0.49,3.94,239.85,81.61,1.35,-0.03,70.35,107.97,0.76,-0.23,11.13,179.35
R310824,26,6.33,2.01,0.04,240.96,0.24,3.66,150.77,28.43,1.44,-0.02,65.74,34.49,0.95,-0.22,13.98,198.80
R310825,27,7.56,2.55,0.28,240.43,0.17,2.77,201.53,86.64,1.50,0.00,24.71,119.18,0.33,-0.23,13.28,220.50
R310826,28,5.95,1.33,0.39,70.18,0.62,3.83,225.98,28.90,0.95,0.12,62.02,36.34,0.47,-0.22,2.41,106.34
R310827,29,7.60,1.94,0.26,236.18,0.38,3.89,42.03,68.62,0.80,0.02,8.57,93.59,0.50,-0.22,12.74,173.91
R310828,30,7.41,1.71,0.62,63.02,0.50,2.17,261.51,82.22,1.43,-0.01,38.79,109.97,0.62,-0.21,1.77,105.33
R310829,31,6.04,2.28,0.04,261.81,0.62,4.04,91.83,76.07,0.42,-0.01,35.72,99.23,0.46,-0.21,15.01,214.66
R310830,32,7.23,1.67,0.29,154.96,0.34,0.32,224.34,10.42,0.09,-0.03,38.20,9.31,0.55,0.51,9.38,167.82
R310831,33,7.21,1.14,0.20,48.74,0.32,1.44,174.42,37.03,0.19,0.06,12.49,45.96,0.70,-0.22,0.54,85.82
R310832,34,6.60,1.67,0.58,195.04,0.32,3.55,132.35,11.58,0.17,0.04,45.41,10.80,0.79,0.08,13.62,180.89
R310833,35,6.72,2.14,0.26,161.34,0.31,1.14,277.96,55.60,1.42,0.01,59.93,73.28,0.54,-0.23,8.96,187.98
R310834,36,6.56,1.27,0.02,112.14,0.30,1.34,92.07,39.95,1.52,0.00,33.70,51.00,0.97,-0.22,5.24,103.46
R310835,37,6.75,1.92,0.21,201.29,0.37,1.69,125.15,58.47,1.34,-0.04,50.04,74.74,0.04,-0.22,13.23,176.04
R310836,38,7.80,1.20,0.60,63.10,0.37,3.97,113.44,62.87,0.23,-0.01,0.05,81.32,0.61,-0.22,1.60,72.51
R310837,39,7.02,2.29,0.61,269.23,0.40,3.37,104.78,59.69,0.79,0.08,30.36,75.84,0.06,-0.23,17.11,223.98
R310838,40,6.30,1.52,0.66,136.31,0.50,0.89,170.45,28.30,1.31,0.05,74.73,35.18,0.08,-0.23,8.15,128.41
R310839,41,5.84,1.58,0.44,170.38,0.30,3.52,167.30,8.28,1.07,0.00,57.18,8.16,1.02,-0.20,9.88,168.50
R310840,42,7.18,2.10,0.49,255.31,0.73,0.96,142.94,21.59,0.43,0.00,18.37,24.84,0.07,-0.22,15.05,227.91
R310841,43,6.80,2.39,0.60,237.26,0.58,0.29,182.89,66.70,1.16,0.07,26.91,88.34,0.61,-0.22,14.10,229.18
R310842,44,6.67,2.54,0.68,218.09,0.48,0.55,298.02,53.19,1.02,0.01,50.65,68.04,0.75,-0.23,14.85,239.92
R310843,45,7.25,1.09,0.29,74.13,0.58,4.31,128.76,42.01,0.93,0.00,42.83,54.26,0.07,-0.23,3.09,66.82
R310844,46,7.67,1.32,0.07,122.33,0.62,1.21,103.53,40.97,0.63,0.13,23.33,51.18,0.75,-0.23,6.49,105.88
