output,species,iteration,value
y_hat_test,Nitrate-N,0,160.54403686523438
y_hat_test,Nitrate-N,0,177.53961181640625
y_hat_test,Nitrate-N,0,199.3904571533203
y_hat_test,Nitrate-N,0,166.99717712402344
y_hat_test,Nitrate-N,0,153.35845947265625
y_hat_test,Nitrate-N,0,179.87155151367188
y_hat_test,Nitrate-N,0,174.126708984375
y_hat_test,Nitrate-N,0,213.63345336914062
y_hat_test,Nitrate-N,0,195.1776885986328
y_hat_test,Nitrate-N,0,188.4158477783203
y_hat_test,Nitrate-N,0,185.32057189941406
y_hat_test,Nitrate-N,0,215.01438903808594
y_hat_test,Nitrate-N,0,166.80215454101562
y_hat_test,Nitrate-N,0,160.5609893798828
y_hat_test,Nitrate-N,0,188.57664489746094
y_hat_train,Nitrate-N,0,168.55137634277344
y_hat_train,Nitrate-N,0,164.1038055419922
y_hat_train,Nitrate-N,0,159.67381286621094
y_hat_train,Nitrate-N,0,196.2216033935547
y_hat_train,Nitrate-N,0,168.04080200195312
y_hat_train,Nitrate-N,0,172.4724578857422
y_hat_train,Nitrate-N,0,165.06390380859375
y_hat_train,Nitrate-N,0,178.453125
y_hat_train,Nitrate-N,0,182.59930419921875
y_hat_train,Nitrate-N,0,184.6191864013672
y_hat_train,Nitrate-N,0,175.56454467773438
y_hat_train,Nitrate-N,0,182.6520233154297
y_hat_train,Nitrate-N,0,171.9275360107422
y_hat_train,Nitrate-N,0,224.06578063964844
y_hat_train,Nitrate-N,0,186.487548828125
y_hat_train,Nitrate-N,0,217.36917114257812
y_hat_train,Nitrate-N,0,138.07476806640625
y_hat_train,Nitrate-N,0,199.45660400390625
y_hat_train,Nitrate-N,0,188.58004760742188
y_hat_train,Nitrate-N,0,180.88392639160156
y_hat_train,Nitrate-N,0,160.79360961914062
y_hat_train,Nitrate-N,0,163.16778564453125
y_hat_train,Nitrate-N,0,207.4186248779297
y_hat_train,Nitrate-N,0,220.65843200683594
y_hat_train,Nitrate-N,0,147.4880828857422
y_hat_train,Nitrate-N,0,224.37184143066406
y_hat_train,Nitrate-N,0,164.8079376220703
y_hat_train,Nitrate-N,0,188.14410400390625
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,190.75
y_true_test,Nitrate-N,0,189.35
y_true_test,Nitrate-N,0,195.28
y_true_test,Nitrate-N,0,215.0
y_true_test,Nitrate-N,0,192.3
y_true_test,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,179.53
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,183.05
y_true_test,Nitrate-N,0,170.45
y_true_test,Nitrate-N,0,152.3
y_true_test,Nitrate-N,0,284.78
test_ind,Nitrate-N,0,59.0
test_ind,Nitrate-N,0,60.0
test_ind,Nitrate-N,0,26.0
test_ind,Nitrate-N,0,61.0
test_ind,Nitrate-N,0,62.0
test_ind,Nitrate-N,0,18.0
test_ind,Nitrate-N,0,25.0
test_ind,Nitrate-N,0,30.0
test_ind,Nitrate-N,0,42.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,16.0
test_ind,Nitrate-N,0,55.0
test_ind,Nitrate-N,0,57.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,56.0
train_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,8.0
train_ind,Nitrate-N,0,38.0
train_ind,Nitrate-N,0,43.0
train_ind,Nitrate-N,0,22.0
train_ind,Nitrate-N,0,12.0
train_ind,Nitrate-N,0,35.0
train_ind,Nitrate-N,0,10.0
train_ind,Nitrate-N,0,33.0
train_ind,Nitrate-N,0,17.0
train_ind,Nitrate-N,0,41.0
train_ind,Nitrate-N,0,51.0
train_ind,Nitrate-N,0,54.0
train_ind,Nitrate-N,0,27.0
train_ind,Nitrate-N,0,11.0
train_ind,Nitrate-N,0,15.0
train_ind,Nitrate-N,0,29.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,6.0
train_ind,Nitrate-N,0,13.0
train_ind,Nitrate-N,0,49.0
train_ind,Nitrate-N,0,52.0
train_ind,Nitrate-N,0,5.0
train_ind,Nitrate-N,0,48.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,46.0
test_rsq,Nitrate-N,0,-0.058953117299670454
train_rsq,Nitrate-N,0,0.9797871876332681
test_rmse,Nitrate-N,0,34.304362698630364
train_rmse,Nitrate-N,0,3.359756468513695
y_hat_test,Nitrate-N,1,227.7269287109375
y_hat_test,Nitrate-N,1,264.65142822265625
