output,species,iteration,value
y_hat_test,Nitrate-N,0,183.84149169921875
y_hat_test,Nitrate-N,0,211.67369079589844
y_hat_test,Nitrate-N,0,185.4217987060547
y_hat_test,Nitrate-N,0,186.4351806640625
y_hat_test,Nitrate-N,0,166.5318603515625
y_hat_test,Nitrate-N,0,161.64630126953125
y_hat_test,Nitrate-N,0,173.7105255126953
y_hat_test,Nitrate-N,0,211.45220947265625
y_hat_test,Nitrate-N,0,193.60629272460938
y_hat_test,Nitrate-N,0,167.1356201171875
y_hat_test,Nitrate-N,0,186.58592224121094
y_hat_test,Nitrate-N,0,210.8125457763672
y_hat_test,Nitrate-N,0,158.05685424804688
y_hat_test,Nitrate-N,0,164.57666015625
y_hat_test,Nitrate-N,0,196.8133087158203
y_hat_train,Nitrate-N,0,169.43190002441406
y_hat_train,Nitrate-N,0,167.620361328125
y_hat_train,Nitrate-N,0,153.7533721923828
y_hat_train,Nitrate-N,0,197.02906799316406
y_hat_train,Nitrate-N,0,171.84066772460938
y_hat_train,Nitrate-N,0,178.41604614257812
y_hat_train,Nitrate-N,0,164.37428283691406
y_hat_train,Nitrate-N,0,176.48619079589844
y_hat_train,Nitrate-N,0,189.62979125976562
y_hat_train,Nitrate-N,0,188.52952575683594
y_hat_train,Nitrate-N,0,183.80967712402344
y_hat_train,Nitrate-N,0,185.15655517578125
y_hat_train,Nitrate-N,0,177.35780334472656
y_hat_train,Nitrate-N,0,230.3585968017578
y_hat_train,Nitrate-N,0,202.39898681640625
y_hat_train,Nitrate-N,0,210.9774627685547
y_hat_train,Nitrate-N,0,131.66941833496094
y_hat_train,Nitrate-N,0,197.84326171875
y_hat_train,Nitrate-N,0,190.1138916015625
y_hat_train,Nitrate-N,0,189.04747009277344
y_hat_train,Nitrate-N,0,168.7886199951172
y_hat_train,Nitrate-N,0,168.3376007080078
y_hat_train,Nitrate-N,0,212.59698486328125
y_hat_train,Nitrate-N,0,215.65687561035156
y_hat_train,Nitrate-N,0,150.678955078125
y_hat_train,Nitrate-N,0,228.56747436523438
y_hat_train,Nitrate-N,0,177.7655487060547
y_hat_train,Nitrate-N,0,191.46726989746094
y_hat_train,Nitrate-N,0,121.15762329101562
y_hat_train,Nitrate-N,0,151.3016357421875
y_hat_train,Nitrate-N,0,159.78567504882812
y_hat_train,Nitrate-N,0,222.96176147460938
y_hat_train,Nitrate-N,0,253.41368103027344
y_hat_train,Nitrate-N,0,87.4275131225586
y_hat_train,Nitrate-N,0,219.11819458007812
y_hat_train,Nitrate-N,0,194.0175018310547
y_hat_train,Nitrate-N,0,133.00662231445312
y_hat_train,Nitrate-N,0,170.35997009277344
y_hat_train,Nitrate-N,0,140.53359985351562
y_hat_train,Nitrate-N,0,216.95957946777344
y_hat_train,Nitrate-N,0,220.1869659423828
y_hat_train,Nitrate-N,0,212.50167846679688
y_hat_train,Nitrate-N,0,249.81629943847656
y_hat_train,Nitrate-N,0,83.82552337646484
y_hat_train,Nitrate-N,0,194.7350616455078
y_hat_train,Nitrate-N,0,80.61920928955078
y_hat_train,Nitrate-N,0,141.5589599609375
y_hat_train,Nitrate-N,0,181.92868041992188
y_hat_train,Nitrate-N,0,74.68637084960938
y_hat_train,Nitrate-N,0,196.974365234375
y_hat_train,Nitrate-N,0,226.52769470214844
y_hat_train,Nitrate-N,0,126.77161407470703
y_hat_train,Nitrate-N,0,181.7273712158203
y_hat_train,Nitrate-N,0,204.50852966308594
y_hat_train,Nitrate-N,0,219.15084838867188
y_hat_train,Nitrate-N,0,108.7042465209961
y_hat_train,Nitrate-N,0,175.301513671875
y_hat_train,Nitrate-N,0,111.66613006591797
y_hat_train,Nitrate-N,0,216.61163330078125
y_hat_train,Nitrate-N,0,175.83657836914062
y_hat_train,Nitrate-N,0,84.25667572021484
y_hat_train,Nitrate-N,0,186.50918579101562
y_hat_train,Nitrate-N,0,186.5374755859375
y_hat_train,Nitrate-N,0,101.0376968383789
y_hat_train,Nitrate-N,0,176.20205688476562
y_hat_train,Nitrate-N,0,74.97616577148438
y_hat_train,Nitrate-N,0,223.6927490234375
y_hat_train,Nitrate-N,0,130.01019287109375
y_hat_train,Nitrate-N,0,172.73419189453125
y_hat_train,Nitrate-N,0,238.5651397705078
y_hat_train,Nitrate-N,0,229.00711059570312
y_hat_train,Nitrate-N,0,240.93731689453125
y_hat_train,Nitrate-N,0,68.50245666503906
y_hat_train,Nitrate-N,0,104.7502670288086
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,190.75
y_true_train,Nitrate-N,0,120.91
y_true_train,Nitrate-N,0,150.53
y_true_train,Nitrate-N,0,159.21
y_true_train,Nitrate-N,0,226.56
y_true_train,Nitrate-N,0,254.87
y_true_train,Nitrate-N,0,85.7
y_true_train,Nitrate-N,0,209.68
y_true_train,Nitrate-N,0,190.94
y_true_train,Nitrate-N,0,134.98
y_true_train,Nitrate-N,0,179.8
y_true_train,Nitrate-N,0,141.62
y_true_train,Nitrate-N,0,215.1
y_true_train,Nitrate-N,0,214.28
y_true_train,Nitrate-N,0,212.06
y_true_train,Nitrate-N,0,258.01
y_true_train,Nitrate-N,0,78.37
y_true_train,Nitrate-N,0,189.18
y_true_train,Nitrate-N,0,75.71
y_true_train,Nitrate-N,0,141.86
y_true_train,Nitrate-N,0,182.62
y_true_train,Nitrate-N,0,73.25
y_true_train,Nitrate-N,0,198.76
y_true_train,Nitrate-N,0,223.07
y_true_train,Nitrate-N,0,125.47
y_true_train,Nitrate-N,0,179.35
y_true_train,Nitrate-N,0,198.8
y_true_train,Nitrate-N,0,220.5
y_true_train,Nitrate-N,0,106.34
y_true_train,Nitrate-N,0,173.91
y_true_train,Nitrate-N,0,105.33
y_true_train,Nitrate-N,0,214.66
y_true_train,Nitrate-N,0,167.82
y_true_train,Nitrate-N,0,85.82
y_true_train,Nitrate-N,0,180.89
y_true_train,Nitrate-N,0,187.98
y_true_train,Nitrate-N,0,103.46
y_true_train,Nitrate-N,0,176.04
y_true_train,Nitrate-N,0,72.51
y_true_train,Nitrate-N,0,223.98
y_true_train,Nitrate-N,0,128.41
y_true_train,Nitrate-N,0,168.5
y_true_train,Nitrate-N,0,227.91
y_true_train,Nitrate-N,0,229.18
y_true_train,Nitrate-N,0,239.92
