output,species,iteration,value
y_hat_test,Sulfate,0,154.3206024169922
y_hat_test,Sulfate,0,219.9936065673828
y_hat_test,Sulfate,0,220.37405395507812
y_hat_test,Sulfate,0,228.10348510742188
y_hat_test,Sulfate,0,197.73936462402344
y_hat_test,Sulfate,0,190.76626586914062
y_hat_test,Sulfate,0,187.64955139160156
y_hat_test,Sulfate,0,227.67343139648438
y_hat_test,Sulfate,0,198.5315399169922
y_hat_test,Sulfate,0,175.19703674316406
y_hat_test,Sulfate,0,199.79446411132812
y_hat_test,Sulfate,0,198.1089630126953
y_hat_test,Sulfate,0,203.62783813476562
y_hat_test,Sulfate,0,151.6173858642578
y_hat_test,Sulfate,0,183.33351135253906
y_hat_train,Sulfate,0,104.68714904785156
y_hat_train,Sulfate,0,186.05455017089844
y_hat_train,Sulfate,0,163.98062133789062
y_hat_train,Sulfate,0,207.2335662841797
y_hat_train,Sulfate,0,172.10997009277344
y_hat_train,Sulfate,0,176.2540740966797
y_hat_train,Sulfate,0,157.90245056152344
y_hat_train,Sulfate,0,140.53590393066406
y_hat_train,Sulfate,0,224.85794067382812
y_hat_train,Sulfate,0,214.3809814453125
y_hat_train,Sulfate,0,194.44410705566406
y_hat_train,Sulfate,0,179.00148010253906
y_hat_train,Sulfate,0,168.6389617919922
y_hat_train,Sulfate,0,243.7377166748047
y_hat_train,Sulfate,0,184.27249145507812
y_hat_train,Sulfate,0,164.21604919433594
y_hat_train,Sulfate,0,139.33523559570312
y_hat_train,Sulfate,0,193.5583953857422
y_hat_train,Sulfate,0,170.18789672851562
y_hat_train,Sulfate,0,171.1272735595703
y_hat_train,Sulfate,0,152.22769165039062
y_hat_train,Sulfate,0,160.01739501953125
y_hat_train,Sulfate,0,174.36183166503906
y_hat_train,Sulfate,0,163.83187866210938
y_hat_train,Sulfate,0,131.26324462890625
y_hat_train,Sulfate,0,253.872314453125
y_hat_train,Sulfate,0,202.2042999267578
y_hat_train,Sulfate,0,180.0023193359375
y_true_train,Sulfate,0,102.37
y_true_train,Sulfate,0,186.47
y_true_train,Sulfate,0,165.41
y_true_train,Sulfate,0,207.74
y_true_train,Sulfate,0,171.01
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,225.27
y_true_train,Sulfate,0,213.46
y_true_train,Sulfate,0,193.75
y_true_train,Sulfate,0,180.48
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,247.13
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,139.88
y_true_train,Sulfate,0,191.44
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,127.9
y_true_train,Sulfate,0,257.75
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,181.44
y_true_test,Sulfate,0,158.04
y_true_test,Sulfate,0,225.9
y_true_test,Sulfate,0,238.21
y_true_test,Sulfate,0,219.07
y_true_test,Sulfate,0,169.24
y_true_test,Sulfate,0,180.99
y_true_test,Sulfate,0,181.5
y_true_test,Sulfate,0,231.92
y_true_test,Sulfate,0,201.03
y_true_test,Sulfate,0,164.78
y_true_test,Sulfate,0,198.96
y_true_test,Sulfate,0,177.03
y_true_test,Sulfate,0,183.77
y_true_test,Sulfate,0,155.31
y_true_test,Sulfate,0,179.97
test_ind,Sulfate,0,59.0
test_ind,Sulfate,0,60.0
test_ind,Sulfate,0,26.0
test_ind,Sulfate,0,61.0
test_ind,Sulfate,0,62.0
test_ind,Sulfate,0,18.0
test_ind,Sulfate,0,25.0
test_ind,Sulfate,0,30.0
test_ind,Sulfate,0,42.0
test_ind,Sulfate,0,32.0
test_ind,Sulfate,0,16.0
test_ind,Sulfate,0,55.0
test_ind,Sulfate,0,57.0
test_ind,Sulfate,0,20.0
test_ind,Sulfate,0,28.0
train_ind,Sulfate,0,1.0
train_ind,Sulfate,0,56.0
train_ind,Sulfate,0,7.0
