output,species,iteration,value
y_hat_test,Sulfate,0,174.57759999999988
y_hat_test,Sulfate,0,220.8443
y_hat_test,Sulfate,0,226.41769999999985
y_hat_test,Sulfate,0,205.81689999999995
y_hat_test,Sulfate,0,175.81199999999978
y_hat_test,Sulfate,0,185.87429999999983
y_hat_test,Sulfate,0,183.49029999999996
y_hat_test,Sulfate,0,218.2846999999999
y_hat_test,Sulfate,0,191.54600000000005
y_hat_test,Sulfate,0,174.30550000000002
y_hat_test,Sulfate,0,181.67389999999992
y_hat_test,Sulfate,0,174.39959999999988
y_hat_test,Sulfate,0,186.10029999999998
y_hat_test,Sulfate,0,166.3970999999999
y_hat_test,Sulfate,0,213.84109999999998
y_hat_train,Sulfate,0,182.12240000000003
y_hat_train,Sulfate,0,168.52960000000007
y_hat_train,Sulfate,0,120.74690000000002
y_hat_train,Sulfate,0,194.97999999999985
y_hat_train,Sulfate,0,173.47440000000006
y_hat_train,Sulfate,0,188.4599
y_hat_train,Sulfate,0,189.10959999999986
y_hat_train,Sulfate,0,133.14269999999985
y_hat_train,Sulfate,0,224.2742000000001
y_hat_train,Sulfate,0,167.7139999999998
y_hat_train,Sulfate,0,158.49179999999987
y_hat_train,Sulfate,0,182.27999999999986
y_hat_train,Sulfate,0,139.14749999999978
y_hat_train,Sulfate,0,203.75309999999962
y_hat_train,Sulfate,0,172.04219999999975
y_hat_train,Sulfate,0,203.4657999999996
y_hat_train,Sulfate,0,199.17559999999997
y_hat_train,Sulfate,0,175.1223999999998
y_hat_train,Sulfate,0,158.54269999999988
y_hat_train,Sulfate,0,172.4911999999999
y_hat_train,Sulfate,0,142.47850000000005
y_hat_train,Sulfate,0,162.84209999999996
y_hat_train,Sulfate,0,181.22909999999996
y_hat_train,Sulfate,0,175.08039999999974
y_hat_train,Sulfate,0,178.35120000000006
y_hat_train,Sulfate,0,194.5671000000001
y_hat_train,Sulfate,0,167.65079999999998
y_hat_train,Sulfate,0,161.18589999999986
y_hat_train,Sulfate,0,134.7125999999998
y_hat_train,Sulfate,0,232.14299999999977
y_hat_train,Sulfate,0,150.81999999999988
y_hat_train,Sulfate,0,234.79520000000008
y_hat_train,Sulfate,0,180.18720000000008
y_hat_train,Sulfate,0,234.51550000000003
y_hat_train,Sulfate,0,173.97490000000002
y_true_train,Sulfate,0,181.44
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,102.37
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,193.75
y_true_train,Sulfate,0,191.44
y_true_train,Sulfate,0,127.9
y_true_train,Sulfate,0,225.27
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,150.4
y_true_train,Sulfate,0,186.47
y_true_train,Sulfate,0,139.88
y_true_train,Sulfate,0,213.46
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,209.96
y_true_train,Sulfate,0,206.6
y_true_train,Sulfate,0,180.48
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,134.94
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,181.74
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,207.74
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,165.41
y_true_train,Sulfate,0,127.21
y_true_train,Sulfate,0,237.64
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,247.13
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,257.75
y_true_train,Sulfate,0,171.01
y_true_test,Sulfate,0,158.04
y_true_test,Sulfate,0,225.9
y_true_test,Sulfate,0,238.21
y_true_test,Sulfate,0,219.07
y_true_test,Sulfate,0,169.24
y_true_test,Sulfate,0,180.99
y_true_test,Sulfate,0,181.5
y_true_test,Sulfate,0,231.92
y_true_test,Sulfate,0,201.03
y_true_test,Sulfate,0,164.78
y_true_test,Sulfate,0,198.96
y_true_test,Sulfate,0,177.03
y_true_test,Sulfate,0,183.77
y_true_test,Sulfate,0,155.31
y_true_test,Sulfate,0,179.97
test_ind,Sulfate,0,59.0
test_ind,Sulfate,0,60.0
test_ind,Sulfate,0,26.0
test_ind,Sulfate,0,61.0
test_ind,Sulfate,0,62.0
test_ind,Sulfate,0,18.0
test_ind,Sulfate,0,25.0
test_ind,Sulfate,0,30.0
test_ind,Sulfate,0,42.0
test_ind,Sulfate,0,32.0
test_ind,Sulfate,0,16.0
test_ind,Sulfate,0,55.0
test_ind,Sulfate,0,57.0
test_ind,Sulfate,0,20.0
test_ind,Sulfate,0,28.0
train_ind,Sulfate,0,46.0
train_ind,Sulfate,0,27.0
train_ind,Sulfate,0,1.0
train_ind,Sulfate,0,24.0
train_ind,Sulfate,0,31.0
train_ind,Sulfate,0,33.0
train_ind,Sulfate,0,15.0
train_ind,Sulfate,0,5.0
train_ind,Sulfate,0,35.0
train_ind,Sulfate,0,52.0
train_ind,Sulfate,0,14.0
train_ind,Sulfate,0,56.0
train_ind,Sulfate,0,11.0
train_ind,Sulfate,0,10.0
train_ind,Sulfate,0,41.0
train_ind,Sulfate,0,34.0
train_ind,Sulfate,0,45.0
train_ind,Sulfate,0,17.0
train_ind,Sulfate,0,6.0
train_ind,Sulfate,0,49.0
train_ind,Sulfate,0,4.0
train_ind,Sulfate,0,13.0
train_ind,Sulfate,0,40.0
train_ind,Sulfate,0,29.0
train_ind,Sulfate,0,54.0
train_ind,Sulfate,0,8.0
train_ind,Sulfate,0,22.0
train_ind,Sulfate,0,7.0
train_ind,Sulfate,0,2.0
train_ind,Sulfate,0,37.0
train_ind,Sulfate,0,12.0
train_ind,Sulfate,0,51.0
train_ind,Sulfate,0,43.0
train_ind,Sulfate,0,48.0
train_ind,Sulfate,0,38.0
test_rsq,Sulfate,0,0.7407167126198817
train_rsq,Sulfate,0,0.943283248484137
test_rmse,Sulfate,0,13.248146409089333
train_rmse,Sulfate,0,8.153734687246084
test_mape,Sulfate,0,5.677318382582992
train_mape,Sulfate,0,3.8681256124256174
max_features,Sulfate,0,0.7163272041185655
ccp_alpha,Sulfate,0,0.0001317978624043922
n_comp,Sulfate,0,10.0
y_hat_test,Sulfate,1,227.37759999999983
y_hat_test,Sulfate,1,226.81449999999978
y_hat_test,Sulfate,1,174.57950000000008
y_hat_test,Sulfate,1,169.90559999999996
y_hat_test,Sulfate,1,231.5287999999997
y_hat_test,Sulfate,1,169.7366499999999
y_hat_test,Sulfate,1,171.27384999999992
y_hat_test,Sulfate,1,168.28060000000013
y_hat_test,Sulfate,1,163.23620000000003
y_hat_test,Sulfate,1,213.88129999999998
y_hat_test,Sulfate,1,168.79600000000005
y_hat_test,Sulfate,1,178.03404999999998
y_hat_test,Sulfate,1,180.5975
y_hat_test,Sulfate,1,152.36419999999998
y_hat_test,Sulfate,1,190.27625000000003
y_hat_train,Sulfate,1,180.56195000000022
y_hat_train,Sulfate,1,198.66434999999993
y_hat_train,Sulfate,1,167.34784999999988
y_hat_train,Sulfate,1,207.67999999999972
y_hat_train,Sulfate,1,227.42474999999962
y_hat_train,Sulfate,1,186.20029999999994
y_hat_train,Sulfate,1,183.2414
y_hat_train,Sulfate,1,174.99904999999995
y_hat_train,Sulfate,1,177.28929999999983
y_hat_train,Sulfate,1,161.3692000000003
y_hat_train,Sulfate,1,209.46869999999984
y_hat_train,Sulfate,1,160.1561
y_hat_train,Sulfate,1,180.40594999999988
y_hat_train,Sulfate,1,171.3045000000001
y_hat_train,Sulfate,1,180.0475
y_hat_train,Sulfate,1,190.76719999999997
y_hat_train,Sulfate,1,179.2375
y_hat_train,Sulfate,1,166.6395000000002
y_hat_train,Sulfate,1,169.24575000000002
y_hat_train,Sulfate,1,175.8579000000002
y_hat_train,Sulfate,1,181.33745000000016
y_hat_train,Sulfate,1,180.06144999999987
y_hat_train,Sulfate,1,197.62870000000012
y_hat_train,Sulfate,1,180.50001999999998
y_hat_train,Sulfate,1,198.3773999999999
y_hat_train,Sulfate,1,135.50495000000018
y_hat_train,Sulfate,1,194.26299999999995
y_hat_train,Sulfate,1,236.40509999999992
y_hat_train,Sulfate,1,139.1289999999998
y_hat_train,Sulfate,1,196.1623000000003
y_hat_train,Sulfate,1,242.2600999999995
y_hat_train,Sulfate,1,173.71336999999983
y_hat_train,Sulfate,1,211.47930000000008
y_hat_train,Sulfate,1,178.03061999999989
y_hat_train,Sulfate,1,151.83794999999992
y_true_train,Sulfate,1,183.77
y_true_train,Sulfate,1,206.6
y_true_train,Sulfate,1,160.47
y_true_train,Sulfate,1,209.96
y_true_train,Sulfate,1,238.21
y_true_train,Sulfate,1,179.97
y_true_train,Sulfate,1,181.74
y_true_train,Sulfate,1,169.24
y_true_train,Sulfate,1,180.48
y_true_train,Sulfate,1,158.04
y_true_train,Sulfate,1,219.07
y_true_train,Sulfate,1,157.5
y_true_train,Sulfate,1,186.47
y_true_train,Sulfate,1,171.43
y_true_train,Sulfate,1,171.01
y_true_train,Sulfate,1,193.75
y_true_train,Sulfate,1,180.99
y_true_train,Sulfate,1,164.78
