output,species,iteration,value
y_hat_test,Sulfate,0,167.83531188964844
y_hat_test,Sulfate,0,234.73048400878906
y_hat_test,Sulfate,0,241.55126953125
y_hat_test,Sulfate,0,220.445068359375
y_hat_test,Sulfate,0,173.19837951660156
y_hat_test,Sulfate,0,190.67840576171875
y_hat_test,Sulfate,0,186.95187377929688
y_hat_test,Sulfate,0,242.5528106689453
y_hat_test,Sulfate,0,200.10133361816406
y_hat_test,Sulfate,0,171.65028381347656
y_hat_test,Sulfate,0,196.90103149414062
y_hat_test,Sulfate,0,175.8648223876953
y_hat_test,Sulfate,0,194.58786010742188
y_hat_test,Sulfate,0,164.75550842285156
y_hat_test,Sulfate,0,218.7230682373047
y_hat_train,Sulfate,0,181.41954040527344
y_hat_train,Sulfate,0,164.61184692382812
y_hat_train,Sulfate,0,102.37125396728516
y_hat_train,Sulfate,0,202.27999877929688
y_hat_train,Sulfate,0,171.41629028320312
y_hat_train,Sulfate,0,193.557373046875
y_hat_train,Sulfate,0,191.36154174804688
y_hat_train,Sulfate,0,127.91311645507812
y_hat_train,Sulfate,0,225.28427124023438
y_hat_train,Sulfate,0,160.52670288085938
y_hat_train,Sulfate,0,150.3358612060547
y_hat_train,Sulfate,0,186.44769287109375
y_hat_train,Sulfate,0,139.8553009033203
y_hat_train,Sulfate,0,213.16259765625
y_hat_train,Sulfate,0,169.46835327148438
y_hat_train,Sulfate,0,210.0636749267578
y_hat_train,Sulfate,0,206.5523681640625
y_hat_train,Sulfate,0,180.45724487304688
y_hat_train,Sulfate,0,149.25086975097656
y_hat_train,Sulfate,0,172.33297729492188
y_hat_train,Sulfate,0,134.9041290283203
y_hat_train,Sulfate,0,158.34779357910156
y_hat_train,Sulfate,0,181.7172088623047
y_hat_train,Sulfate,0,169.36813354492188
y_hat_train,Sulfate,0,184.3693084716797
y_hat_train,Sulfate,0,207.62619018554688
y_hat_train,Sulfate,0,157.5008544921875
y_hat_train,Sulfate,0,165.39093017578125
y_hat_train,Sulfate,0,127.20775604248047
y_hat_train,Sulfate,0,237.60870361328125
y_hat_train,Sulfate,0,139.41175842285156
y_hat_train,Sulfate,0,247.07078552246094
y_hat_train,Sulfate,0,174.17684936523438
y_hat_train,Sulfate,0,257.1826171875
y_hat_train,Sulfate,0,171.01034545898438
y_true_train,Sulfate,0,181.44
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,102.37
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,193.75
y_true_train,Sulfate,0,191.44
y_true_train,Sulfate,0,127.9
y_true_train,Sulfate,0,225.27
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,150.4
y_true_train,Sulfate,0,186.47
y_true_train,Sulfate,0,139.88
y_true_train,Sulfate,0,213.46
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,209.96
y_true_train,Sulfate,0,206.6
y_true_train,Sulfate,0,180.48
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,134.94
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,181.74
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,207.74
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,165.41
y_true_train,Sulfate,0,127.21
y_true_train,Sulfate,0,237.64
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,247.13
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,257.75
y_true_train,Sulfate,0,171.01
y_true_test,Sulfate,0,158.04
y_true_test,Sulfate,0,225.9
y_true_test,Sulfate,0,238.21
y_true_test,Sulfate,0,219.07
y_true_test,Sulfate,0,169.24
y_true_test,Sulfate,0,180.99
y_true_test,Sulfate,0,181.5
y_true_test,Sulfate,0,231.92
y_true_test,Sulfate,0,201.03
y_true_test,Sulfate,0,164.78
y_true_test,Sulfate,0,198.96
y_true_test,Sulfate,0,177.03
y_true_test,Sulfate,0,183.77
y_true_test,Sulfate,0,155.31
y_true_test,Sulfate,0,179.97
test_ind,Sulfate,0,59.0
test_ind,Sulfate,0,60.0
test_ind,Sulfate,0,26.0
test_ind,Sulfate,0,61.0
test_ind,Sulfate,0,62.0
test_ind,Sulfate,0,18.0
test_ind,Sulfate,0,25.0
test_ind,Sulfate,0,30.0
test_ind,Sulfate,0,42.0
test_ind,Sulfate,0,32.0
test_ind,Sulfate,0,16.0
test_ind,Sulfate,0,55.0
test_ind,Sulfate,0,57.0
test_ind,Sulfate,0,20.0
test_ind,Sulfate,0,28.0
train_ind,Sulfate,0,46.0
train_ind,Sulfate,0,27.0
train_ind,Sulfate,0,1.0
train_ind,Sulfate,0,24.0
train_ind,Sulfate,0,31.0
train_ind,Sulfate,0,33.0
train_ind,Sulfate,0,15.0
train_ind,Sulfate,0,5.0
train_ind,Sulfate,0,35.0
train_ind,Sulfate,0,52.0
train_ind,Sulfate,0,14.0
train_ind,Sulfate,0,56.0
train_ind,Sulfate,0,11.0
train_ind,Sulfate,0,10.0
train_ind,Sulfate,0,41.0
train_ind,Sulfate,0,34.0
train_ind,Sulfate,0,45.0
train_ind,Sulfate,0,17.0
train_ind,Sulfate,0,6.0
train_ind,Sulfate,0,49.0
train_ind,Sulfate,0,4.0
train_ind,Sulfate,0,13.0
train_ind,Sulfate,0,40.0
train_ind,Sulfate,0,29.0
train_ind,Sulfate,0,54.0
train_ind,Sulfate,0,8.0
train_ind,Sulfate,0,22.0
train_ind,Sulfate,0,7.0
train_ind,Sulfate,0,2.0
train_ind,Sulfate,0,37.0
train_ind,Sulfate,0,12.0
train_ind,Sulfate,0,51.0
train_ind,Sulfate,0,43.0
train_ind,Sulfate,0,48.0
train_ind,Sulfate,0,38.0
test_rsq,Sulfate,0,0.7832332180715724
train_rsq,Sulfate,0,0.9999858383191368
test_rmse,Sulfate,0,12.113348775970168
train_rmse,Sulfate,0,0.1288422508711595
test_mape,Sulfate,0,4.482902662324885
train_mape,Sulfate,0,0.039470489901198946
max_depth,Sulfate,0,5.0
learning_rate,Sulfate,0,0.11084848701688806
n_comp,Sulfate,0,12.0
y_hat_test,Sulfate,1,222.98211669921875
y_hat_test,Sulfate,1,235.8492889404297
y_hat_test,Sulfate,1,168.94935607910156
y_hat_test,Sulfate,1,172.055908203125
y_hat_test,Sulfate,1,249.91064453125
y_hat_test,Sulfate,1,165.90354919433594
y_hat_test,Sulfate,1,164.82981872558594
y_hat_test,Sulfate,1,177.49766540527344
y_hat_test,Sulfate,1,151.07350158691406
y_hat_test,Sulfate,1,228.37486267089844
y_hat_test,Sulfate,1,161.0093536376953
y_hat_test,Sulfate,1,166.04092407226562
y_hat_test,Sulfate,1,181.5707550048828
y_hat_test,Sulfate,1,156.67327880859375
y_hat_test,Sulfate,1,194.7786407470703
y_hat_train,Sulfate,1,182.97679138183594
y_hat_train,Sulfate,1,200.91085815429688
y_hat_train,Sulfate,1,164.73765563964844
y_hat_train,Sulfate,1,211.1302947998047
y_hat_train,Sulfate,1,235.6337890625
y_hat_train,Sulfate,1,185.2098846435547
y_hat_train,Sulfate,1,180.39305114746094
y_hat_train,Sulfate,1,173.73147583007812
y_hat_train,Sulfate,1,178.89402770996094
y_hat_train,Sulfate,1,160.5718536376953
y_hat_train,Sulfate,1,220.02972412109375
y_hat_train,Sulfate,1,158.46966552734375
y_hat_train,Sulfate,1,184.9542694091797
y_hat_train,Sulfate,1,171.6240997314453
y_hat_train,Sulfate,1,169.2109832763672
y_hat_train,Sulfate,1,192.08778381347656
y_hat_train,Sulfate,1,179.91738891601562
y_hat_train,Sulfate,1,165.32569885253906
y_hat_train,Sulfate,1,162.28936767578125
y_hat_train,Sulfate,1,173.81649780273438
y_hat_train,Sulfate,1,184.70921325683594
y_hat_train,Sulfate,1,180.78158569335938
y_hat_train,Sulfate,1,201.94590759277344
y_hat_train,Sulfate,1,179.21575927734375
y_hat_train,Sulfate,1,197.4571990966797
y_hat_train,Sulfate,1,113.75112915039062
y_hat_train,Sulfate,1,203.01214599609375
y_hat_train,Sulfate,1,250.1007843017578
y_hat_train,Sulfate,1,132.31240844726562
y_hat_train,Sulfate,1,205.35260009765625
y_hat_train,Sulfate,1,255.77700805664062
