output,species,iteration,value
y_hat_test,Sulfate,0,177.2356636530186
y_hat_test,Sulfate,0,191.42670038492494
y_hat_test,Sulfate,0,191.4256293746238
y_hat_test,Sulfate,0,185.0101766542741
y_hat_test,Sulfate,0,185.1104930882239
y_hat_test,Sulfate,0,165.9952113768571
y_hat_test,Sulfate,0,181.93088449644333
y_hat_test,Sulfate,0,200.53794949623864
y_hat_test,Sulfate,0,183.73227344404788
y_hat_test,Sulfate,0,179.3071209681811
y_hat_test,Sulfate,0,174.39917539073403
y_hat_test,Sulfate,0,173.01192417101936
y_hat_test,Sulfate,0,180.91134232753484
y_hat_test,Sulfate,0,170.54756273680695
y_hat_test,Sulfate,0,188.19438827388137
y_hat_train,Sulfate,0,181.73680076755673
y_hat_train,Sulfate,0,181.96040689685233
y_hat_train,Sulfate,0,169.78449911082424
y_hat_train,Sulfate,0,182.7975794912294
y_hat_train,Sulfate,0,179.38000295845865
y_hat_train,Sulfate,0,184.9660243785207
y_hat_train,Sulfate,0,161.6015817730546
y_hat_train,Sulfate,0,164.3080278971977
y_hat_train,Sulfate,0,190.19928677847582
y_hat_train,Sulfate,0,169.5344390242803
y_hat_train,Sulfate,0,171.2121368962873
y_hat_train,Sulfate,0,186.7421114856057
y_hat_train,Sulfate,0,170.80512816954604
y_hat_train,Sulfate,0,180.11877991214558
y_hat_train,Sulfate,0,187.35961524279872
y_hat_train,Sulfate,0,185.12244306625706
y_hat_train,Sulfate,0,182.29107839633798
y_hat_train,Sulfate,0,166.9767079320139
y_hat_train,Sulfate,0,172.8869930328899
y_hat_train,Sulfate,0,201.6801067058204
y_hat_train,Sulfate,0,180.44357944441592
y_hat_train,Sulfate,0,169.76790264014576
y_hat_train,Sulfate,0,177.75543931571616
y_hat_train,Sulfate,0,182.3937839660771
y_hat_train,Sulfate,0,178.6887097644076
y_hat_train,Sulfate,0,176.55462822752366
y_hat_train,Sulfate,0,175.08580872256002
y_hat_train,Sulfate,0,172.23336345441967
y_hat_train,Sulfate,0,171.38645177912164
y_hat_train,Sulfate,0,190.30507692547474
y_hat_train,Sulfate,0,168.34783200201943
y_hat_train,Sulfate,0,189.82736968210872
y_hat_train,Sulfate,0,176.08178121207646
y_hat_train,Sulfate,0,216.82648314286166
y_hat_train,Sulfate,0,189.61332465424584
y_hat_train,Sulfate,0,203.5084595033022
y_hat_train,Sulfate,0,152.21650580492346
y_hat_train,Sulfate,0,214.24869293775433
y_hat_train,Sulfate,0,231.4145101018128
y_hat_train,Sulfate,0,166.34596728982186
y_hat_train,Sulfate,0,216.39297765685035
y_hat_train,Sulfate,0,140.25678347463204
y_hat_train,Sulfate,0,180.63783478767093
y_hat_train,Sulfate,0,199.79039889984637
y_hat_train,Sulfate,0,169.71016182529434
y_hat_train,Sulfate,0,191.80980023110095
y_hat_train,Sulfate,0,209.43613023792824
y_hat_train,Sulfate,0,212.138174893739
y_hat_train,Sulfate,0,208.09265354732196
y_hat_train,Sulfate,0,225.32385352331676
