"comparison","p","comp1","comp2"
"Ammonium-N - Boron",0.130247180910325,"Ammonium-N","Boron"
"Calcium - Copper",0.366055160083463,"Calcium","Copper"
"Calcium - Iron",0.285320581693936,"Calcium","Iron"
"Copper - Iron",0.411072183329779,"Copper","Iron"
"Calcium - Magnesium",0.23046876685884,"Calcium","Magnesium"
"Copper - Magnesium",0.140154906388891,"Copper","Magnesium"
"Iron - Magnesium",0.0960466714548127,"Iron","Magnesium"
"Boron - Molybdenum",0.115372877059311,"Boron","Molybdenum"
"Copper - Molybdenum",0.0522295262912501,"Copper","Molybdenum"
"Iron - Molybdenum",0.0809331397525656,"Iron","Molybdenum"
"Ammonium-N - Nitrate-N",0.109606064199272,"Ammonium-N","Nitrate-N"
"Boron - Nitrate-N",0.458821810650357,"Boron","Nitrate-N"
"Molybdenum - Nitrate-N",0.136750070381746,"Molybdenum","Nitrate-N"
"Ammonium-N - pH",0.317070011148364,"Ammonium-N","pH"
"Boron - pH",0.258067207993922,"Boron","pH"
"Nitrate-N - pH",0.2258097061209,"Nitrate-N","pH"
"Ammonium-N - Phosphorus",0.255996328122716,"Ammonium-N","Phosphorus"
"Boron - Phosphorus",0.319361376408118,"Boron","Phosphorus"
"Nitrate-N - Phosphorus",0.283360355037084,"Nitrate-N","Phosphorus"
"pH - Phosphorus",0.42864292499724,"pH","Phosphorus"
"Boron - Potassium",0.16415941555183,"Boron","Potassium"
"Iron - Potassium",0.0526422888268288,"Iron","Potassium"
"Molybdenum - Potassium",0.412571801415397,"Molybdenum","Potassium"
"Nitrate-N - Potassium",0.191030981121742,"Nitrate-N","Potassium"
"pH - Potassium",0.0518875245072673,"pH","Potassium"
"Phosphorus - Potassium",0.0739497074894028,"Phosphorus","Potassium"
"Boron - Sulfate",0.0745813413890854,"Boron","Sulfate"
"Copper - Sulfate",0.0838618861568997,"Copper","Sulfate"
"Iron - Sulfate",0.124092931185653,"Iron","Sulfate"
"Molybdenum - Sulfate",0.403593990687943,"Molybdenum","Sulfate"
"Nitrate-N - Sulfate",0.0902702050005091,"Nitrate-N","Sulfate"
"Potassium - Sulfate",0.320969453589121,"Potassium","Sulfate"
"Ammonium-N - Zinc",0.365330479556466,"Ammonium-N","Zinc"
"Boron - Zinc",0.0708526923320742,"Boron","Zinc"
"Manganese - Zinc",0.0750350236849235,"Manganese","Zinc"
"Nitrate-N - Zinc",0.0578741990602244,"Nitrate-N","Zinc"
"pH - Zinc",0.206064074925328,"pH","Zinc"
"Phosphorus - Zinc",0.158658996848051,"Phosphorus","Zinc"
