"comparison","p","comp1","comp2"
"Ammonium-N - Calcium",2.7372231712772e-07,"Ammonium-N","Calcium"
"Boron - Calcium",2.64257357214706e-05,"Boron","Calcium"
"Ammonium-N - Copper",0.002292443406193,"Ammonium-N","Copper"
"Boron - Copper",0.0308397528879843,"Boron","Copper"
"Calcium - Copper",0.0148505800385491,"Calcium","Copper"
"Ammonium-N - Iron",4.37937636020275e-06,"Ammonium-N","Iron"
"Boron - Iron",0.000251175269867241,"Boron","Iron"
"Ammonium-N - Magnesium",6.87220986551092e-10,"Ammonium-N","Magnesium"
"Boron - Magnesium",1.76967445331281e-07,"Boron","Magnesium"
"Copper - Magnesium",0.000632937134116025,"Copper","Magnesium"
"Ammonium-N - Manganese",0.000112519100008297,"Ammonium-N","Manganese"
"Boron - Manganese",1.61709371778893e-06,"Boron","Manganese"
"Calcium - Manganese",1.68887372925329e-18,"Calcium","Manganese"
"Copper - Manganese",3.42396912334125e-11,"Copper","Manganese"
"Iron - Manganese",2.06211431489135e-16,"Iron","Manganese"
"Magnesium - Manganese",9.44809487609637e-23,"Magnesium","Manganese"
"Boron - Molybdenum",0.0222722147645326,"Boron","Molybdenum"
"Calcium - Molybdenum",7.17174290736099e-10,"Calcium","Molybdenum"
"Copper - Molybdenum",5.27624855295151e-05,"Copper","Molybdenum"
"Iron - Molybdenum",2.02759672018751e-08,"Iron","Molybdenum"
"Magnesium - Molybdenum",6.18704952654769e-13,"Magnesium","Molybdenum"
"Manganese - Molybdenum",0.00406735936864781,"Manganese","Molybdenum"
"Calcium - Nitrate-N",1.05100203308721e-08,"Calcium","Nitrate-N"
"Copper - Nitrate-N",0.000302529599494332,"Copper","Nitrate-N"
"Iron - Nitrate-N",2.32469847881033e-07,"Iron","Nitrate-N"
"Magnesium - Nitrate-N",1.43645351772892e-11,"Magnesium","Nitrate-N"
"Manganese - Nitrate-N",0.00098534589154603,"Manganese","Nitrate-N"
"Boron - pH",0.0211412732298685,"Boron","pH"
"Calcium - pH",6.2625110208847e-10,"Calcium","pH"
"Copper - pH",4.82313807755859e-05,"Copper","pH"
"Iron - pH",1.79184209253755e-08,"Iron","pH"
"Magnesium - pH",5.28293288573474e-13,"Magnesium","pH"
"Manganese - pH",0.00433716864080116,"Manganese","pH"
"Ammonium-N - Phosphorus",0.00896059628686136,"Ammonium-N","Phosphorus"
"Boron - Phosphorus",0.000428821680788573,"Boron","Phosphorus"
"Calcium - Phosphorus",8.14761757717223e-14,"Calcium","Phosphorus"
"Copper - Phosphorus",9.85347597654431e-08,"Copper","Phosphorus"
"Iron - Phosphorus",4.77960515809483e-12,"Iron","Phosphorus"
"Magnesium - Phosphorus",1.79320140380599e-17,"Magnesium","Phosphorus"
"Nitrate-N - Phosphorus",0.0381355318068702,"Nitrate-N","Phosphorus"
"Ammonium-N - Potassium",0.00144567708797466,"Ammonium-N","Potassium"
"Boron - Potassium",0.022067157411496,"Boron","Potassium"
"Calcium - Potassium",0.0211867742359726,"Calcium","Potassium"
"Magnesium - Potassium",0.00103713943664371,"Magnesium","Potassium"
"Manganese - Potassium",1.29505805697041e-11,"Manganese","Potassium"
"Molybdenum - Potassium",2.88843967925132e-05,"Molybdenum","Potassium"
"Nitrate-N - Potassium",0.000176082546990232,"Nitrate-N","Potassium"
"pH - Potassium",2.63249287780964e-05,"pH","Potassium"
"Phosphorus - Potassium",4.48849314660738e-08,"Phosphorus","Potassium"
"Ammonium-N - Sulfate",3.92864751069454e-06,"Ammonium-N","Sulfate"
"Boron - Sulfate",0.000230206030745077,"Boron","Sulfate"
"Manganese - Sulfate",1.70100510931579e-16,"Manganese","Sulfate"
"Molybdenum - Sulfate",1.77670594430956e-08,"Molybdenum","Sulfate"
"Nitrate-N - Sulfate",2.05777678881972e-07,"Nitrate-N","Sulfate"
"pH - Sulfate",1.56934835522073e-08,"pH","Sulfate"
"Phosphorus - Sulfate",4.06385050013514e-12,"Phosphorus","Sulfate"
"Ammonium-N - Zinc",0.00489549441975662,"Ammonium-N","Zinc"
"Boron - Zinc",0.00019307661156611,"Boron","Zinc"
"Calcium - Zinc",1.57482823658952e-14,"Calcium","Zinc"
"Copper - Zinc",3.01408998626059e-08,"Copper","Zinc"
"Iron - Zinc",1.04106059124963e-12,"Iron","Zinc"
"Magnesium - Zinc",2.77230543155983e-18,"Magnesium","Zinc"
"Nitrate-N - Zinc",0.0233711993779035,"Nitrate-N","Zinc"
"Potassium - Zinc",1.33209965904714e-08,"Potassium","Zinc"
"Sulfate - Zinc",8.80802788224237e-13,"Sulfate","Zinc"
