"comparison","p","comp1","comp2"
"Ammonium-N - Boron",0.130247180910325,"Ammonium-N","Boron"
"Ammonium-N - Calcium",8.95003234715504e-06,"Ammonium-N","Calcium"
"Boron - Calcium",0.0007770958996834,"Boron","Calcium"
"Ammonium-N - Copper",3.95231104057575e-05,"Ammonium-N","Copper"
"Boron - Copper",0.00238588598084452,"Boron","Copper"
"Calcium - Copper",0.366055160083463,"Calcium","Copper"
"Ammonium-N - Iron",9.86355145663127e-05,"Ammonium-N","Iron"
"Boron - Iron",0.00469850633768419,"Boron","Iron"
"Calcium - Iron",0.285320581693936,"Calcium","Iron"
"Copper - Iron",0.411072183329779,"Copper","Iron"
"Ammonium-N - Magnesium",2.49239706085217e-07,"Ammonium-N","Magnesium"
"Boron - Magnesium",4.7764927305296e-05,"Boron","Magnesium"
"Calcium - Magnesium",0.23046876685884,"Calcium","Magnesium"
"Copper - Magnesium",0.140154906388891,"Copper","Magnesium"
"Iron - Magnesium",0.0960466714548127,"Iron","Magnesium"
"Ammonium-N - Manganese",0.0372499909086567,"Ammonium-N","Manganese"
"Boron - Manganese",0.0018143614784871,"Boron","Manganese"
"Calcium - Manganese",6.27228403495969e-10,"Calcium","Manganese"
"Copper - Manganese",4.99778281823158e-09,"Copper","Manganese"
"Iron - Manganese",1.83522272888366e-08,"Iron","Manganese"
"Magnesium - Manganese",4.86544943088808e-12,"Magnesium","Manganese"
"Ammonium-N - Molybdenum",0.0100717686730383,"Ammonium-N","Molybdenum"
"Boron - Molybdenum",0.115372877059311,"Boron","Molybdenum"
"Calcium - Molybdenum",0.0246533618549778,"Calcium","Molybdenum"
"Copper - Molybdenum",0.0522295262912501,"Copper","Molybdenum"
"Iron - Molybdenum",0.0809331397525656,"Iron","Molybdenum"
"Magnesium - Molybdenum",0.00343342221510158,"Magnesium","Molybdenum"
"Manganese - Molybdenum",2.0024740533913e-05,"Manganese","Molybdenum"
"Ammonium-N - Nitrate-N",0.109606064199272,"Ammonium-N","Nitrate-N"
"Boron - Nitrate-N",0.458821810650357,"Boron","Nitrate-N"
"Calcium - Nitrate-N",0.00110311548603211,"Calcium","Nitrate-N"
"Copper - Nitrate-N",0.00327746881236803,"Copper","Nitrate-N"
"Iron - Nitrate-N",0.00631811961752749,"Iron","Nitrate-N"
"Magnesium - Nitrate-N",7.28543736015585e-05,"Magnesium","Nitrate-N"
