output,species,iteration,value
y_hat_test,Ammonium-N,0,7.875210285186768
y_hat_test,Ammonium-N,0,-0.18236035108566284
y_hat_test,Ammonium-N,0,0.8802347183227539
y_hat_test,Ammonium-N,0,-0.036679595708847046
y_hat_test,Ammonium-N,0,2.2135517597198486
y_hat_test,Ammonium-N,0,2.765535354614258
y_hat_test,Ammonium-N,0,-0.3561083674430847
y_hat_test,Ammonium-N,0,0.7750633955001831
y_hat_test,Ammonium-N,0,0.42939504981040955
y_hat_test,Ammonium-N,0,8.01656723022461
y_hat_test,Ammonium-N,0,3.697319269180298
y_hat_test,Ammonium-N,0,1.701756477355957
y_hat_test,Ammonium-N,0,2.9124114513397217
y_hat_test,Ammonium-N,0,7.422730922698975
y_hat_test,Ammonium-N,0,4.389288425445557
y_hat_train,Ammonium-N,0,13.391912460327148
y_hat_train,Ammonium-N,0,0.2672646641731262
y_hat_train,Ammonium-N,0,0.033774375915527344
y_hat_train,Ammonium-N,0,0.08911675214767456
y_hat_train,Ammonium-N,0,7.952353477478027
y_hat_train,Ammonium-N,0,1.3127355575561523
y_hat_train,Ammonium-N,0,0.16210582852363586
y_hat_train,Ammonium-N,0,3.3297810554504395
y_hat_train,Ammonium-N,0,0.046872228384017944
y_hat_train,Ammonium-N,0,-0.02463439106941223
y_hat_train,Ammonium-N,0,0.18650221824645996
y_hat_train,Ammonium-N,0,0.16154593229293823
y_hat_train,Ammonium-N,0,8.183220863342285
y_hat_train,Ammonium-N,0,0.037400245666503906
y_hat_train,Ammonium-N,0,5.755783557891846
y_hat_train,Ammonium-N,0,0.48143842816352844
y_hat_train,Ammonium-N,0,7.607667446136475
y_hat_train,Ammonium-N,0,3.7458271980285645
y_hat_train,Ammonium-N,0,1.4612843990325928
y_hat_train,Ammonium-N,0,7.42412805557251
y_hat_train,Ammonium-N,0,6.53639554977417
y_hat_train,Ammonium-N,0,5.980684757232666
y_hat_train,Ammonium-N,0,6.747777462005615
y_hat_train,Ammonium-N,0,0.3720564842224121
y_hat_train,Ammonium-N,0,0.24515914916992188
y_hat_train,Ammonium-N,0,0.10375469923019409
y_hat_train,Ammonium-N,0,-0.02953276038169861
y_hat_train,Ammonium-N,0,1.184659719467163
y_true_train,Ammonium-N,0,13.67
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,0.06
y_true_train,Ammonium-N,0,0.06
y_true_train,Ammonium-N,0,7.88
y_true_train,Ammonium-N,0,1.14
y_true_train,Ammonium-N,0,0.15
y_true_train,Ammonium-N,0,3.23
y_true_train,Ammonium-N,0,0.09
y_true_train,Ammonium-N,0,0.06
y_true_train,Ammonium-N,0,0.09
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,8.22
y_true_train,Ammonium-N,0,0.1
y_true_train,Ammonium-N,0,5.6
y_true_train,Ammonium-N,0,0.4
y_true_train,Ammonium-N,0,7.56
y_true_train,Ammonium-N,0,4.03
y_true_train,Ammonium-N,0,1.43
y_true_train,Ammonium-N,0,7.24
y_true_train,Ammonium-N,0,6.51
y_true_train,Ammonium-N,0,5.98
y_true_train,Ammonium-N,0,6.6
y_true_train,Ammonium-N,0,0.3
y_true_train,Ammonium-N,0,0.01
y_true_train,Ammonium-N,0,0.04
y_true_train,Ammonium-N,0,0.05
y_true_train,Ammonium-N,0,0.98
y_true_test,Ammonium-N,0,7.33
y_true_test,Ammonium-N,0,0.11
y_true_test,Ammonium-N,0,0.04
y_true_test,Ammonium-N,0,0.04
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,0.06
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,0.08
y_true_test,Ammonium-N,0,0.1
y_true_test,Ammonium-N,0,8.48
y_true_test,Ammonium-N,0,0.02
y_true_test,Ammonium-N,0,1.2
y_true_test,Ammonium-N,0,0.01
y_true_test,Ammonium-N,0,7.81
y_true_test,Ammonium-N,0,0.07
test_ind,Ammonium-N,0,59.0
test_ind,Ammonium-N,0,60.0
test_ind,Ammonium-N,0,26.0
test_ind,Ammonium-N,0,61.0
test_ind,Ammonium-N,0,62.0
test_ind,Ammonium-N,0,18.0
test_ind,Ammonium-N,0,25.0
test_ind,Ammonium-N,0,30.0
test_ind,Ammonium-N,0,42.0
test_ind,Ammonium-N,0,32.0
test_ind,Ammonium-N,0,16.0
test_ind,Ammonium-N,0,55.0
test_ind,Ammonium-N,0,57.0
test_ind,Ammonium-N,0,20.0
test_ind,Ammonium-N,0,28.0
train_ind,Ammonium-N,0,1.0
train_ind,Ammonium-N,0,56.0
train_ind,Ammonium-N,0,7.0
train_ind,Ammonium-N,0,8.0
train_ind,Ammonium-N,0,38.0
train_ind,Ammonium-N,0,43.0
train_ind,Ammonium-N,0,22.0
train_ind,Ammonium-N,0,12.0
train_ind,Ammonium-N,0,35.0
train_ind,Ammonium-N,0,10.0
train_ind,Ammonium-N,0,33.0
train_ind,Ammonium-N,0,17.0
train_ind,Ammonium-N,0,41.0
train_ind,Ammonium-N,0,51.0
train_ind,Ammonium-N,0,54.0
train_ind,Ammonium-N,0,27.0
train_ind,Ammonium-N,0,11.0
train_ind,Ammonium-N,0,15.0
train_ind,Ammonium-N,0,29.0
train_ind,Ammonium-N,0,31.0
train_ind,Ammonium-N,0,6.0
train_ind,Ammonium-N,0,13.0
train_ind,Ammonium-N,0,49.0
train_ind,Ammonium-N,0,52.0
train_ind,Ammonium-N,0,5.0
train_ind,Ammonium-N,0,48.0
train_ind,Ammonium-N,0,24.0
train_ind,Ammonium-N,0,46.0
test_rsq,Ammonium-N,0,0.6196095573054818
train_rsq,Ammonium-N,0,0.9986043186348675
test_rmse,Ammonium-N,0,1.918726403758052
train_rmse,Ammonium-N,0,0.1363967484789858
y_hat_test,Ammonium-N,1,3.6229093074798584
y_hat_test,Ammonium-N,1,-0.05369819700717926
y_hat_test,Ammonium-N,1,0.16241540014743805
y_hat_test,Ammonium-N,1,-0.17794476449489594
y_hat_test,Ammonium-N,1,-0.14986316859722137
y_hat_test,Ammonium-N,1,0.490709125995636
y_hat_test,Ammonium-N,1,0.4202004671096802
y_hat_test,Ammonium-N,1,1.2719649076461792
y_hat_test,Ammonium-N,1,4.149247169494629
y_hat_test,Ammonium-N,1,-0.570555567741394
y_hat_test,Ammonium-N,1,0.6203250885009766
y_hat_test,Ammonium-N,1,0.30970677733421326
y_hat_test,Ammonium-N,1,1.0694793462753296
y_hat_test,Ammonium-N,1,6.348272323608398
y_hat_test,Ammonium-N,1,-2.339578628540039
y_hat_train,Ammonium-N,1,-0.0628410130739212
y_hat_train,Ammonium-N,1,-0.006189435720443726
y_hat_train,Ammonium-N,1,-0.05752177536487579
y_hat_train,Ammonium-N,1,8.26840877532959
y_hat_train,Ammonium-N,1,-0.05746830999851227
y_hat_train,Ammonium-N,1,-0.12317897379398346
y_hat_train,Ammonium-N,1,0.23691248893737793
y_hat_train,Ammonium-N,1,0.15320813655853271
y_hat_train,Ammonium-N,1,0.0016744732856750488
y_hat_train,Ammonium-N,1,-0.009908005595207214
y_hat_train,Ammonium-N,1,7.980978012084961
y_hat_train,Ammonium-N,1,-0.1366843730211258
y_hat_train,Ammonium-N,1,-0.09657825529575348
y_hat_train,Ammonium-N,1,5.321634292602539
y_hat_train,Ammonium-N,1,5.743438243865967
y_hat_train,Ammonium-N,1,4.719369888305664
y_hat_train,Ammonium-N,1,7.005374431610107
y_hat_train,Ammonium-N,1,-0.016496136784553528
y_hat_train,Ammonium-N,1,5.896751403808594
y_hat_train,Ammonium-N,1,0.003121882677078247
y_hat_train,Ammonium-N,1,0.04518461227416992
y_hat_train,Ammonium-N,1,-0.16132347285747528
y_hat_train,Ammonium-N,1,0.03536364436149597
y_hat_train,Ammonium-N,1,-0.06340084969997406
y_hat_train,Ammonium-N,1,0.14928165078163147
y_hat_train,Ammonium-N,1,7.088573455810547
y_hat_train,Ammonium-N,1,-0.010151877999305725
y_hat_train,Ammonium-N,1,0.01196722686290741
y_true_train,Ammonium-N,1,0.04
y_true_train,Ammonium-N,1,0.05
y_true_train,Ammonium-N,1,0.09
y_true_train,Ammonium-N,1,8.48
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,0.04
y_true_train,Ammonium-N,1,0.3
y_true_train,Ammonium-N,1,0.02
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,0.04
y_true_train,Ammonium-N,1,8.22
y_true_train,Ammonium-N,1,0.05
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,5.6
y_true_train,Ammonium-N,1,5.86
y_true_train,Ammonium-N,1,4.9
y_true_train,Ammonium-N,1,7.24
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,6.23
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,0.06
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,0.09
y_true_train,Ammonium-N,1,0.07
y_true_train,Ammonium-N,1,0.15
y_true_train,Ammonium-N,1,7.33
y_true_train,Ammonium-N,1,0.01
y_true_train,Ammonium-N,1,0.01
y_true_test,Ammonium-N,1,0.03
y_true_test,Ammonium-N,1,0.08
y_true_test,Ammonium-N,1,1.43
y_true_test,Ammonium-N,1,0.11
y_true_test,Ammonium-N,1,0.1
y_true_test,Ammonium-N,1,0.4
y_true_test,Ammonium-N,1,6.51
y_true_test,Ammonium-N,1,0.1
y_true_test,Ammonium-N,1,7.81
y_true_test,Ammonium-N,1,0.02
y_true_test,Ammonium-N,1,5.98
y_true_test,Ammonium-N,1,0.01
y_true_test,Ammonium-N,1,0.07
y_true_test,Ammonium-N,1,6.6
y_true_test,Ammonium-N,1,0.06
test_ind,Ammonium-N,1,47.0
test_ind,Ammonium-N,1,30.0
test_ind,Ammonium-N,1,29.0
test_ind,Ammonium-N,1,4.0
test_ind,Ammonium-N,1,51.0
test_ind,Ammonium-N,1,27.0
test_ind,Ammonium-N,1,6.0
test_ind,Ammonium-N,1,50.0
test_ind,Ammonium-N,1,20.0
test_ind,Ammonium-N,1,58.0
test_ind,Ammonium-N,1,13.0
test_ind,Ammonium-N,1,14.0
test_ind,Ammonium-N,1,19.0
test_ind,Ammonium-N,1,49.0
test_ind,Ammonium-N,1,10.0
train_ind,Ammonium-N,1,48.0
train_ind,Ammonium-N,1,24.0
train_ind,Ammonium-N,1,35.0
train_ind,Ammonium-N,1,32.0
train_ind,Ammonium-N,1,39.0
