output,species,iteration,value
y_hat_test,Nitrate-N,0,182.81220000000002
y_hat_test,Nitrate-N,0,178.6415
y_hat_test,Nitrate-N,0,189.62002
y_hat_test,Nitrate-N,0,178.58398333333338
y_hat_test,Nitrate-N,0,179.52596666666656
y_hat_test,Nitrate-N,0,186.61731666666662
y_hat_test,Nitrate-N,0,182.50118333333333
y_hat_test,Nitrate-N,0,189.60314333333324
y_hat_test,Nitrate-N,0,181.22771666666665
y_hat_test,Nitrate-N,0,190.5448
y_hat_test,Nitrate-N,0,187.50407999999993
y_hat_test,Nitrate-N,0,198.74412
y_hat_test,Nitrate-N,0,177.18644000000003
y_hat_test,Nitrate-N,0,180.0022066666666
y_hat_test,Nitrate-N,0,190.3459366666666
y_hat_train,Nitrate-N,0,190.78386666666665
y_hat_train,Nitrate-N,0,209.71470000000002
y_hat_train,Nitrate-N,0,175.6994399999999
y_hat_train,Nitrate-N,0,177.25210000000007
y_hat_train,Nitrate-N,0,186.1920000000001
y_hat_train,Nitrate-N,0,178.5073066666664
y_hat_train,Nitrate-N,0,192.2484066666667
y_hat_train,Nitrate-N,0,159.95879999999997
y_hat_train,Nitrate-N,0,184.82869999999994
y_hat_train,Nitrate-N,0,212.61710000000002
y_hat_train,Nitrate-N,0,178.72795333333332
y_hat_train,Nitrate-N,0,171.50789000000012
y_hat_train,Nitrate-N,0,156.52143999999976
y_hat_train,Nitrate-N,0,190.9593666666668
y_hat_train,Nitrate-N,0,178.28734999999998
y_hat_train,Nitrate-N,0,188.01505000000006
y_hat_train,Nitrate-N,0,194.90909999999985
y_hat_train,Nitrate-N,0,185.72379333333308
y_hat_train,Nitrate-N,0,169.28486666666652
y_hat_train,Nitrate-N,0,202.0795033333333
y_hat_train,Nitrate-N,0,159.7365999999998
y_hat_train,Nitrate-N,0,169.23248999999998
y_hat_train,Nitrate-N,0,179.32751666666644
y_hat_train,Nitrate-N,0,187.74863999999977
y_hat_train,Nitrate-N,0,191.3338666666664
y_hat_train,Nitrate-N,0,191.5072
y_hat_train,Nitrate-N,0,180.1820500000001
y_hat_train,Nitrate-N,0,165.67039999999972
y_hat_train,Nitrate-N,0,200.16549999999995
y_hat_train,Nitrate-N,0,185.05329333333327
y_hat_train,Nitrate-N,0,180.63360000000026
y_hat_train,Nitrate-N,0,216.06299999999996
y_hat_train,Nitrate-N,0,179.7165000000001
y_hat_train,Nitrate-N,0,211.51518
y_hat_train,Nitrate-N,0,175.36374999999995
y_true_train,Nitrate-N,0,190.75
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,189.35
y_true_test,Nitrate-N,0,195.28
y_true_test,Nitrate-N,0,215.0
y_true_test,Nitrate-N,0,192.3
y_true_test,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,179.53
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,183.05
y_true_test,Nitrate-N,0,170.45
y_true_test,Nitrate-N,0,152.3
y_true_test,Nitrate-N,0,284.78
test_ind,Nitrate-N,0,59.0
test_ind,Nitrate-N,0,60.0
test_ind,Nitrate-N,0,26.0
test_ind,Nitrate-N,0,61.0
test_ind,Nitrate-N,0,62.0
test_ind,Nitrate-N,0,18.0
test_ind,Nitrate-N,0,25.0
test_ind,Nitrate-N,0,30.0
test_ind,Nitrate-N,0,42.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,16.0
test_ind,Nitrate-N,0,55.0
test_ind,Nitrate-N,0,57.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,46.0
train_ind,Nitrate-N,0,27.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,33.0
train_ind,Nitrate-N,0,15.0
train_ind,Nitrate-N,0,5.0
train_ind,Nitrate-N,0,35.0
train_ind,Nitrate-N,0,52.0
train_ind,Nitrate-N,0,14.0
train_ind,Nitrate-N,0,56.0
train_ind,Nitrate-N,0,11.0
train_ind,Nitrate-N,0,10.0
train_ind,Nitrate-N,0,41.0
train_ind,Nitrate-N,0,34.0
train_ind,Nitrate-N,0,45.0
train_ind,Nitrate-N,0,17.0
train_ind,Nitrate-N,0,6.0
train_ind,Nitrate-N,0,49.0
train_ind,Nitrate-N,0,4.0
train_ind,Nitrate-N,0,13.0
train_ind,Nitrate-N,0,40.0
train_ind,Nitrate-N,0,29.0
train_ind,Nitrate-N,0,54.0
train_ind,Nitrate-N,0,8.0
train_ind,Nitrate-N,0,22.0
train_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,2.0
train_ind,Nitrate-N,0,37.0
train_ind,Nitrate-N,0,12.0
train_ind,Nitrate-N,0,51.0
train_ind,Nitrate-N,0,43.0
train_ind,Nitrate-N,0,48.0
train_ind,Nitrate-N,0,38.0
test_rsq,Nitrate-N,0,-0.033146754514047805
train_rsq,Nitrate-N,0,0.8555777307652912
test_rmse,Nitrate-N,0,33.883791194710355
train_rmse,Nitrate-N,0,8.527455803685182
test_mape,Nitrate-N,0,11.223751733048783
train_mape,Nitrate-N,0,3.609014008488143
max_features,Nitrate-N,0,0.7115838170608139
ccp_alpha,Nitrate-N,0,0.0004717515708928012
n_comp,Nitrate-N,0,17.0
y_hat_test,Nitrate-N,1,216.15029999999996
y_hat_test,Nitrate-N,1,214.50314999999995
y_hat_test,Nitrate-N,1,219.47625333333335
y_hat_test,Nitrate-N,1,187.23733333333345
y_hat_test,Nitrate-N,1,207.53181666666663
y_hat_test,Nitrate-N,1,190.23110000000005
y_hat_test,Nitrate-N,1,191.56263333333337
y_hat_test,Nitrate-N,1,184.80308333333335
y_hat_test,Nitrate-N,1,187.36384999999999
y_hat_test,Nitrate-N,1,180.23635333333334
y_hat_test,Nitrate-N,1,182.37545333333335
y_hat_test,Nitrate-N,1,183.75923333333338
y_hat_test,Nitrate-N,1,179.26253666666668
y_hat_test,Nitrate-N,1,208.26109999999994
y_hat_test,Nitrate-N,1,182.70678333333342
y_hat_train,Nitrate-N,1,178.58350000000016
y_hat_train,Nitrate-N,1,201.80789999999993
y_hat_train,Nitrate-N,1,209.83669999999992
y_hat_train,Nitrate-N,1,190.05469999999997
y_hat_train,Nitrate-N,1,211.37744999999995
y_hat_train,Nitrate-N,1,255.34626666666642
y_hat_train,Nitrate-N,1,183.80891999999986
y_hat_train,Nitrate-N,1,183.74005000000008
y_hat_train,Nitrate-N,1,186.1510999999998
y_hat_train,Nitrate-N,1,188.7005
y_hat_train,Nitrate-N,1,192.99449999999976
y_hat_train,Nitrate-N,1,176.80138333333346
y_hat_train,Nitrate-N,1,174.0625000000001
y_hat_train,Nitrate-N,1,188.9375000000001
y_hat_train,Nitrate-N,1,181.00691666666674
y_hat_train,Nitrate-N,1,174.68509999999978
y_hat_train,Nitrate-N,1,170.3779999999998
y_hat_train,Nitrate-N,1,215.945
y_hat_train,Nitrate-N,1,185.02211666666673
y_hat_train,Nitrate-N,1,187.09679999999983
y_hat_train,Nitrate-N,1,184.26276666666644
y_hat_train,Nitrate-N,1,175.7958833333334
y_hat_train,Nitrate-N,1,187.9153366666667
y_hat_train,Nitrate-N,1,185.90391666666682
y_hat_train,Nitrate-N,1,180.1570833333334
y_hat_train,Nitrate-N,1,205.88783333333345
y_hat_train,Nitrate-N,1,172.58895000000018
y_hat_train,Nitrate-N,1,216.41300000000004
y_hat_train,Nitrate-N,1,205.43689999999998
y_hat_train,Nitrate-N,1,187.61450000000016
y_hat_train,Nitrate-N,1,210.6194333333334
y_hat_train,Nitrate-N,1,177.33720000000008
y_hat_train,Nitrate-N,1,188.59867000000014
y_hat_train,Nitrate-N,1,190.40918333333335
y_hat_train,Nitrate-N,1,182.88670000000016
y_true_train,Nitrate-N,1,170.45
y_true_train,Nitrate-N,1,200.88
y_true_train,Nitrate-N,1,227.5
y_true_train,Nitrate-N,1,189.35
y_true_train,Nitrate-N,1,215.0
y_true_train,Nitrate-N,1,284.78
y_true_train,Nitrate-N,1,179.55
y_true_train,Nitrate-N,1,185.0
y_true_train,Nitrate-N,1,186.48
y_true_train,Nitrate-N,1,189.35
y_true_train,Nitrate-N,1,192.3
y_true_train,Nitrate-N,1,166.68
y_true_train,Nitrate-N,1,163.35
y_true_train,Nitrate-N,1,186.18
y_true_train,Nitrate-N,1,175.43
y_true_train,Nitrate-N,1,174.55
y_true_train,Nitrate-N,1,159.48
y_true_train,Nitrate-N,1,232.6
y_true_train,Nitrate-N,1,183.43
y_true_train,Nitrate-N,1,183.05
y_true_train,Nitrate-N,1,185.8
y_true_train,Nitrate-N,1,173.08
y_true_train,Nitrate-N,1,179.53
y_true_train,Nitrate-N,1,188.58
y_true_train,Nitrate-N,1,175.43
y_true_train,Nitrate-N,1,221.43
y_true_train,Nitrate-N,1,164.28
y_true_train,Nitrate-N,1,227.5
y_true_train,Nitrate-N,1,212.5
y_true_train,Nitrate-N,1,181.7
y_true_train,Nitrate-N,1,219.65
y_true_train,Nitrate-N,1,175.53
y_true_train,Nitrate-N,1,184.9
y_true_train,Nitrate-N,1,190.75
y_true_train,Nitrate-N,1,174.28
y_true_test,Nitrate-N,1,227.5
y_true_test,Nitrate-N,1,246.45
y_true_test,Nitrate-N,1,189.73
y_true_test,Nitrate-N,1,156.73
y_true_test,Nitrate-N,1,232.5
y_true_test,Nitrate-N,1,220.0
y_true_test,Nitrate-N,1,161.15
y_true_test,Nitrate-N,1,197.5
y_true_test,Nitrate-N,1,152.3
y_true_test,Nitrate-N,1,233.0
y_true_test,Nitrate-N,1,163.23
y_true_test,Nitrate-N,1,175.0
y_true_test,Nitrate-N,1,204.03
y_true_test,Nitrate-N,1,210.0
y_true_test,Nitrate-N,1,188.83
test_ind,Nitrate-N,1,47.0
test_ind,Nitrate-N,1,30.0
test_ind,Nitrate-N,1,29.0
test_ind,Nitrate-N,1,4.0
test_ind,Nitrate-N,1,51.0
test_ind,Nitrate-N,1,27.0
test_ind,Nitrate-N,1,6.0
test_ind,Nitrate-N,1,50.0
test_ind,Nitrate-N,1,20.0
test_ind,Nitrate-N,1,58.0
test_ind,Nitrate-N,1,13.0
test_ind,Nitrate-N,1,14.0
test_ind,Nitrate-N,1,19.0
test_ind,Nitrate-N,1,49.0
test_ind,Nitrate-N,1,10.0
train_ind,Nitrate-N,1,57.0
train_ind,Nitrate-N,1,45.0
train_ind,Nitrate-N,1,52.0
train_ind,Nitrate-N,1,34.0
train_ind,Nitrate-N,1,26.0
train_ind,Nitrate-N,1,28.0
train_ind,Nitrate-N,1,40.0
train_ind,Nitrate-N,1,62.0
train_ind,Nitrate-N,1,17.0
train_ind,Nitrate-N,1,59.0
train_ind,Nitrate-N,1,61.0
train_ind,Nitrate-N,1,22.0
train_ind,Nitrate-N,1,56.0
train_ind,Nitrate-N,1,31.0
train_ind,Nitrate-N,1,38.0
train_ind,Nitrate-N,1,33.0
train_ind,Nitrate-N,1,18.0
train_ind,Nitrate-N,1,32.0
train_ind,Nitrate-N,1,36.0
train_ind,Nitrate-N,1,55.0
train_ind,Nitrate-N,1,54.0
train_ind,Nitrate-N,1,21.0
train_ind,Nitrate-N,1,42.0
train_ind,Nitrate-N,1,25.0
train_ind,Nitrate-N,1,39.0
train_ind,Nitrate-N,1,3.0
train_ind,Nitrate-N,1,24.0
train_ind,Nitrate-N,1,48.0
train_ind,Nitrate-N,1,2.0
train_ind,Nitrate-N,1,53.0
train_ind,Nitrate-N,1,44.0
train_ind,Nitrate-N,1,41.0
train_ind,Nitrate-N,1,35.0
train_ind,Nitrate-N,1,46.0
train_ind,Nitrate-N,1,23.0
test_rsq,Nitrate-N,1,0.19931946469521655
train_rsq,Nitrate-N,1,0.8736385693095491
test_rmse,Nitrate-N,1,26.672563642087834
train_rmse,Nitrate-N,1,8.866206461480402
test_mape,Nitrate-N,1,12.085246623835728
train_mape,Nitrate-N,1,3.1637941927551356
max_features,Nitrate-N,1,0.6865009276815837
ccp_alpha,Nitrate-N,1,0.00031551563100606293
n_comp,Nitrate-N,1,26.0
y_hat_test,Nitrate-N,2,178.23193333333325
y_hat_test,Nitrate-N,2,237.91419999999994
y_hat_test,Nitrate-N,2,192.5066
y_hat_test,Nitrate-N,2,189.68295333333327
y_hat_test,Nitrate-N,2,189.9187333333333
y_hat_test,Nitrate-N,2,186.66070000000002
y_hat_test,Nitrate-N,2,197.7489
y_hat_test,Nitrate-N,2,189.79219999999995
y_hat_test,Nitrate-N,2,176.91920000000002
y_hat_test,Nitrate-N,2,184.51780000000002
y_hat_test,Nitrate-N,2,179.7625
y_hat_test,Nitrate-N,2,191.45406666666673
y_hat_test,Nitrate-N,2,186.13399999999987
y_hat_test,Nitrate-N,2,225.07113333333334
y_hat_test,Nitrate-N,2,182.1204333333334
y_hat_train,Nitrate-N,2,181.80393333333348
y_hat_train,Nitrate-N,2,170.29339999999982
y_hat_train,Nitrate-N,2,228.47830000000005
y_hat_train,Nitrate-N,2,175.67579999999998
y_hat_train,Nitrate-N,2,195.03020000000006
y_hat_train,Nitrate-N,2,196.15413333333342
y_hat_train,Nitrate-N,2,236.12060000000002
y_hat_train,Nitrate-N,2,167.60979999999984
y_hat_train,Nitrate-N,2,162.75217999999978
y_hat_train,Nitrate-N,2,184.97080000000008
y_hat_train,Nitrate-N,2,161.0771
y_hat_train,Nitrate-N,2,203.5623000000001
