output,species,iteration,value
y_hat_test,Nitrate-N,0,173.56275187608003
y_hat_test,Nitrate-N,0,188.52801837644685
y_hat_test,Nitrate-N,0,202.78654672691894
y_hat_test,Nitrate-N,0,174.92032927719202
y_hat_test,Nitrate-N,0,182.01363977863969
y_hat_test,Nitrate-N,0,175.38671069860567
y_hat_test,Nitrate-N,0,191.93100634559693
y_hat_test,Nitrate-N,0,199.02784345286904
y_hat_test,Nitrate-N,0,200.85921332362156
y_hat_test,Nitrate-N,0,183.6400181292326
y_hat_test,Nitrate-N,0,186.58587371148533
y_hat_test,Nitrate-N,0,181.03468636535828
y_hat_test,Nitrate-N,0,157.948367481376
y_hat_test,Nitrate-N,0,166.94735211797018
y_hat_test,Nitrate-N,0,199.97800198534185
y_hat_train,Nitrate-N,0,197.68005499734522
y_hat_train,Nitrate-N,0,210.2889666267708
y_hat_train,Nitrate-N,0,165.12469651509102
y_hat_train,Nitrate-N,0,194.0893052049047
y_hat_train,Nitrate-N,0,187.24936941840187
y_hat_train,Nitrate-N,0,186.78404584844492
y_hat_train,Nitrate-N,0,183.8929748934538
y_hat_train,Nitrate-N,0,157.4509449999224
y_hat_train,Nitrate-N,0,196.53015128989125
y_hat_train,Nitrate-N,0,189.31265122131924
y_hat_train,Nitrate-N,0,169.05479381097783
y_hat_train,Nitrate-N,0,176.5390198031717
y_hat_train,Nitrate-N,0,148.39026822793005
y_hat_train,Nitrate-N,0,179.40393702863005
y_hat_train,Nitrate-N,0,180.76362123137895
y_hat_train,Nitrate-N,0,190.31691930176154
y_hat_train,Nitrate-N,0,199.40961809315158
y_hat_train,Nitrate-N,0,185.16505958036336
y_hat_train,Nitrate-N,0,170.57314336940394
y_hat_train,Nitrate-N,0,210.3458991806384
y_hat_train,Nitrate-N,0,157.1956447851247
y_hat_train,Nitrate-N,0,171.32982404693743
y_hat_train,Nitrate-N,0,173.31660425599233
y_hat_train,Nitrate-N,0,194.80902641090702
y_hat_train,Nitrate-N,0,195.01639555970712
y_hat_train,Nitrate-N,0,179.44331748892125
y_hat_train,Nitrate-N,0,175.24575651734216
y_hat_train,Nitrate-N,0,153.92109717483203
y_hat_train,Nitrate-N,0,185.48113965567762
y_hat_train,Nitrate-N,0,198.50888034907024
y_hat_train,Nitrate-N,0,170.37441239684853
y_hat_train,Nitrate-N,0,196.8491372890845
y_hat_train,Nitrate-N,0,192.05128042472018
y_hat_train,Nitrate-N,0,216.0637848190279
y_hat_train,Nitrate-N,0,188.88195622449314
y_hat_train,Nitrate-N,0,124.90983454023467
y_hat_train,Nitrate-N,0,139.444618215714
y_hat_train,Nitrate-N,0,160.85730144781425
y_hat_train,Nitrate-N,0,205.33903380069677
y_hat_train,Nitrate-N,0,253.40267626122252
y_hat_train,Nitrate-N,0,115.96373391092578
y_hat_train,Nitrate-N,0,234.94409662710302
y_hat_train,Nitrate-N,0,188.36616063576994
y_hat_train,Nitrate-N,0,146.72137020106882
y_hat_train,Nitrate-N,0,159.99319188785054
y_hat_train,Nitrate-N,0,141.54066580057864
y_hat_train,Nitrate-N,0,204.30066241868974
y_hat_train,Nitrate-N,0,208.10303265959925
y_hat_train,Nitrate-N,0,204.861203184675
y_hat_train,Nitrate-N,0,243.49760065271423
y_hat_train,Nitrate-N,0,76.53575255895012
y_hat_train,Nitrate-N,0,227.8151245488226
y_hat_train,Nitrate-N,0,64.19262046652683
y_hat_train,Nitrate-N,0,144.887243725169
y_hat_train,Nitrate-N,0,175.4691210380769
y_hat_train,Nitrate-N,0,38.46418248639657
y_hat_train,Nitrate-N,0,212.44461874885826
y_hat_train,Nitrate-N,0,209.78322533594707
y_hat_train,Nitrate-N,0,124.21771020002254
y_hat_train,Nitrate-N,0,174.99354386326823
y_hat_train,Nitrate-N,0,188.20097391708177
y_hat_train,Nitrate-N,0,191.83322928317165
y_hat_train,Nitrate-N,0,120.90464741187756
y_hat_train,Nitrate-N,0,164.9354067135896
y_hat_train,Nitrate-N,0,122.68286844027806
y_hat_train,Nitrate-N,0,209.39856699563478
y_hat_train,Nitrate-N,0,183.6268687745599
y_hat_train,Nitrate-N,0,92.60248182764735
y_hat_train,Nitrate-N,0,190.82959315493082
y_hat_train,Nitrate-N,0,173.62912463582828
y_hat_train,Nitrate-N,0,94.26141533030189
y_hat_train,Nitrate-N,0,156.28019201008624
y_hat_train,Nitrate-N,0,112.23097001224873
y_hat_train,Nitrate-N,0,192.80611662852795
y_hat_train,Nitrate-N,0,118.27648229378937
y_hat_train,Nitrate-N,0,196.4386354395361
y_hat_train,Nitrate-N,0,242.88824319886396
y_hat_train,Nitrate-N,0,239.23680085954948
y_hat_train,Nitrate-N,0,231.20405687238804
y_hat_train,Nitrate-N,0,109.37499993826592
y_hat_train,Nitrate-N,0,102.19630300351032
y_true_train,Nitrate-N,0,190.75
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,174.55
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,134.3
y_true_train,Nitrate-N,0,188.83
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,232.5
