output,species,iteration,value
y_hat_test,Nitrate-N,0,199.7578887939453
y_hat_test,Nitrate-N,0,197.4724578857422
y_hat_test,Nitrate-N,0,199.38214111328125
y_hat_test,Nitrate-N,0,193.7073974609375
y_hat_test,Nitrate-N,0,194.10438537597656
y_hat_test,Nitrate-N,0,120.82670593261719
y_hat_test,Nitrate-N,0,201.19271850585938
y_hat_test,Nitrate-N,0,163.21505737304688
y_hat_test,Nitrate-N,0,204.4451141357422
y_hat_test,Nitrate-N,0,195.48130798339844
y_hat_test,Nitrate-N,0,169.50527954101562
y_hat_test,Nitrate-N,0,215.79086303710938
y_hat_test,Nitrate-N,0,173.39878845214844
y_hat_test,Nitrate-N,0,191.05990600585938
y_hat_test,Nitrate-N,0,169.96865844726562
y_hat_train,Nitrate-N,0,261.92138671875
y_hat_train,Nitrate-N,0,199.31103515625
y_hat_train,Nitrate-N,0,186.14659118652344
y_hat_train,Nitrate-N,0,170.145263671875
y_hat_train,Nitrate-N,0,148.5213623046875
y_hat_train,Nitrate-N,0,175.4702911376953
y_hat_train,Nitrate-N,0,225.95086669921875
y_hat_train,Nitrate-N,0,178.8003692626953
y_hat_train,Nitrate-N,0,176.75582885742188
y_hat_train,Nitrate-N,0,231.42837524414062
y_hat_train,Nitrate-N,0,219.71224975585938
y_hat_train,Nitrate-N,0,160.2607421875
y_hat_train,Nitrate-N,0,189.2947998046875
y_hat_train,Nitrate-N,0,233.3585662841797
y_hat_train,Nitrate-N,0,174.9947052001953
y_hat_train,Nitrate-N,0,181.9839630126953
y_hat_train,Nitrate-N,0,220.0706329345703
y_hat_train,Nitrate-N,0,188.186279296875
y_hat_train,Nitrate-N,0,175.28416442871094
y_hat_train,Nitrate-N,0,175.01429748535156
y_hat_train,Nitrate-N,0,162.9935302734375
y_hat_train,Nitrate-N,0,224.68251037597656
y_hat_train,Nitrate-N,0,179.27940368652344
y_hat_train,Nitrate-N,0,209.65701293945312
y_hat_train,Nitrate-N,0,182.6099395751953
y_hat_train,Nitrate-N,0,215.4637451171875
y_hat_train,Nitrate-N,0,163.95909118652344
y_hat_train,Nitrate-N,0,181.98016357421875
y_hat_train,Nitrate-N,0,119.33820343017578
y_hat_train,Nitrate-N,0,150.41258239746094
y_hat_train,Nitrate-N,0,160.02552795410156
y_hat_train,Nitrate-N,0,229.41961669921875
y_hat_train,Nitrate-N,0,259.95697021484375
y_hat_train,Nitrate-N,0,88.92398834228516
y_hat_train,Nitrate-N,0,209.65310668945312
y_hat_train,Nitrate-N,0,188.7575225830078
y_hat_train,Nitrate-N,0,139.41624450683594
y_hat_train,Nitrate-N,0,176.79022216796875
y_hat_train,Nitrate-N,0,139.768798828125
y_hat_train,Nitrate-N,0,213.57386779785156
y_hat_train,Nitrate-N,0,210.8039093017578
y_hat_train,Nitrate-N,0,214.56076049804688
y_hat_train,Nitrate-N,0,255.8957061767578
y_hat_train,Nitrate-N,0,78.39319610595703
y_hat_train,Nitrate-N,0,191.83905029296875
