output,species,iteration,value
y_hat_test,Sulfate,0,196.7205810546875
y_hat_test,Sulfate,0,176.1053924560547
y_hat_test,Sulfate,0,206.02151489257812
y_hat_test,Sulfate,0,172.57421875
y_hat_test,Sulfate,0,226.78274536132812
y_hat_test,Sulfate,0,190.12777709960938
y_hat_test,Sulfate,0,176.84439086914062
y_hat_test,Sulfate,0,184.2593231201172
y_hat_test,Sulfate,0,187.12179565429688
y_hat_test,Sulfate,0,165.6611785888672
y_hat_test,Sulfate,0,161.9373779296875
y_hat_test,Sulfate,0,178.98309326171875
y_hat_test,Sulfate,0,205.29322814941406
y_hat_test,Sulfate,0,190.88076782226562
y_hat_test,Sulfate,0,205.4319305419922
y_hat_train,Sulfate,0,179.04200744628906
y_hat_train,Sulfate,0,170.5372772216797
y_hat_train,Sulfate,0,161.69285583496094
y_hat_train,Sulfate,0,160.42401123046875
y_hat_train,Sulfate,0,217.94393920898438
y_hat_train,Sulfate,0,170.10345458984375
y_hat_train,Sulfate,0,158.4418182373047
y_hat_train,Sulfate,0,174.90928649902344
y_hat_train,Sulfate,0,199.24429321289062
y_hat_train,Sulfate,0,233.7969970703125
y_hat_train,Sulfate,0,251.79136657714844
y_hat_train,Sulfate,0,150.03907775878906
y_hat_train,Sulfate,0,169.4672088623047
y_hat_train,Sulfate,0,163.52554321289062
y_hat_train,Sulfate,0,140.63427734375
y_hat_train,Sulfate,0,179.71018981933594
y_hat_train,Sulfate,0,165.30162048339844
y_hat_train,Sulfate,0,183.0027618408203
y_hat_train,Sulfate,0,170.7369842529297
y_hat_train,Sulfate,0,179.17225646972656
y_hat_train,Sulfate,0,157.4402618408203
y_hat_train,Sulfate,0,251.36532592773438
y_hat_train,Sulfate,0,196.31936645507812
y_hat_train,Sulfate,0,173.2177734375
y_hat_train,Sulfate,0,176.81005859375
y_hat_train,Sulfate,0,232.7475128173828
y_hat_train,Sulfate,0,201.34201049804688
y_hat_train,Sulfate,0,169.72862243652344
y_true_train,Sulfate,0,179.97
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,161.24
y_true_train,Sulfate,0,157.5
y_true_train,Sulfate,0,220.32
y_true_train,Sulfate,0,169.48
y_true_train,Sulfate,0,160.47
y_true_train,Sulfate,0,174.1
y_true_train,Sulfate,0,201.03
y_true_train,Sulfate,0,237.4
y_true_train,Sulfate,0,255.92
y_true_train,Sulfate,0,149.14
