output,species,iteration,value
y_hat_test,Sulfate,0,192.4515565816266
y_hat_test,Sulfate,0,181.1641152574908
y_hat_test,Sulfate,0,190.94638949766755
y_hat_test,Sulfate,0,171.48619796215965
y_hat_test,Sulfate,0,233.93293846728986
y_hat_test,Sulfate,0,178.9003047762604
y_hat_test,Sulfate,0,170.35750501087475
y_hat_test,Sulfate,0,176.58970501491922
y_hat_test,Sulfate,0,177.54734771062664
y_hat_test,Sulfate,0,173.53820094775688
y_hat_test,Sulfate,0,169.83820360429775
y_hat_test,Sulfate,0,183.62996571440155
y_hat_test,Sulfate,0,207.38644966286222
y_hat_test,Sulfate,0,187.09956504820644
y_hat_test,Sulfate,0,208.81705401237306
y_hat_train,Sulfate,0,165.33520523788047
y_hat_train,Sulfate,0,190.47680507000968
y_hat_train,Sulfate,0,182.43788681549898
y_hat_train,Sulfate,0,195.02886387256913
y_hat_train,Sulfate,0,178.30711462529396
y_hat_train,Sulfate,0,263.2526333271351
y_hat_train,Sulfate,0,196.05884104232177
y_hat_train,Sulfate,0,173.92317435026482
y_hat_train,Sulfate,0,203.60554400881392
y_hat_train,Sulfate,0,181.16915834197727
y_hat_train,Sulfate,0,227.13011114957948
y_hat_train,Sulfate,0,159.06527074515185
y_hat_train,Sulfate,0,184.1863437924618
y_hat_train,Sulfate,0,241.67979441889284
y_hat_train,Sulfate,0,165.62891323280454
y_hat_train,Sulfate,0,143.28993248425417
y_hat_train,Sulfate,0,135.64031836244132
y_hat_train,Sulfate,0,149.45361307697743
y_hat_train,Sulfate,0,157.4454063006345
y_hat_train,Sulfate,0,202.54897111646946
y_hat_train,Sulfate,0,219.75447246544888
y_hat_train,Sulfate,0,243.07170423374802
y_hat_train,Sulfate,0,214.6706487515504
y_hat_train,Sulfate,0,176.84276983526829
y_hat_train,Sulfate,0,142.11457650486986
y_hat_train,Sulfate,0,174.25814412338164
y_hat_train,Sulfate,0,150.8927302438491
y_hat_train,Sulfate,0,155.17514089494023
y_hat_train,Sulfate,0,215.56900741539147
y_hat_train,Sulfate,0,204.29933211826406
y_hat_train,Sulfate,0,177.87122271646956
y_hat_train,Sulfate,0,155.27067688982083
y_hat_train,Sulfate,0,178.84123632856716
y_hat_train,Sulfate,0,223.60572594685846
y_hat_train,Sulfate,0,202.92871016013936
y_true_train,Sulfate,0,169.24
y_true_train,Sulfate,0,181.74
y_true_train,Sulfate,0,179.97
y_true_train,Sulfate,0,202.44
y_true_train,Sulfate,0,182.57
y_true_train,Sulfate,0,255.92
y_true_train,Sulfate,0,184.43
y_true_train,Sulfate,0,177.03
y_true_train,Sulfate,0,201.03
y_true_train,Sulfate,0,172.41
y_true_train,Sulfate,0,209.96
y_true_train,Sulfate,0,171.43
y_true_train,Sulfate,0,164.53
y_true_train,Sulfate,0,237.4
y_true_train,Sulfate,0,169.3
y_true_train,Sulfate,0,134.94
y_true_train,Sulfate,0,139.31
y_true_train,Sulfate,0,149.14
y_true_train,Sulfate,0,158.25
y_true_train,Sulfate,0,199.26
