output,species,iteration,value
y_hat_test,Nitrate-N,0,180.18648005950377
y_hat_test,Nitrate-N,0,190.53007168850067
y_hat_test,Nitrate-N,0,196.32953320030308
y_hat_test,Nitrate-N,0,184.84873077580446
y_hat_test,Nitrate-N,0,204.01371612777643
y_hat_test,Nitrate-N,0,190.61751620217512
y_hat_test,Nitrate-N,0,177.78713885276105
y_hat_test,Nitrate-N,0,184.12626780250457
y_hat_test,Nitrate-N,0,183.52654060522937
y_hat_test,Nitrate-N,0,188.37257174084192
y_hat_test,Nitrate-N,0,205.95763190041762
y_hat_test,Nitrate-N,0,185.39475317206146
y_hat_test,Nitrate-N,0,184.11041426864796
y_hat_test,Nitrate-N,0,190.93827946140394
y_hat_test,Nitrate-N,0,190.27846417978407
y_hat_train,Nitrate-N,0,184.9171208184651
y_hat_train,Nitrate-N,0,200.09013126067816
y_hat_train,Nitrate-N,0,198.8806188888216
y_hat_train,Nitrate-N,0,182.78562653164744
y_hat_train,Nitrate-N,0,197.02694679731584
y_hat_train,Nitrate-N,0,221.21449885030503
y_hat_train,Nitrate-N,0,194.30913659595498
y_hat_train,Nitrate-N,0,187.45261687754635
y_hat_train,Nitrate-N,0,176.15360611259524
y_hat_train,Nitrate-N,0,199.82831179460328
y_hat_train,Nitrate-N,0,189.95257948790825
y_hat_train,Nitrate-N,0,182.80589146775617
y_hat_train,Nitrate-N,0,186.06614412828986
y_hat_train,Nitrate-N,0,184.45127401140195
y_hat_train,Nitrate-N,0,188.77402699256308
y_hat_train,Nitrate-N,0,186.62964584551747
y_hat_train,Nitrate-N,0,189.58030931656444
y_hat_train,Nitrate-N,0,189.09341408677318
y_hat_train,Nitrate-N,0,189.29488960653404
y_hat_train,Nitrate-N,0,199.8984553990839
y_hat_train,Nitrate-N,0,182.07035358204612
y_hat_train,Nitrate-N,0,206.94112756213147
y_hat_train,Nitrate-N,0,192.79915305988132
y_hat_train,Nitrate-N,0,190.44891363995865
y_hat_train,Nitrate-N,0,188.63330662895441
y_hat_train,Nitrate-N,0,187.36839897236214
y_hat_train,Nitrate-N,0,196.9130293358925
y_hat_train,Nitrate-N,0,186.0278697128932
y_hat_train,Nitrate-N,0,195.9849737491925
y_hat_train,Nitrate-N,0,215.98470104459633
y_hat_train,Nitrate-N,0,176.10642904276716
y_hat_train,Nitrate-N,0,187.22780116160243
y_hat_train,Nitrate-N,0,177.89851224519265
y_hat_train,Nitrate-N,0,186.53793154739046
y_hat_train,Nitrate-N,0,190.38225384481385
y_true_train,Nitrate-N,0,185.0
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,284.78
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,219.65
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,195.28
y_true_train,Nitrate-N,0,175.43
