output,species,iteration,value
y_hat_test,Nitrate-N,0,189.91256666666663
y_hat_test,Nitrate-N,0,177.87341666666669
y_hat_test,Nitrate-N,0,174.25179999999978
y_hat_test,Nitrate-N,0,198.93883333333335
y_hat_test,Nitrate-N,0,209.48536666666666
y_hat_test,Nitrate-N,0,167.22928333333323
y_hat_test,Nitrate-N,0,201.24159999999995
y_hat_test,Nitrate-N,0,191.97530000000003
y_hat_test,Nitrate-N,0,202.26483333333334
y_hat_test,Nitrate-N,0,187.78310000000002
y_hat_test,Nitrate-N,0,184.84005000000002
y_hat_test,Nitrate-N,0,228.2106
y_hat_test,Nitrate-N,0,190.91600000000003
y_hat_test,Nitrate-N,0,187.86628333333326
y_hat_test,Nitrate-N,0,193.76783333333333
y_hat_train,Nitrate-N,0,185.21450333333337
y_hat_train,Nitrate-N,0,185.53615333333317
y_hat_train,Nitrate-N,0,248.4541999999998
y_hat_train,Nitrate-N,0,179.2491000000001
y_hat_train,Nitrate-N,0,178.3376500000001
y_hat_train,Nitrate-N,0,210.67800000000005
y_hat_train,Nitrate-N,0,194.58439999999982
y_hat_train,Nitrate-N,0,195.00647999999978
y_hat_train,Nitrate-N,0,182.9114033333334
y_hat_train,Nitrate-N,0,208.19723333333332
y_hat_train,Nitrate-N,0,185.62610000000018
y_hat_train,Nitrate-N,0,193.04030000000014
y_hat_train,Nitrate-N,0,206.18513333333337
y_hat_train,Nitrate-N,0,214.71173333333337
y_hat_train,Nitrate-N,0,197.3223999999998
y_hat_train,Nitrate-N,0,163.04241666666644
y_hat_train,Nitrate-N,0,181.16923333333355
y_hat_train,Nitrate-N,0,162.14319999999975
y_hat_train,Nitrate-N,0,171.1197083333332
y_hat_train,Nitrate-N,0,179.08246071428576
y_hat_train,Nitrate-N,0,189.99806666666672
y_hat_train,Nitrate-N,0,216.4610666666667
y_hat_train,Nitrate-N,0,196.59829999999994
y_hat_train,Nitrate-N,0,176.5518773809524
y_hat_train,Nitrate-N,0,182.86644666666672
y_hat_train,Nitrate-N,0,179.5357000000002
