output,species,iteration,value
y_hat_test,Nitrate-N,0,203.60482788085938
y_hat_test,Nitrate-N,0,178.15647888183594
y_hat_test,Nitrate-N,0,179.16558837890625
y_hat_test,Nitrate-N,0,200.61366271972656
y_hat_test,Nitrate-N,0,211.1843719482422
y_hat_test,Nitrate-N,0,176.2305908203125
y_hat_test,Nitrate-N,0,184.1672821044922
y_hat_test,Nitrate-N,0,180.49139404296875
y_hat_test,Nitrate-N,0,195.50096130371094
y_hat_test,Nitrate-N,0,201.48866271972656
y_hat_test,Nitrate-N,0,183.21380615234375
y_hat_test,Nitrate-N,0,276.09014892578125
y_hat_test,Nitrate-N,0,197.1338653564453
y_hat_test,Nitrate-N,0,200.66416931152344
y_hat_test,Nitrate-N,0,190.13375854492188
y_hat_train,Nitrate-N,0,184.9967041015625
y_hat_train,Nitrate-N,0,179.55393981933594
y_hat_train,Nitrate-N,0,284.738525390625
y_hat_train,Nitrate-N,0,164.29092407226562
y_hat_train,Nitrate-N,0,173.07943725585938
y_hat_train,Nitrate-N,0,219.64764404296875
y_hat_train,Nitrate-N,0,185.81619262695312
y_hat_train,Nitrate-N,0,183.06275939941406
y_hat_train,Nitrate-N,0,179.5336151123047
y_hat_train,Nitrate-N,0,209.99317932128906
y_hat_train,Nitrate-N,0,189.3577117919922
y_hat_train,Nitrate-N,0,186.19021606445312
y_hat_train,Nitrate-N,0,219.9838409423828
y_hat_train,Nitrate-N,0,232.99334716796875
y_hat_train,Nitrate-N,0,189.72787475585938
y_hat_train,Nitrate-N,0,156.72544860839844
y_hat_train,Nitrate-N,0,177.95513916015625
y_hat_train,Nitrate-N,0,161.15264892578125
y_hat_train,Nitrate-N,0,163.23919677734375
y_hat_train,Nitrate-N,0,175.4324951171875
y_hat_train,Nitrate-N,0,184.90267944335938
y_hat_train,Nitrate-N,0,227.4848175048828
y_hat_train,Nitrate-N,0,195.28628540039062
y_hat_train,Nitrate-N,0,175.4375
y_hat_train,Nitrate-N,0,174.28541564941406
y_hat_train,Nitrate-N,0,166.70970153808594
y_hat_train,Nitrate-N,0,227.47499084472656
y_hat_train,Nitrate-N,0,183.42105102539062
y_hat_train,Nitrate-N,0,192.2873992919922
y_hat_train,Nitrate-N,0,200.8795166015625
y_hat_train,Nitrate-N,0,174.1958465576172
y_hat_train,Nitrate-N,0,232.59034729003906
y_hat_train,Nitrate-N,0,175.534912109375
y_hat_train,Nitrate-N,0,214.97547912597656
y_hat_train,Nitrate-N,0,147.561767578125
y_true_train,Nitrate-N,0,185.0
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,284.78
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,219.65
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,220.0
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,156.73
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,184.9
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,195.28
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,192.3
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,174.2
y_true_train,Nitrate-N,0,232.6
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,215.0
y_true_train,Nitrate-N,0,147.55
y_true_test,Nitrate-N,0,186.4
y_true_test,Nitrate-N,0,198.9
y_true_test,Nitrate-N,0,221.43
y_true_test,Nitrate-N,0,204.43
y_true_test,Nitrate-N,0,227.5
y_true_test,Nitrate-N,0,212.5
y_true_test,Nitrate-N,0,232.5
y_true_test,Nitrate-N,0,188.58
y_true_test,Nitrate-N,0,163.35
y_true_test,Nitrate-N,0,186.48
y_true_test,Nitrate-N,0,175.0
y_true_test,Nitrate-N,0,246.45
y_true_test,Nitrate-N,0,159.48
y_true_test,Nitrate-N,0,204.03
y_true_test,Nitrate-N,0,152.3
test_ind,Nitrate-N,0,30.0
test_ind,Nitrate-N,0,10.0
test_ind,Nitrate-N,0,4.0
test_ind,Nitrate-N,0,12.0
test_ind,Nitrate-N,0,41.0
test_ind,Nitrate-N,0,5.0
test_ind,Nitrate-N,0,45.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,51.0
test_ind,Nitrate-N,0,11.0
test_ind,Nitrate-N,0,8.0
test_ind,Nitrate-N,0,25.0
test_ind,Nitrate-N,0,15.0
test_ind,Nitrate-N,0,13.0
test_ind,Nitrate-N,0,14.0
train_ind,Nitrate-N,0,56.0
train_ind,Nitrate-N,0,32.0
train_ind,Nitrate-N,0,23.0
train_ind,Nitrate-N,0,19.0
train_ind,Nitrate-N,0,16.0
train_ind,Nitrate-N,0,40.0
train_ind,Nitrate-N,0,48.0
train_ind,Nitrate-N,0,49.0
train_ind,Nitrate-N,0,37.0
train_ind,Nitrate-N,0,43.0
train_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,22.0
train_ind,Nitrate-N,0,50.0
train_ind,Nitrate-N,0,26.0
train_ind,Nitrate-N,0,2.0
train_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,9.0
train_ind,Nitrate-N,0,34.0
train_ind,Nitrate-N,0,29.0
train_ind,Nitrate-N,0,42.0
train_ind,Nitrate-N,0,54.0
train_ind,Nitrate-N,0,33.0
train_ind,Nitrate-N,0,18.0
train_ind,Nitrate-N,0,17.0
train_ind,Nitrate-N,0,46.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,55.0
train_ind,Nitrate-N,0,38.0
train_ind,Nitrate-N,0,36.0
train_ind,Nitrate-N,0,27.0
train_ind,Nitrate-N,0,35.0
train_ind,Nitrate-N,0,21.0
train_ind,Nitrate-N,0,6.0
test_rsq,Nitrate-N,0,-0.06239230592076228
train_rsq,Nitrate-N,0,0.9999997707058558
test_rmse,Nitrate-N,0,27.779820739214987
train_rmse,Nitrate-N,0,0.013048062624933332
test_mape,Nitrate-N,0,12.29886327526977
train_mape,Nitrate-N,0,0.004880810346258239
max_depth,Nitrate-N,0,4.0
learning_rate,Nitrate-N,0,0.16827722383947089
n_comp,Nitrate-N,0,23.0
y_hat_test,Nitrate-N,1,186.9699249267578
y_hat_test,Nitrate-N,1,190.0157928466797
y_hat_test,Nitrate-N,1,177.66635131835938
y_hat_test,Nitrate-N,1,218.48252868652344
y_hat_test,Nitrate-N,1,169.0207977294922
y_hat_test,Nitrate-N,1,188.35716247558594
y_hat_test,Nitrate-N,1,186.12693786621094
y_hat_test,Nitrate-N,1,196.72959899902344
y_hat_test,Nitrate-N,1,189.9786376953125
y_hat_test,Nitrate-N,1,192.03871154785156
y_hat_test,Nitrate-N,1,197.7920684814453
y_hat_test,Nitrate-N,1,188.65382385253906
y_hat_test,Nitrate-N,1,190.90943908691406
y_hat_test,Nitrate-N,1,175.80235290527344
y_hat_test,Nitrate-N,1,166.9410858154297
y_hat_train,Nitrate-N,1,241.5979766845703
y_hat_train,Nitrate-N,1,160.1312255859375
y_hat_train,Nitrate-N,1,215.07810974121094
y_hat_train,Nitrate-N,1,195.24835205078125
y_hat_train,Nitrate-N,1,191.19422912597656
y_hat_train,Nitrate-N,1,188.44192504882812
y_hat_train,Nitrate-N,1,223.98291015625
y_hat_train,Nitrate-N,1,198.42996215820312
y_hat_train,Nitrate-N,1,187.07615661621094
y_hat_train,Nitrate-N,1,191.6265106201172
y_hat_train,Nitrate-N,1,201.49050903320312
y_hat_train,Nitrate-N,1,214.48809814453125
y_hat_train,Nitrate-N,1,175.6577606201172
y_hat_train,Nitrate-N,1,173.9241485595703
y_hat_train,Nitrate-N,1,192.51441955566406
y_hat_train,Nitrate-N,1,184.49977111816406
y_hat_train,Nitrate-N,1,178.63096618652344
y_hat_train,Nitrate-N,1,154.07180786132812
y_hat_train,Nitrate-N,1,189.09979248046875
y_hat_train,Nitrate-N,1,228.33413696289062
y_hat_train,Nitrate-N,1,200.20249938964844
y_hat_train,Nitrate-N,1,218.995849609375
y_hat_train,Nitrate-N,1,167.94126892089844
y_hat_train,Nitrate-N,1,174.1774139404297
y_hat_train,Nitrate-N,1,158.64230346679688
y_hat_train,Nitrate-N,1,183.56431579589844
y_hat_train,Nitrate-N,1,185.3784942626953
y_hat_train,Nitrate-N,1,199.9746856689453
y_hat_train,Nitrate-N,1,173.87306213378906
y_hat_train,Nitrate-N,1,173.74017333984375
y_hat_train,Nitrate-N,1,228.575439453125
y_hat_train,Nitrate-N,1,212.58901977539062
y_hat_train,Nitrate-N,1,190.64683532714844
y_hat_train,Nitrate-N,1,150.13330078125
y_hat_train,Nitrate-N,1,162.39431762695312
y_true_train,Nitrate-N,1,246.45
y_true_train,Nitrate-N,1,159.48
