output,species,iteration,value
y_hat_test,Nitrate-N,0,198.51832580566406
y_hat_test,Nitrate-N,0,177.17466735839844
y_hat_test,Nitrate-N,0,132.2271270751953
y_hat_test,Nitrate-N,0,202.8832550048828
y_hat_test,Nitrate-N,0,177.88111877441406
y_hat_test,Nitrate-N,0,171.3887939453125
y_hat_test,Nitrate-N,0,187.01869201660156
y_hat_test,Nitrate-N,0,201.51075744628906
y_hat_test,Nitrate-N,0,167.5085906982422
y_hat_train,Nitrate-N,0,161.85498046875
y_hat_train,Nitrate-N,0,162.474365234375
y_hat_train,Nitrate-N,0,161.79144287109375
y_hat_train,Nitrate-N,0,162.3985137939453
y_hat_train,Nitrate-N,0,161.91940307617188
y_hat_train,Nitrate-N,0,162.00718688964844
y_hat_train,Nitrate-N,0,162.06553649902344
y_hat_train,Nitrate-N,0,222.78167724609375
y_hat_train,Nitrate-N,0,223.80462646484375
y_hat_train,Nitrate-N,0,222.98648071289062
y_hat_train,Nitrate-N,0,224.64430236816406
y_hat_train,Nitrate-N,0,223.7118682861328
y_hat_train,Nitrate-N,0,223.50706481933594
y_hat_train,Nitrate-N,0,222.6840057373047
y_hat_train,Nitrate-N,0,191.34852600097656
y_hat_train,Nitrate-N,0,191.75868225097656
y_hat_train,Nitrate-N,0,190.0352325439453
y_hat_train,Nitrate-N,0,191.00506591796875
y_hat_train,Nitrate-N,0,190.5001678466797
y_hat_train,Nitrate-N,0,191.5450439453125
y_hat_train,Nitrate-N,0,191.1549530029297
y_hat_train,Nitrate-N,0,150.3558807373047
y_hat_train,Nitrate-N,0,149.75169372558594
y_hat_train,Nitrate-N,0,150.4394073486328
y_hat_train,Nitrate-N,0,149.5828399658203
y_hat_train,Nitrate-N,0,149.60400390625
y_hat_train,Nitrate-N,0,150.3161163330078
y_hat_train,Nitrate-N,0,149.8659210205078
y_hat_train,Nitrate-N,0,177.72845458984375
y_hat_train,Nitrate-N,0,177.2322540283203
y_hat_train,Nitrate-N,0,177.7210235595703
y_hat_train,Nitrate-N,0,178.35215759277344
y_hat_train,Nitrate-N,0,178.02496337890625
y_hat_train,Nitrate-N,0,178.12330627441406
y_hat_train,Nitrate-N,0,178.16184997558594
y_hat_train,Nitrate-N,0,208.1545867919922
y_hat_train,Nitrate-N,0,207.6008758544922
y_hat_train,Nitrate-N,0,207.82945251464844
y_hat_train,Nitrate-N,0,208.55142211914062
y_hat_train,Nitrate-N,0,208.07928466796875
y_hat_train,Nitrate-N,0,207.65316772460938
y_hat_train,Nitrate-N,0,208.34642028808594
y_hat_train,Nitrate-N,0,195.8440399169922
y_hat_train,Nitrate-N,0,196.0762176513672
y_hat_train,Nitrate-N,0,195.41555786132812
y_hat_train,Nitrate-N,0,196.20970153808594
y_hat_train,Nitrate-N,0,195.8934783935547
y_hat_train,Nitrate-N,0,194.974853515625
y_hat_train,Nitrate-N,0,196.7648162841797
y_hat_train,Nitrate-N,0,189.49049377441406
y_hat_train,Nitrate-N,0,189.75294494628906
y_hat_train,Nitrate-N,0,189.16094970703125
y_hat_train,Nitrate-N,0,190.053466796875
y_hat_train,Nitrate-N,0,190.13441467285156
y_hat_train,Nitrate-N,0,189.53463745117188
y_hat_train,Nitrate-N,0,189.27891540527344
y_hat_train,Nitrate-N,0,186.81044006347656
y_hat_train,Nitrate-N,0,186.0415802001953
y_hat_train,Nitrate-N,0,186.63597106933594
y_hat_train,Nitrate-N,0,186.6274871826172
y_hat_train,Nitrate-N,0,186.49659729003906
y_hat_train,Nitrate-N,0,186.84669494628906
y_hat_train,Nitrate-N,0,186.18807983398438
y_hat_train,Nitrate-N,0,155.58619689941406
y_hat_train,Nitrate-N,0,154.69285583496094
y_hat_train,Nitrate-N,0,154.891845703125
y_hat_train,Nitrate-N,0,155.75599670410156
y_hat_train,Nitrate-N,0,155.60289001464844
y_hat_train,Nitrate-N,0,155.765380859375
y_hat_train,Nitrate-N,0,155.2696075439453
y_hat_train,Nitrate-N,0,220.1531219482422
y_hat_train,Nitrate-N,0,220.3761749267578
y_hat_train,Nitrate-N,0,220.392333984375
y_hat_train,Nitrate-N,0,220.45469665527344
y_hat_train,Nitrate-N,0,219.60084533691406
y_hat_train,Nitrate-N,0,219.89566040039062
