output,species,iteration,value
y_hat_test,Nitrate-N,1,186.07508850097656
y_hat_test,Nitrate-N,1,207.12423706054688
y_hat_test,Nitrate-N,1,166.6969451904297
y_hat_test,Nitrate-N,1,161.10064697265625
y_hat_test,Nitrate-N,1,211.1306610107422
y_hat_test,Nitrate-N,1,201.7571563720703
y_hat_test,Nitrate-N,1,174.89329528808594
y_hat_test,Nitrate-N,1,197.48721313476562
y_hat_test,Nitrate-N,1,59.70206832885742
y_hat_train,Nitrate-N,1,194.3652801513672
y_hat_train,Nitrate-N,1,197.3053741455078
y_hat_train,Nitrate-N,1,194.8439483642578
y_hat_train,Nitrate-N,1,197.65599060058594
y_hat_train,Nitrate-N,1,198.36598205566406
y_hat_train,Nitrate-N,1,197.24366760253906
y_hat_train,Nitrate-N,1,196.20252990722656
y_hat_train,Nitrate-N,1,177.10130310058594
y_hat_train,Nitrate-N,1,177.08924865722656
y_hat_train,Nitrate-N,1,177.5576629638672
y_hat_train,Nitrate-N,1,177.79835510253906
y_hat_train,Nitrate-N,1,177.76344299316406
y_hat_train,Nitrate-N,1,177.32980346679688
y_hat_train,Nitrate-N,1,176.97703552246094
y_hat_train,Nitrate-N,1,159.42103576660156
y_hat_train,Nitrate-N,1,160.58714294433594
y_hat_train,Nitrate-N,1,159.24278259277344
y_hat_train,Nitrate-N,1,159.70849609375
y_hat_train,Nitrate-N,1,160.64488220214844
y_hat_train,Nitrate-N,1,158.58799743652344
y_hat_train,Nitrate-N,1,159.83619689941406
y_hat_train,Nitrate-N,1,225.62594604492188
y_hat_train,Nitrate-N,1,224.91954040527344
y_hat_train,Nitrate-N,1,225.37049865722656
y_hat_train,Nitrate-N,1,225.93861389160156
y_hat_train,Nitrate-N,1,224.62171936035156
y_hat_train,Nitrate-N,1,225.28343200683594
y_hat_train,Nitrate-N,1,225.22166442871094
y_hat_train,Nitrate-N,1,236.3052520751953
y_hat_train,Nitrate-N,1,236.50086975097656
y_hat_train,Nitrate-N,1,235.9520721435547
y_hat_train,Nitrate-N,1,235.9683380126953
y_hat_train,Nitrate-N,1,236.30662536621094
y_hat_train,Nitrate-N,1,236.5041961669922
y_hat_train,Nitrate-N,1,236.1924591064453
y_hat_train,Nitrate-N,1,230.81272888183594
y_hat_train,Nitrate-N,1,230.6138458251953
y_hat_train,Nitrate-N,1,229.9552764892578
y_hat_train,Nitrate-N,1,230.46444702148438
y_hat_train,Nitrate-N,1,229.54014587402344
y_hat_train,Nitrate-N,1,229.8519744873047
y_hat_train,Nitrate-N,1,230.16546630859375
y_hat_train,Nitrate-N,1,197.4837188720703
y_hat_train,Nitrate-N,1,195.63389587402344
y_hat_train,Nitrate-N,1,196.58998107910156
y_hat_train,Nitrate-N,1,196.45960998535156
y_hat_train,Nitrate-N,1,195.89454650878906
y_hat_train,Nitrate-N,1,197.52244567871094
y_hat_train,Nitrate-N,1,196.15943908691406
y_hat_train,Nitrate-N,1,147.21131896972656
