output,species,iteration,value
y_hat_test,Nitrate-N,0,197.45497118701738
y_hat_test,Nitrate-N,0,221.5298464905118
y_hat_test,Nitrate-N,0,176.08327097951855
y_hat_test,Nitrate-N,0,196.77200559244486
y_hat_test,Nitrate-N,0,180.22355522145867
y_hat_test,Nitrate-N,0,190.1209087803802
y_hat_test,Nitrate-N,0,180.2652929090083
y_hat_test,Nitrate-N,0,197.90289332097063
y_hat_test,Nitrate-N,0,173.81611315172088
y_hat_test,Nitrate-N,0,174.2769563834254
y_hat_test,Nitrate-N,0,189.4297302322724
y_hat_test,Nitrate-N,0,188.02625292425557
y_hat_test,Nitrate-N,0,180.84157592221425
y_hat_test,Nitrate-N,0,189.06024282722223
y_hat_test,Nitrate-N,0,176.833360293966
y_hat_test,Nitrate-N,0,184.8794972354864
y_hat_test,Nitrate-N,0,192.3726482792528
y_hat_test,Nitrate-N,0,199.58831662396716
y_hat_test,Nitrate-N,0,182.93983333206648
y_hat_train,Nitrate-N,0,173.32347847049266
y_hat_train,Nitrate-N,0,175.42128930305253
y_hat_train,Nitrate-N,0,177.9553501051129
y_hat_train,Nitrate-N,0,202.86625438038467
y_hat_train,Nitrate-N,0,182.88488971453674
y_hat_train,Nitrate-N,0,189.15051766479013
y_hat_train,Nitrate-N,0,180.79490406254817
y_hat_train,Nitrate-N,0,183.63179506540484
y_hat_train,Nitrate-N,0,181.28285487517255
y_hat_train,Nitrate-N,0,176.79385822209025
y_hat_train,Nitrate-N,0,180.99797788024352
y_hat_train,Nitrate-N,0,181.53156142730236
y_hat_train,Nitrate-N,0,196.6398843483016
y_hat_train,Nitrate-N,0,171.2903786056563
y_hat_train,Nitrate-N,0,185.1413513577019
y_hat_train,Nitrate-N,0,178.33372381897527
y_hat_train,Nitrate-N,0,185.0551875924404
y_hat_train,Nitrate-N,0,184.63805770934687
y_hat_train,Nitrate-N,0,175.7440191190868
y_hat_train,Nitrate-N,0,182.11162175627175
y_hat_train,Nitrate-N,0,194.5469065571245
y_hat_train,Nitrate-N,0,173.56364877389098
y_hat_train,Nitrate-N,0,189.78183795785142
y_hat_train,Nitrate-N,0,182.93949205063868
y_hat_train,Nitrate-N,0,180.02487703048723
y_hat_train,Nitrate-N,0,187.4268990925884
y_hat_train,Nitrate-N,0,167.8316702991938
y_hat_train,Nitrate-N,0,178.8176926426929
y_hat_train,Nitrate-N,0,242.60176917697893
y_hat_train,Nitrate-N,0,186.01188320623135
y_hat_train,Nitrate-N,0,173.803798918376
y_hat_train,Nitrate-N,0,175.79612425690075
y_hat_train,Nitrate-N,0,183.2315721960298
y_hat_train,Nitrate-N,0,187.70821974345677
y_hat_train,Nitrate-N,0,181.58118643843147
y_hat_train,Nitrate-N,0,182.39858445773132
y_hat_train,Nitrate-N,0,185.12857077356227
y_hat_train,Nitrate-N,0,191.598819959944
y_hat_train,Nitrate-N,0,192.72233439699735
y_hat_train,Nitrate-N,0,181.87729581234734
y_hat_train,Nitrate-N,0,182.92457728816015
y_hat_train,Nitrate-N,0,186.48771521010934
y_hat_train,Nitrate-N,0,232.37390677595394
y_hat_train,Nitrate-N,0,211.98166150540885
y_true_train,Nitrate-N,0,158.13
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,179.55
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,170.45
y_true_train,Nitrate-N,0,159.48
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,198.9
y_true_train,Nitrate-N,0,246.45
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,204.43
y_true_train,Nitrate-N,0,152.3
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,188.58
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,186.48
y_true_train,Nitrate-N,0,192.3
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,177.95
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,197.5
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,204.03
y_true_train,Nitrate-N,0,198.28
y_true_train,Nitrate-N,0,175.43
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,221.43
y_true_train,Nitrate-N,0,147.55
y_true_train,Nitrate-N,0,181.7
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,219.65
y_true_test,Nitrate-N,0,174.2
y_true_test,Nitrate-N,0,210.0
y_true_test,Nitrate-N,0,185.0
y_true_test,Nitrate-N,0,232.5
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,189.35
y_true_test,Nitrate-N,0,189.73
y_true_test,Nitrate-N,0,190.75
y_true_test,Nitrate-N,0,134.3
y_true_test,Nitrate-N,0,212.5
y_true_test,Nitrate-N,0,215.0
y_true_test,Nitrate-N,0,195.28
y_true_test,Nitrate-N,0,156.73
y_true_test,Nitrate-N,0,188.83
y_true_test,Nitrate-N,0,220.0
y_true_test,Nitrate-N,0,174.55
y_true_test,Nitrate-N,0,184.9
y_true_test,Nitrate-N,0,200.88
y_true_test,Nitrate-N,0,284.78
test_ind,Nitrate-N,0,43.0
test_ind,Nitrate-N,0,49.0
test_ind,Nitrate-N,0,62.0
test_ind,Nitrate-N,0,51.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,34.0
test_ind,Nitrate-N,0,29.0
test_ind,Nitrate-N,0,46.0
test_ind,Nitrate-N,0,11.0
test_ind,Nitrate-N,0,2.0
test_ind,Nitrate-N,0,26.0
test_ind,Nitrate-N,0,60.0
test_ind,Nitrate-N,0,4.0
test_ind,Nitrate-N,0,10.0
test_ind,Nitrate-N,0,27.0
test_ind,Nitrate-N,0,33.0
test_ind,Nitrate-N,0,35.0
test_ind,Nitrate-N,0,45.0
test_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,14.0
train_ind,Nitrate-N,0,22.0
train_ind,Nitrate-N,0,42.0
train_ind,Nitrate-N,0,54.0
train_ind,Nitrate-N,0,40.0
train_ind,Nitrate-N,0,41.0
train_ind,Nitrate-N,0,57.0
train_ind,Nitrate-N,0,18.0
train_ind,Nitrate-N,0,59.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,15.0
train_ind,Nitrate-N,0,30.0
train_ind,Nitrate-N,0,5.0
train_ind,Nitrate-N,0,16.0
train_ind,Nitrate-N,0,20.0
train_ind,Nitrate-N,0,55.0
train_ind,Nitrate-N,0,8.0
train_ind,Nitrate-N,0,13.0
train_ind,Nitrate-N,0,25.0
train_ind,Nitrate-N,0,37.0
train_ind,Nitrate-N,0,17.0
train_ind,Nitrate-N,0,61.0
train_ind,Nitrate-N,0,52.0
train_ind,Nitrate-N,0,56.0
train_ind,Nitrate-N,0,38.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,12.0
train_ind,Nitrate-N,0,48.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,6.0
train_ind,Nitrate-N,0,23.0
train_ind,Nitrate-N,0,36.0
train_ind,Nitrate-N,0,50.0
train_ind,Nitrate-N,0,21.0
train_ind,Nitrate-N,0,19.0
train_ind,Nitrate-N,0,9.0
train_ind,Nitrate-N,0,39.0
train_ind,Nitrate-N,0,58.0
train_ind,Nitrate-N,0,3.0
train_ind,Nitrate-N,0,0.0
train_ind,Nitrate-N,0,53.0
train_ind,Nitrate-N,0,47.0
train_ind,Nitrate-N,0,44.0
test_rsq,Nitrate-N,0,-0.1654677734844412
train_rsq,Nitrate-N,0,0.34958277186332454
test_rmse,Nitrate-N,0,33.73561774540012
train_rmse,Nitrate-N,0,18.888903052084647
test_mape,Nitrate-N,0,11.326281815737262
train_mape,Nitrate-N,0,7.789146956753348
n_comp,Nitrate-N,0,3.0
y_hat_test,Nitrate-N,1,198.9803559880937
y_hat_test,Nitrate-N,1,168.86551383658184
y_hat_test,Nitrate-N,1,237.81297988346137
y_hat_test,Nitrate-N,1,195.48880756338636
y_hat_test,Nitrate-N,1,192.96555621680767
y_hat_test,Nitrate-N,1,124.95470886622186
y_hat_test,Nitrate-N,1,180.93098165953714
y_hat_test,Nitrate-N,1,203.2577604723798
y_hat_test,Nitrate-N,1,175.73648732097536
y_hat_test,Nitrate-N,1,213.0149757875091
y_hat_test,Nitrate-N,1,168.56323845483524
y_hat_test,Nitrate-N,1,195.9639319971466
y_hat_test,Nitrate-N,1,187.61751354179944
y_hat_test,Nitrate-N,1,229.0519156786072
y_hat_test,Nitrate-N,1,218.37937469250826
y_hat_test,Nitrate-N,1,241.55064946085423
y_hat_test,Nitrate-N,1,138.88212177569267
y_hat_test,Nitrate-N,1,162.27838963995742
y_hat_test,Nitrate-N,1,156.61296737289018
y_hat_train,Nitrate-N,1,192.3621878743874
y_hat_train,Nitrate-N,1,183.10276102621773
y_hat_train,Nitrate-N,1,199.58729548242013
y_hat_train,Nitrate-N,1,176.48353958269644
y_hat_train,Nitrate-N,1,190.01432802152155
y_hat_train,Nitrate-N,1,178.92795956652782
y_hat_train,Nitrate-N,1,189.3895682493349
y_hat_train,Nitrate-N,1,219.39807425466483
y_hat_train,Nitrate-N,1,227.84912039160406
y_hat_train,Nitrate-N,1,172.07731097747399
y_hat_train,Nitrate-N,1,196.28365880812032
y_hat_train,Nitrate-N,1,200.84903023161903
y_hat_train,Nitrate-N,1,234.05955218811192
y_hat_train,Nitrate-N,1,174.0243953877983
y_hat_train,Nitrate-N,1,161.51974831338487
y_hat_train,Nitrate-N,1,234.26984396929583
y_hat_train,Nitrate-N,1,246.18681976627673
y_hat_train,Nitrate-N,1,210.4263852214207
y_hat_train,Nitrate-N,1,168.51063910981605
y_hat_train,Nitrate-N,1,158.4023652447382
y_hat_train,Nitrate-N,1,171.37610382359765
y_hat_train,Nitrate-N,1,207.8174841526153
y_hat_train,Nitrate-N,1,265.3777681267739
y_hat_train,Nitrate-N,1,191.83741925143633
y_hat_train,Nitrate-N,1,194.45237373265525
y_hat_train,Nitrate-N,1,167.58724311776564
y_hat_train,Nitrate-N,1,176.2701888394419
y_hat_train,Nitrate-N,1,147.43888553989487
y_hat_train,Nitrate-N,1,188.42773074843848
y_hat_train,Nitrate-N,1,172.89675127053192
y_hat_train,Nitrate-N,1,197.00202952246588
y_hat_train,Nitrate-N,1,146.73520938925626
y_hat_train,Nitrate-N,1,198.60029411826304
y_hat_train,Nitrate-N,1,169.07692291868685
y_hat_train,Nitrate-N,1,199.40504756754015
y_hat_train,Nitrate-N,1,154.44042277112212
y_hat_train,Nitrate-N,1,196.63912538657803
y_hat_train,Nitrate-N,1,154.25289600438745
y_hat_train,Nitrate-N,1,123.98002373598615
y_hat_train,Nitrate-N,1,195.03259248990676
y_hat_train,Nitrate-N,1,197.87391210559971
y_hat_train,Nitrate-N,1,186.43617728267972
y_hat_train,Nitrate-N,1,170.4016726923909
y_hat_train,Nitrate-N,1,186.45714174455367
y_true_train,Nitrate-N,1,188.83
y_true_train,Nitrate-N,1,183.05
y_true_train,Nitrate-N,1,204.03
y_true_train,Nitrate-N,1,189.35
y_true_train,Nitrate-N,1,189.35
y_true_train,Nitrate-N,1,186.48
y_true_train,Nitrate-N,1,185.8
y_true_train,Nitrate-N,1,227.5
y_true_train,Nitrate-N,1,227.5
y_true_train,Nitrate-N,1,174.55
y_true_train,Nitrate-N,1,197.5
y_true_train,Nitrate-N,1,186.18
y_true_train,Nitrate-N,1,233.0
y_true_train,Nitrate-N,1,163.23
y_true_train,Nitrate-N,1,166.68
y_true_train,Nitrate-N,1,232.6
y_true_train,Nitrate-N,1,246.45
y_true_train,Nitrate-N,1,210.0
y_true_train,Nitrate-N,1,174.28
y_true_train,Nitrate-N,1,156.73
y_true_train,Nitrate-N,1,175.0
y_true_train,Nitrate-N,1,189.73
y_true_train,Nitrate-N,1,284.78
y_true_train,Nitrate-N,1,170.45
y_true_train,Nitrate-N,1,190.75
y_true_train,Nitrate-N,1,159.48
y_true_train,Nitrate-N,1,185.0
y_true_train,Nitrate-N,1,152.3
y_true_train,Nitrate-N,1,188.58
y_true_train,Nitrate-N,1,161.15
y_true_train,Nitrate-N,1,200.88
y_true_train,Nitrate-N,1,158.13
y_true_train,Nitrate-N,1,195.28
y_true_train,Nitrate-N,1,169.4
y_true_train,Nitrate-N,1,204.43
y_true_train,Nitrate-N,1,147.55
y_true_train,Nitrate-N,1,198.9
y_true_train,Nitrate-N,1,149.25
y_true_train,Nitrate-N,1,134.3
y_true_train,Nitrate-N,1,198.28
y_true_train,Nitrate-N,1,198.28
y_true_train,Nitrate-N,1,177.95
y_true_train,Nitrate-N,1,174.2
y_true_train,Nitrate-N,1,186.4
y_true_test,Nitrate-N,1,164.28
y_true_test,Nitrate-N,1,175.43
y_true_test,Nitrate-N,1,232.5
y_true_test,Nitrate-N,1,220.0
y_true_test,Nitrate-N,1,192.3
y_true_test,Nitrate-N,1,212.5
y_true_test,Nitrate-N,1,173.08
y_true_test,Nitrate-N,1,179.53
y_true_test,Nitrate-N,1,175.53
y_true_test,Nitrate-N,1,219.65
y_true_test,Nitrate-N,1,175.43
y_true_test,Nitrate-N,1,181.7
y_true_test,Nitrate-N,1,184.9
y_true_test,Nitrate-N,1,215.0
