output,species,iteration,value
y_hat_test,Nitrate-N,0,183.64368000000005
y_hat_test,Nitrate-N,0,188.5934
y_hat_test,Nitrate-N,0,183.00545666666673
y_hat_test,Nitrate-N,0,207.48840000000004
y_hat_test,Nitrate-N,0,181.50701333333342
y_hat_test,Nitrate-N,0,187.1383333333335
y_hat_test,Nitrate-N,0,182.5479433333334
y_hat_test,Nitrate-N,0,186.5748133333334
y_hat_test,Nitrate-N,0,179.9549666666667
y_hat_test,Nitrate-N,0,185.49829999999997
y_hat_test,Nitrate-N,0,196.80926666666682
y_hat_test,Nitrate-N,0,194.0856666666667
y_hat_test,Nitrate-N,0,174.52664000000004
y_hat_test,Nitrate-N,0,192.48
y_hat_test,Nitrate-N,0,181.15660000000008
y_hat_test,Nitrate-N,0,179.3739166666667
y_hat_test,Nitrate-N,0,197.06051333333332
y_hat_test,Nitrate-N,0,186.05391666666674
y_hat_test,Nitrate-N,0,187.6849266666667
y_hat_train,Nitrate-N,0,166.34390666666644
y_hat_train,Nitrate-N,0,176.56599999999997
y_hat_train,Nitrate-N,0,173.70540000000017
y_hat_train,Nitrate-N,0,182.47576333333345
y_hat_train,Nitrate-N,0,186.94409999999985
y_hat_train,Nitrate-N,0,182.55786333333322
y_hat_train,Nitrate-N,0,175.9196166666666
y_hat_train,Nitrate-N,0,175.54760000000013
y_hat_train,Nitrate-N,0,168.6208333333331
y_hat_train,Nitrate-N,0,185.8960333333333
y_hat_train,Nitrate-N,0,189.00078000000016
y_hat_train,Nitrate-N,0,192.25449999999992
y_hat_train,Nitrate-N,0,227.98100000000028
y_hat_train,Nitrate-N,0,168.26720000000006
y_hat_train,Nitrate-N,0,197.47260000000006
y_hat_train,Nitrate-N,0,165.66129999999984
y_hat_train,Nitrate-N,0,185.11789999999985
y_hat_train,Nitrate-N,0,192.62323333333342
y_hat_train,Nitrate-N,0,171.84889999999984
y_hat_train,Nitrate-N,0,185.66506666666683
y_hat_train,Nitrate-N,0,190.10603999999995
y_hat_train,Nitrate-N,0,186.00960666666643
y_hat_train,Nitrate-N,0,189.08003333333312
y_hat_train,Nitrate-N,0,211.65329999999997
y_hat_train,Nitrate-N,0,176.08503333333346
y_hat_train,Nitrate-N,0,176.97965000000008
