output,species,iteration,value
y_hat_test,Nitrate-N,0,246.62799072265625
y_hat_test,Nitrate-N,0,199.69393920898438
y_hat_test,Nitrate-N,0,208.19921875
y_hat_test,Nitrate-N,0,201.94085693359375
y_hat_test,Nitrate-N,0,201.21731567382812
y_hat_test,Nitrate-N,0,180.904052734375
y_hat_test,Nitrate-N,0,156.9803924560547
y_hat_test,Nitrate-N,0,216.23440551757812
y_hat_test,Nitrate-N,0,173.10440063476562
y_hat_test,Nitrate-N,0,194.43121337890625
y_hat_test,Nitrate-N,0,157.01763916015625
y_hat_test,Nitrate-N,0,204.34625244140625
y_hat_test,Nitrate-N,0,186.03521728515625
y_hat_test,Nitrate-N,0,172.88999938964844
y_hat_test,Nitrate-N,0,229.41354370117188
y_hat_test,Nitrate-N,0,204.34146118164062
y_hat_test,Nitrate-N,0,230.78512573242188
y_hat_test,Nitrate-N,0,46.90545654296875
y_hat_train,Nitrate-N,0,164.66314697265625
y_hat_train,Nitrate-N,0,174.0399932861328
y_hat_train,Nitrate-N,0,148.9833221435547
y_hat_train,Nitrate-N,0,169.99887084960938
y_hat_train,Nitrate-N,0,170.79103088378906
y_hat_train,Nitrate-N,0,188.29254150390625
y_hat_train,Nitrate-N,0,208.6576385498047
y_hat_train,Nitrate-N,0,213.43331909179688
y_hat_train,Nitrate-N,0,195.96632385253906
y_hat_train,Nitrate-N,0,202.8760986328125
y_hat_train,Nitrate-N,0,149.84579467773438
y_hat_train,Nitrate-N,0,158.70697021484375
y_hat_train,Nitrate-N,0,185.3690643310547
y_hat_train,Nitrate-N,0,173.4078369140625
y_hat_train,Nitrate-N,0,242.096435546875
y_hat_train,Nitrate-N,0,183.39102172851562
y_hat_train,Nitrate-N,0,200.85415649414062
y_hat_train,Nitrate-N,0,188.2662353515625
y_hat_train,Nitrate-N,0,162.96664428710938
y_hat_train,Nitrate-N,0,182.65533447265625
y_hat_train,Nitrate-N,0,185.21177673339844
y_hat_train,Nitrate-N,0,183.66482543945312
y_hat_train,Nitrate-N,0,165.94384765625
y_hat_train,Nitrate-N,0,203.42120361328125
y_hat_train,Nitrate-N,0,187.04583740234375
y_hat_train,Nitrate-N,0,158.552978515625
y_hat_train,Nitrate-N,0,229.0762939453125
y_hat_train,Nitrate-N,0,226.04928588867188
y_hat_train,Nitrate-N,0,211.74302673339844
y_hat_train,Nitrate-N,0,226.49874877929688
y_hat_train,Nitrate-N,0,193.21047973632812
y_hat_train,Nitrate-N,0,152.51739501953125
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,147.55
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,170.45
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,210.0
y_true_train,Nitrate-N,0,215.0
y_true_train,Nitrate-N,0,195.28
y_true_train,Nitrate-N,0,204.03
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,159.48
y_true_train,Nitrate-N,0,188.58
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,246.45
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,204.43
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,192.3
y_true_train,Nitrate-N,0,152.3
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,227.5
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,186.48
y_true_test,Nitrate-N,0,156.73
y_true_test,Nitrate-N,0,179.55
y_true_test,Nitrate-N,0,197.5
y_true_test,Nitrate-N,0,220.0
y_true_test,Nitrate-N,0,181.7
y_true_test,Nitrate-N,0,221.43
y_true_test,Nitrate-N,0,198.9
y_true_test,Nitrate-N,0,184.9
y_true_test,Nitrate-N,0,190.75
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,219.65
y_true_test,Nitrate-N,0,174.2
y_true_test,Nitrate-N,0,177.95
test_ind,Nitrate-N,0,35.0
test_ind,Nitrate-N,0,34.0
test_ind,Nitrate-N,0,42.0
test_ind,Nitrate-N,0,27.0
test_ind,Nitrate-N,0,11.0
test_ind,Nitrate-N,0,2.0
test_ind,Nitrate-N,0,33.0
test_ind,Nitrate-N,0,45.0
test_ind,Nitrate-N,0,22.0
test_ind,Nitrate-N,0,48.0
test_ind,Nitrate-N,0,4.0
test_ind,Nitrate-N,0,10.0
test_ind,Nitrate-N,0,29.0
test_ind,Nitrate-N,0,40.0
test_ind,Nitrate-N,0,32.0
test_ind,Nitrate-N,0,41.0
test_ind,Nitrate-N,0,37.0
test_ind,Nitrate-N,0,7.0
train_ind,Nitrate-N,0,17.0
train_ind,Nitrate-N,0,36.0
train_ind,Nitrate-N,0,6.0
train_ind,Nitrate-N,0,3.0
train_ind,Nitrate-N,0,53.0
train_ind,Nitrate-N,0,28.0
train_ind,Nitrate-N,0,44.0
train_ind,Nitrate-N,0,21.0
train_ind,Nitrate-N,0,55.0
train_ind,Nitrate-N,0,13.0
train_ind,Nitrate-N,0,0.0
train_ind,Nitrate-N,0,15.0
train_ind,Nitrate-N,0,20.0
train_ind,Nitrate-N,0,18.0
train_ind,Nitrate-N,0,25.0
train_ind,Nitrate-N,0,50.0
train_ind,Nitrate-N,0,39.0
train_ind,Nitrate-N,0,26.0
train_ind,Nitrate-N,0,9.0
train_ind,Nitrate-N,0,31.0
train_ind,Nitrate-N,0,24.0
train_ind,Nitrate-N,0,49.0
train_ind,Nitrate-N,0,19.0
train_ind,Nitrate-N,0,12.0
train_ind,Nitrate-N,0,54.0
train_ind,Nitrate-N,0,1.0
train_ind,Nitrate-N,0,51.0
train_ind,Nitrate-N,0,43.0
train_ind,Nitrate-N,0,5.0
train_ind,Nitrate-N,0,47.0
train_ind,Nitrate-N,0,56.0
train_ind,Nitrate-N,0,14.0
test_rsq,Nitrate-N,0,-3.6983841286207637
train_rsq,Nitrate-N,0,0.9953886772123544
test_rmse,Nitrate-N,0,46.55678773575567
