output,species,iteration,value
y_hat_test,Nitrate-N,0,179.84573364257812
y_hat_test,Nitrate-N,0,203.6703643798828
y_hat_test,Nitrate-N,0,204.9821319580078
y_hat_test,Nitrate-N,0,179.12548828125
y_hat_test,Nitrate-N,0,185.2298583984375
y_hat_test,Nitrate-N,0,171.0638885498047
y_hat_test,Nitrate-N,0,198.58987426757812
y_hat_test,Nitrate-N,0,198.4845733642578
y_hat_test,Nitrate-N,0,190.1223602294922
y_hat_test,Nitrate-N,0,189.85804748535156
y_hat_test,Nitrate-N,0,174.6095428466797
y_hat_test,Nitrate-N,0,189.2611846923828
y_hat_test,Nitrate-N,0,190.00912475585938
y_hat_test,Nitrate-N,0,195.08041381835938
y_hat_test,Nitrate-N,0,199.92698669433594
y_hat_test,Nitrate-N,0,216.04869079589844
y_hat_test,Nitrate-N,0,168.1807098388672
y_hat_test,Nitrate-N,0,180.46835327148438
y_hat_train,Nitrate-N,0,152.39588928222656
y_hat_train,Nitrate-N,0,183.42303466796875
y_hat_train,Nitrate-N,0,189.31326293945312
y_hat_train,Nitrate-N,0,192.2980194091797
y_hat_train,Nitrate-N,0,163.35333251953125
y_hat_train,Nitrate-N,0,174.2267303466797
y_hat_train,Nitrate-N,0,189.33995056152344
y_hat_train,Nitrate-N,0,189.74801635742188
y_hat_train,Nitrate-N,0,159.49061584472656
y_hat_train,Nitrate-N,0,212.37783813476562
y_hat_train,Nitrate-N,0,186.3704833984375
y_hat_train,Nitrate-N,0,173.1588897705078
y_hat_train,Nitrate-N,0,185.8139190673828
y_hat_train,Nitrate-N,0,188.52842712402344
y_hat_train,Nitrate-N,0,183.0648956298828
y_hat_train,Nitrate-N,0,175.0135040283203
y_hat_train,Nitrate-N,0,203.98367309570312
y_hat_train,Nitrate-N,0,246.37510681152344
y_hat_train,Nitrate-N,0,166.6592559814453
y_hat_train,Nitrate-N,0,227.4879150390625
y_hat_train,Nitrate-N,0,232.4845733642578
y_hat_train,Nitrate-N,0,232.90916442871094
y_hat_train,Nitrate-N,0,179.5145263671875
y_hat_train,Nitrate-N,0,161.13998413085938
y_hat_train,Nitrate-N,0,204.428955078125
y_hat_train,Nitrate-N,0,184.96434020996094
y_hat_train,Nitrate-N,0,186.1896514892578
y_hat_train,Nitrate-N,0,147.62921142578125
y_hat_train,Nitrate-N,0,284.470947265625
y_hat_train,Nitrate-N,0,175.5586395263672
y_hat_train,Nitrate-N,0,214.9944610595703
y_hat_train,Nitrate-N,0,164.35443115234375
y_hat_train,Nitrate-N,0,163.3001708984375
y_hat_train,Nitrate-N,0,200.83648681640625
y_hat_train,Nitrate-N,0,195.2891845703125
y_hat_train,Nitrate-N,0,169.41445922851562
y_hat_train,Nitrate-N,0,149.34364318847656
y_hat_train,Nitrate-N,0,170.4660186767578
y_hat_train,Nitrate-N,0,227.5210418701172
y_hat_train,Nitrate-N,0,209.90185546875
y_true_train,Nitrate-N,0,152.3
y_true_train,Nitrate-N,0,183.43
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,192.3
y_true_train,Nitrate-N,0,163.35
y_true_train,Nitrate-N,0,174.28
y_true_train,Nitrate-N,0,189.35
y_true_train,Nitrate-N,0,189.73
y_true_train,Nitrate-N,0,159.48
y_true_train,Nitrate-N,0,212.5
y_true_train,Nitrate-N,0,186.4
y_true_train,Nitrate-N,0,173.08
y_true_train,Nitrate-N,0,185.8
y_true_train,Nitrate-N,0,188.58
y_true_train,Nitrate-N,0,183.05
y_true_train,Nitrate-N,0,175.0
y_true_train,Nitrate-N,0,204.03
y_true_train,Nitrate-N,0,246.45
y_true_train,Nitrate-N,0,166.68
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,232.5
y_true_train,Nitrate-N,0,233.0
y_true_train,Nitrate-N,0,179.53
y_true_train,Nitrate-N,0,161.15
y_true_train,Nitrate-N,0,204.43
y_true_train,Nitrate-N,0,185.0
y_true_train,Nitrate-N,0,186.18
y_true_train,Nitrate-N,0,147.55
y_true_train,Nitrate-N,0,284.78
y_true_train,Nitrate-N,0,175.53
y_true_train,Nitrate-N,0,215.0
y_true_train,Nitrate-N,0,164.28
y_true_train,Nitrate-N,0,163.23
y_true_train,Nitrate-N,0,200.88
y_true_train,Nitrate-N,0,195.28
y_true_train,Nitrate-N,0,169.4
y_true_train,Nitrate-N,0,149.25
y_true_train,Nitrate-N,0,170.45
y_true_train,Nitrate-N,0,227.5
y_true_train,Nitrate-N,0,210.0
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,175.43
y_true_test,Nitrate-N,0,227.5
y_true_test,Nitrate-N,0,232.6
y_true_test,Nitrate-N,0,186.48
y_true_test,Nitrate-N,0,156.73
y_true_test,Nitrate-N,0,179.55
y_true_test,Nitrate-N,0,197.5
y_true_test,Nitrate-N,0,220.0
y_true_test,Nitrate-N,0,181.7
y_true_test,Nitrate-N,0,221.43
y_true_test,Nitrate-N,0,198.9
y_true_test,Nitrate-N,0,184.9
y_true_test,Nitrate-N,0,190.75
y_true_test,Nitrate-N,0,175.43
