output,species,iteration,value
y_hat_test,pH,0,5.866907647451547
y_hat_test,pH,0,5.007459699017539
y_hat_test,pH,0,6.447976054214404
y_hat_test,pH,0,5.259726717096797
y_hat_test,pH,0,5.100027334059759
y_hat_test,pH,0,6.760571867829752
y_hat_test,pH,0,6.278683874384579
y_hat_test,pH,0,4.826164303944593
y_hat_test,pH,0,7.022636359085327
y_hat_test,pH,0,6.5774091366507506
y_hat_test,pH,0,6.331823318212146
y_hat_test,pH,0,7.039467096754656
y_hat_test,pH,0,6.30351828896902
y_hat_test,pH,0,5.3473632945656195
y_hat_train,pH,0,7.689760468370405
y_hat_train,pH,0,6.7724388073985375
y_hat_train,pH,0,7.760634226597584
y_hat_train,pH,0,5.977642693055076
y_hat_train,pH,0,7.564221795247932
y_hat_train,pH,0,7.173768967969156
y_hat_train,pH,0,5.835455722626198
y_hat_train,pH,0,4.673987666611334
y_hat_train,pH,0,4.571209693339671
y_hat_train,pH,0,4.626481180090077
y_hat_train,pH,0,6.219919926414824
y_hat_train,pH,0,6.5824862071079995
y_hat_train,pH,0,6.594334662019266
y_hat_train,pH,0,7.805124796446532
y_hat_train,pH,0,4.871574957193738
y_hat_train,pH,0,6.601701769502903
y_hat_train,pH,0,3.4548362070839955
y_hat_train,pH,0,7.538495774109462
y_hat_train,pH,0,4.522075895850714
y_hat_train,pH,0,6.713750107249034
y_hat_train,pH,0,6.676469472751126
y_hat_train,pH,0,5.339126620878572
y_hat_train,pH,0,6.315197287624411
y_hat_train,pH,0,6.753432473565973
y_hat_train,pH,0,6.823182782368251
y_hat_train,pH,0,7.647869231744697
y_hat_train,pH,0,4.98186953465867
y_hat_train,pH,0,6.269347313568605
y_hat_train,pH,0,6.699671018238207
y_hat_train,pH,0,4.999063910569241
y_hat_train,pH,0,3.4708753669904264
y_hat_train,pH,0,7.233993462757421
y_true_train,pH,0,7.67
y_true_train,pH,0,6.79
y_true_train,pH,0,7.76
y_true_train,pH,0,5.95
y_true_train,pH,0,7.54
y_true_train,pH,0,7.18
y_true_train,pH,0,5.84
y_true_train,pH,0,4.66
y_true_train,pH,0,4.59
y_true_train,pH,0,4.61
y_true_train,pH,0,6.24
y_true_train,pH,0,6.6
y_true_train,pH,0,6.6
y_true_train,pH,0,7.8
y_true_train,pH,0,4.83
y_true_train,pH,0,6.56
y_true_train,pH,0,3.44
y_true_train,pH,0,7.56
y_true_train,pH,0,4.51
y_true_train,pH,0,6.72
y_true_train,pH,0,6.68
y_true_train,pH,0,5.39
y_true_train,pH,0,6.33
y_true_train,pH,0,6.75
y_true_train,pH,0,6.8
y_true_train,pH,0,7.64
y_true_train,pH,0,5.03
y_true_train,pH,0,6.3
y_true_train,pH,0,6.67
y_true_train,pH,0,5.01
y_true_train,pH,0,3.46
y_true_train,pH,0,7.25
y_true_test,pH,0,6.33
y_true_test,pH,0,6.57
y_true_test,pH,0,7.6
y_true_test,pH,0,5.26
y_true_test,pH,0,4.61
y_true_test,pH,0,7.23
y_true_test,pH,0,7.41
y_true_test,pH,0,4.51
y_true_test,pH,0,7.22
y_true_test,pH,0,7.21
y_true_test,pH,0,6.04
y_true_test,pH,0,7.02
y_true_test,pH,0,6.8
y_true_test,pH,0,7.69
test_ind,pH,0,25.0
test_ind,pH,0,22.0
test_ind,pH,0,28.0
test_ind,pH,0,4.0
test_ind,pH,0,10.0
test_ind,pH,0,31.0
test_ind,pH,0,29.0
test_ind,pH,0,11.0
test_ind,pH,0,20.0
test_ind,pH,0,32.0
test_ind,pH,0,30.0
test_ind,pH,0,38.0
test_ind,pH,0,42.0
test_ind,pH,0,2.0
train_ind,pH,0,45.0
train_ind,pH,0,18.0
train_ind,pH,0,15.0
train_ind,pH,0,27.0
train_ind,pH,0,16.0
train_ind,pH,0,41.0
train_ind,pH,0,40.0
train_ind,pH,0,8.0
train_ind,pH,0,13.0
train_ind,pH,0,5.0
train_ind,pH,0,17.0
train_ind,pH,0,33.0
train_ind,pH,0,14.0
train_ind,pH,0,37.0
train_ind,pH,0,7.0
train_ind,pH,0,35.0
train_ind,pH,0,1.0
train_ind,pH,0,26.0
train_ind,pH,0,12.0
train_ind,pH,0,34.0
train_ind,pH,0,24.0
train_ind,pH,0,6.0
train_ind,pH,0,23.0
train_ind,pH,0,36.0
train_ind,pH,0,21.0
train_ind,pH,0,19.0
train_ind,pH,0,9.0
train_ind,pH,0,39.0
train_ind,pH,0,43.0
train_ind,pH,0,3.0
train_ind,pH,0,0.0
train_ind,pH,0,44.0
test_rsq,pH,0,0.17622599179209564
train_rsq,pH,0,0.9996650154037862
test_rmse,pH,0,0.9290000697827187
train_rmse,pH,0,0.02242667647269001
test_mape,pH,0,10.003083173742258
train_mape,pH,0,0.3193917283064179
n_comp,pH,0,14.0
y_hat_test,pH,1,7.333662520761722
y_hat_test,pH,1,5.96320186347474
y_hat_test,pH,1,5.53136710727007
y_hat_test,pH,1,5.7943323566388045
y_hat_test,pH,1,5.926137008090918
y_hat_test,pH,1,5.693731555599149
y_hat_test,pH,1,5.233249953881114
