perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rmse,Ammonium-N,DL,diluted,undiluted,-0.35862270205472835,7.094337070023826e-06,True
test_rmse,Ammonium-N,PLS,diluted,undiluted,-0.19532891458278634,0.00808470318157084,True
test_rmse,Ammonium-N,RF-PCA,diluted,undiluted,-0.13158859183639615,0.013088816381439772,True
test_rmse,Ammonium-N,XGB-PCA,diluted,undiluted,-0.10678619961535385,0.06395678017074002,False
test_rmse,Boron,DL,diluted,undiluted,-0.013488895027077508,0.9069400627843286,False
test_rmse,Boron,PLS,diluted,undiluted,-0.23210503080754918,0.04354677690188713,True
test_rmse,Boron,RF-PCA,diluted,undiluted,0.01903922854212592,0.8719493001486935,False
test_rmse,Boron,XGB-PCA,diluted,undiluted,-0.06380208673817034,0.6391920557238764,False
test_rmse,Calcium,DL,diluted,undiluted,-0.6975318517246802,1.6904582086585407e-05,True
test_rmse,Calcium,PLS,diluted,undiluted,-0.6531798330377603,1.08124620368244e-12,True
test_rmse,Calcium,RF-PCA,diluted,undiluted,-0.45416119751166706,1.1121503717959058e-10,True
test_rmse,Calcium,XGB-PCA,diluted,undiluted,-0.5866699044480912,2.949862576429041e-13,True
test_rmse,Copper,DL,diluted,undiluted,-0.3790717889262949,5.326772423153159e-08,True
test_rmse,Copper,PLS,diluted,undiluted,-0.40752913546165837,6.343526930496779e-05,True
test_rmse,Copper,RF-PCA,diluted,undiluted,-0.3035469422920758,1.6910652878010524e-09,True
test_rmse,Copper,XGB-PCA,diluted,undiluted,-0.2804281998521292,2.9858710115515663e-07,True
test_rmse,Iron,DL,diluted,undiluted,-0.9187958605449815,8.992619981995631e-10,True
test_rmse,Iron,PLS,diluted,undiluted,-0.7685344716660999,8.798302086887588e-10,True
test_rmse,Iron,RF-PCA,diluted,undiluted,-0.6382249913880529,0.0,True
test_rmse,Iron,XGB-PCA,diluted,undiluted,-0.7176654973148847,0.0,True
test_rmse,Magnesium,DL,diluted,undiluted,-0.5755660782766909,7.814044621379246e-05,True
test_rmse,Magnesium,PLS,diluted,undiluted,-0.7908685632030727,0.0,True
test_rmse,Magnesium,RF-PCA,diluted,undiluted,-0.4711242696342679,2.0596857552845904e-12,True
test_rmse,Magnesium,XGB-PCA,diluted,undiluted,-0.6084646029526919,1.202038468761657e-12,True
test_rmse,Manganese,DL,diluted,undiluted,-0.09882085201829627,0.16825993099061742,False
test_rmse,Manganese,PLS,diluted,undiluted,-0.11392120469292055,0.24215413496760518,False
test_rmse,Manganese,RF-PCA,diluted,undiluted,-0.021438376076185595,0.4167207478709867,False
test_rmse,Manganese,XGB-PCA,diluted,undiluted,-0.0059056079460697575,0.8575513695127093,False
test_rmse,Molybdenum,DL,diluted,undiluted,-0.004076431600361641,0.9193516534710767,False
test_rmse,Molybdenum,PLS,diluted,undiluted,-0.24437620796568815,0.00046230225189591856,True
test_rmse,Molybdenum,RF-PCA,diluted,undiluted,-0.4206508732693037,0.01717961696050374,True
test_rmse,Molybdenum,XGB-PCA,diluted,undiluted,-0.44395571136255363,0.01596051167186796,True
test_rmse,Nitrate-N,DL,diluted,undiluted,-0.11224150535921273,0.5002794668960856,False
test_rmse,Nitrate-N,PLS,diluted,undiluted,-0.08707590985234592,0.46535974120395585,False
test_rmse,Nitrate-N,RF-PCA,diluted,undiluted,-0.10675370690218688,0.1308564684967497,False
test_rmse,Nitrate-N,XGB-PCA,diluted,undiluted,-0.1199776205755807,0.05434761292294865,False
test_rmse,Phosphorus,DL,diluted,undiluted,-0.08860400430456261,0.11096674431868658,False
