species_model,perf_met,factor_lev,letters
Ammonium-N_DL,test_rmse,diluted,a
Ammonium-N_DL,test_rmse,undiluted,b
Ammonium-N_PLS,test_rmse,diluted,a
Ammonium-N_PLS,test_rmse,undiluted,b
Ammonium-N_RF-PCA,test_rmse,diluted,a
Ammonium-N_RF-PCA,test_rmse,undiluted,b
Ammonium-N_XGB-PCA,test_rmse,diluted,a
Ammonium-N_XGB-PCA,test_rmse,undiluted,a
Boron_DL,test_rmse,diluted,a
Boron_DL,test_rmse,undiluted,a
Boron_PLS,test_rmse,diluted,a
Boron_PLS,test_rmse,undiluted,b
Boron_RF-PCA,test_rmse,diluted,a
Boron_RF-PCA,test_rmse,undiluted,a
Boron_XGB-PCA,test_rmse,diluted,a
Boron_XGB-PCA,test_rmse,undiluted,a
Calcium_DL,test_rmse,diluted,a
Calcium_DL,test_rmse,undiluted,b
Calcium_PLS,test_rmse,diluted,a
Calcium_PLS,test_rmse,undiluted,b
Calcium_RF-PCA,test_rmse,diluted,a
Calcium_RF-PCA,test_rmse,undiluted,b
Calcium_XGB-PCA,test_rmse,diluted,a
Calcium_XGB-PCA,test_rmse,undiluted,b
Copper_DL,test_rmse,diluted,a
Copper_DL,test_rmse,undiluted,b
Copper_PLS,test_rmse,diluted,a
Copper_PLS,test_rmse,undiluted,b
Copper_RF-PCA,test_rmse,diluted,a
Copper_RF-PCA,test_rmse,undiluted,b
Copper_XGB-PCA,test_rmse,diluted,a
Copper_XGB-PCA,test_rmse,undiluted,b
Iron_DL,test_rmse,diluted,a
Iron_DL,test_rmse,undiluted,b
Iron_PLS,test_rmse,diluted,a
Iron_PLS,test_rmse,undiluted,b
Iron_RF-PCA,test_rmse,diluted,a
Iron_RF-PCA,test_rmse,undiluted,b
Iron_XGB-PCA,test_rmse,diluted,a
Iron_XGB-PCA,test_rmse,undiluted,b
Magnesium_DL,test_rmse,diluted,a
Magnesium_DL,test_rmse,undiluted,b
Magnesium_PLS,test_rmse,diluted,a
Magnesium_PLS,test_rmse,undiluted,b
Magnesium_RF-PCA,test_rmse,diluted,a
Magnesium_RF-PCA,test_rmse,undiluted,b
Magnesium_XGB-PCA,test_rmse,diluted,a
Magnesium_XGB-PCA,test_rmse,undiluted,b
Manganese_DL,test_rmse,diluted,a
Manganese_DL,test_rmse,undiluted,a
Manganese_PLS,test_rmse,diluted,a
Manganese_PLS,test_rmse,undiluted,a
Manganese_RF-PCA,test_rmse,diluted,a
Manganese_RF-PCA,test_rmse,undiluted,a
Manganese_XGB-PCA,test_rmse,diluted,a
Manganese_XGB-PCA,test_rmse,undiluted,a
Molybdenum_DL,test_rmse,diluted,a
Molybdenum_DL,test_rmse,undiluted,a
Molybdenum_PLS,test_rmse,diluted,a
Molybdenum_PLS,test_rmse,undiluted,b
Molybdenum_RF-PCA,test_rmse,diluted,a
Molybdenum_RF-PCA,test_rmse,undiluted,b
Molybdenum_XGB-PCA,test_rmse,diluted,a
Molybdenum_XGB-PCA,test_rmse,undiluted,b
Nitrate-N_DL,test_rmse,diluted,a
Nitrate-N_DL,test_rmse,undiluted,a
Nitrate-N_PLS,test_rmse,diluted,a
Nitrate-N_PLS,test_rmse,undiluted,a
Nitrate-N_RF-PCA,test_rmse,diluted,a
Nitrate-N_RF-PCA,test_rmse,undiluted,a
Nitrate-N_XGB-PCA,test_rmse,diluted,a
Nitrate-N_XGB-PCA,test_rmse,undiluted,a
Phosphorus_DL,test_rmse,diluted,a
Phosphorus_DL,test_rmse,undiluted,a
Phosphorus_PLS,test_rmse,diluted,a
Phosphorus_PLS,test_rmse,undiluted,a
Phosphorus_RF-PCA,test_rmse,diluted,a
Phosphorus_RF-PCA,test_rmse,undiluted,a
Phosphorus_XGB-PCA,test_rmse,diluted,a
Phosphorus_XGB-PCA,test_rmse,undiluted,a
Potassium_DL,test_rmse,diluted,a
Potassium_DL,test_rmse,undiluted,b
Potassium_PLS,test_rmse,diluted,a
Potassium_PLS,test_rmse,undiluted,b
Potassium_RF-PCA,test_rmse,diluted,a
Potassium_RF-PCA,test_rmse,undiluted,b
Potassium_XGB-PCA,test_rmse,diluted,a
Potassium_XGB-PCA,test_rmse,undiluted,b
Sulfate_DL,test_rmse,diluted,a
Sulfate_DL,test_rmse,undiluted,b
Sulfate_PLS,test_rmse,diluted,a
Sulfate_PLS,test_rmse,undiluted,b
Sulfate_RF-PCA,test_rmse,diluted,a
Sulfate_RF-PCA,test_rmse,undiluted,b
Sulfate_XGB-PCA,test_rmse,diluted,a
Sulfate_XGB-PCA,test_rmse,undiluted,b
Zinc_DL,test_rmse,diluted,a
Zinc_DL,test_rmse,undiluted,b
Zinc_PLS,test_rmse,diluted,a
Zinc_PLS,test_rmse,undiluted,a
Zinc_RF-PCA,test_rmse,diluted,a
Zinc_RF-PCA,test_rmse,undiluted,b
Zinc_XGB-PCA,test_rmse,diluted,a
Zinc_XGB-PCA,test_rmse,undiluted,b
pH_DL,test_rmse,diluted,a
pH_DL,test_rmse,undiluted,a
pH_PLS,test_rmse,diluted,a
pH_PLS,test_rmse,undiluted,a
pH_RF-PCA,test_rmse,diluted,a
pH_RF-PCA,test_rmse,undiluted,a
pH_XGB-PCA,test_rmse,diluted,a
pH_XGB-PCA,test_rmse,undiluted,a
Ammonium-N_DL,test_rsq,diluted,a
Ammonium-N_DL,test_rsq,undiluted,b
Ammonium-N_PLS,test_rsq,diluted,a
Ammonium-N_PLS,test_rsq,undiluted,b
Ammonium-N_RF-PCA,test_rsq,diluted,a
Ammonium-N_RF-PCA,test_rsq,undiluted,b
