species_model,perf_met,letter,factor_levs
Ammonium-N_DL,test_rmse,a,diluted
Ammonium-N_DL,test_rmse,b,undiluted
Ammonium-N_PLS,test_rmse,a,diluted
Ammonium-N_PLS,test_rmse,b,undiluted
Ammonium-N_RF-PCA,test_rmse,a,diluted
Ammonium-N_RF-PCA,test_rmse,b,undiluted
Ammonium-N_XGB-PCA,test_rmse,a,diluted undiluted
Boron_DL,test_rmse,a,diluted undiluted
Boron_PLS,test_rmse,a,diluted
Boron_PLS,test_rmse,b,undiluted
Boron_RF-PCA,test_rmse,a,diluted undiluted
Boron_XGB-PCA,test_rmse,a,diluted undiluted
Calcium_DL,test_rmse,a,diluted
Calcium_DL,test_rmse,b,undiluted
Calcium_PLS,test_rmse,a,diluted
Calcium_PLS,test_rmse,b,undiluted
Calcium_RF-PCA,test_rmse,a,diluted
Calcium_RF-PCA,test_rmse,b,undiluted
Calcium_XGB-PCA,test_rmse,a,diluted
Calcium_XGB-PCA,test_rmse,b,undiluted
Copper_DL,test_rmse,a,diluted
Copper_DL,test_rmse,b,undiluted
Copper_PLS,test_rmse,a,diluted
Copper_PLS,test_rmse,b,undiluted
Copper_RF-PCA,test_rmse,a,diluted
Copper_RF-PCA,test_rmse,b,undiluted
Copper_XGB-PCA,test_rmse,a,diluted
Copper_XGB-PCA,test_rmse,b,undiluted
Iron_DL,test_rmse,a,diluted
Iron_DL,test_rmse,b,undiluted
Iron_PLS,test_rmse,a,diluted
Iron_PLS,test_rmse,b,undiluted
Iron_RF-PCA,test_rmse,a,diluted
Iron_RF-PCA,test_rmse,b,undiluted
Iron_XGB-PCA,test_rmse,a,diluted
Iron_XGB-PCA,test_rmse,b,undiluted
Magnesium_DL,test_rmse,a,diluted
Magnesium_DL,test_rmse,b,undiluted
Magnesium_PLS,test_rmse,a,diluted
Magnesium_PLS,test_rmse,b,undiluted
Magnesium_RF-PCA,test_rmse,a,diluted
Magnesium_RF-PCA,test_rmse,b,undiluted
Magnesium_XGB-PCA,test_rmse,a,diluted
Magnesium_XGB-PCA,test_rmse,b,undiluted
Manganese_DL,test_rmse,a,diluted undiluted
Manganese_PLS,test_rmse,a,diluted undiluted
Manganese_RF-PCA,test_rmse,a,diluted undiluted
Manganese_XGB-PCA,test_rmse,a,diluted undiluted
Molybdenum_DL,test_rmse,a,diluted undiluted
Molybdenum_PLS,test_rmse,a,diluted
Molybdenum_PLS,test_rmse,b,undiluted
Molybdenum_RF-PCA,test_rmse,a,diluted
Molybdenum_RF-PCA,test_rmse,b,undiluted
Molybdenum_XGB-PCA,test_rmse,a,diluted
Molybdenum_XGB-PCA,test_rmse,b,undiluted
