perf_met,species,model,syn1,syn2,meandiff,pvalue,reject
test_rmse,Ammonium-N,DL,False,True,0.18653589996660647,0.005357933974616702,True
test_rmse,Ammonium-N,PLS,False,True,0.12238670999141377,0.08411748721517032,False
test_rmse,Ammonium-N,RF-PCA,False,True,0.009299072744127113,0.9011056071051382,False
test_rmse,Ammonium-N,XGB-PCA,False,True,0.006586650930815674,0.923715558840335,False
test_rmse,Boron,DL,False,True,0.45970417166899624,0.0004228794032397065,True
test_rmse,Boron,PLS,False,True,0.15499359162850768,0.2218126282828179,False
test_rmse,Boron,RF-PCA,False,True,0.05237708830038823,0.6773948678232048,False
test_rmse,Boron,XGB-PCA,False,True,0.11575086359792142,0.4221697204785393,False
test_rmse,Calcium,DL,False,True,0.8146908401582653,6.611768910147475e-10,True
test_rmse,Calcium,PLS,False,True,0.7722174215603363,1.14320775068677e-11,True
test_rmse,Calcium,RF-PCA,False,True,0.3527002832901007,3.7934619963042593e-06,True
test_rmse,Calcium,XGB-PCA,False,True,0.5944414738451425,6.076277259126073e-10,True
test_rmse,Copper,DL,False,True,0.2007072716829832,3.4275414927065206e-05,True
test_rmse,Copper,PLS,False,True,0.09554924253751951,0.04336575467663828,True
test_rmse,Copper,RF-PCA,False,True,-0.0011058919017603586,0.9812862208117615,False
test_rmse,Copper,XGB-PCA,False,True,-0.015996681864327122,0.7664272112630292,False
test_rmse,Iron,DL,False,True,0.7120222550889928,6.888933867799096e-13,True
test_rmse,Iron,PLS,False,True,0.5905909101209781,2.6302652245124847e-07,True
test_rmse,Iron,RF-PCA,False,True,0.11478299676223047,0.06792610982037461,False
test_rmse,Iron,XGB-PCA,False,True,0.36049658428826636,8.694496008487818e-06,True
test_rmse,Magnesium,DL,False,True,1.0518467025563052,5.378938072730932e-09,True
test_rmse,Magnesium,PLS,False,True,0.765177248672599,0.0,True
test_rmse,Magnesium,RF-PCA,False,True,0.23879079769447986,0.001282032352566187,True
test_rmse,Magnesium,XGB-PCA,False,True,0.4581140515708504,1.62199463860091e-08,True
test_rmse,Manganese,DL,False,True,0.22685436650515278,0.006686492152832013,True
test_rmse,Manganese,PLS,False,True,0.24029756535056257,0.0001749413075574635,True
test_rmse,Manganese,RF-PCA,False,True,0.2968228646981381,3.9399299822662215e-08,True
test_rmse,Manganese,XGB-PCA,False,True,0.2727525337691006,1.938247589094999e-07,True
test_rmse,Molybdenum,DL,False,True,0.7932776101156143,0.0,True
test_rmse,Molybdenum,PLS,False,True,0.70761332578798,1.3704426482519239e-09,True
test_rmse,Molybdenum,RF-PCA,False,True,0.14302380940312576,0.014493948110273935,True
test_rmse,Molybdenum,XGB-PCA,False,True,0.24401913976663314,6.877483921818861e-05,True
test_rmse,Nitrate-N,DL,False,True,-0.31834826611343825,0.04523877479042593,True
test_rmse,Nitrate-N,PLS,False,True,-0.0914863260676193,0.17341842677719455,False
test_rmse,Nitrate-N,RF-PCA,False,True,-0.0034413229224301567,0.9565206008876698,False
test_rmse,Nitrate-N,XGB-PCA,False,True,0.033177342906543394,0.5941363126725172,False
test_rmse,Phosphorus,DL,False,True,0.11842186595998605,0.11294345952676554,False
test_rmse,Phosphorus,PLS,False,True,0.18338728492164735,0.011576584573683601,True
test_rmse,Phosphorus,RF-PCA,False,True,0.14058246567399735,0.0667208378068227,False
test_rmse,Phosphorus,XGB-PCA,False,True,0.13112419321112778,0.126359527262766,False
test_rmse,Potassium,DL,False,True,0.662802659934894,4.593840619016021e-08,True
test_rmse,Potassium,PLS,False,True,0.6145348975864762,4.120674024221671e-09,True
test_rmse,Potassium,RF-PCA,False,True,0.3445882769955042,0.00019591683618314093,True
test_rmse,Potassium,XGB-PCA,False,True,0.4243076389840681,8.18001532643109e-06,True
test_rmse,Sulfate,DL,False,True,1.0222438876526034,1.3286038935689248e-11,True
test_rmse,Sulfate,PLS,False,True,0.6760005141569043,4.48341364034377e-12,True
test_rmse,Sulfate,RF-PCA,False,True,0.2398635245507843,0.0014085989374896801,True
test_rmse,Sulfate,XGB-PCA,False,True,0.491974969726678,4.211350068672459e-08,True
test_rmse,Zinc,DL,False,True,0.14381717849203568,0.03341992188764509,True
test_rmse,Zinc,PLS,False,True,0.05568122525572239,0.41442645498716657,False
test_rmse,Zinc,RF-PCA,False,True,0.18195182601163729,0.03190722968507742,True
test_rmse,Zinc,XGB-PCA,False,True,0.14102748130843756,0.051675467388425655,False
test_rmse,pH,DL,False,True,0.911481888114243,0.0,True
test_rmse,pH,PLS,False,True,0.44834585597720633,7.932854429792968e-06,True
test_rmse,pH,RF-PCA,False,True,0.2737514615650376,0.0007324267206774149,True
test_rmse,pH,XGB-PCA,False,True,0.41498225684232515,3.862722570913135e-06,True
test_rsq,Ammonium-N,DL,False,True,0.3730717999332136,0.0023278830822877072,True
test_rsq,Ammonium-N,PLS,False,True,0.2447734199828277,0.03907300699693905,True
test_rsq,Ammonium-N,RF-PCA,False,True,0.018598145488254288,0.8844763475777544,False
test_rsq,Ammonium-N,XGB-PCA,False,True,0.013173301861632139,0.9004372763456017,False
test_rsq,Boron,DL,False,True,0.9194083433379915,0.0003508758113832666,True
test_rsq,Boron,PLS,False,True,0.3099871832570155,0.0012136663296253847,True
test_rsq,Boron,RF-PCA,False,True,0.10475417660077779,0.2738155360784146,False
