"comparison","p","comp1","comp2"
"Ammonium-N - Boron",0.166960612916694,"Ammonium-N","Boron"
"Calcium - Iron",0.28666783766322,"Calcium","Iron"
"Copper - Iron",0.0535999714255589,"Copper","Iron"
"Calcium - Magnesium",0.1469618166618,"Calcium","Magnesium"
"Iron - Magnesium",0.0534049816987577,"Iron","Magnesium"
"Ammonium-N - Molybdenum",0.148546996746845,"Ammonium-N","Molybdenum"
"Ammonium-N - Nitrate-N",0.276089564892181,"Ammonium-N","Nitrate-N"
"Boron - Nitrate-N",0.0592921211303999,"Boron","Nitrate-N"
"Molybdenum - Nitrate-N",0.327008928417659,"Molybdenum","Nitrate-N"
"Ammonium-N - pH",0.143555038396588,"Ammonium-N","pH"
"Molybdenum - pH",0.49130483916314,"Molybdenum","pH"
"Nitrate-N - pH",0.319182939163721,"Nitrate-N","pH"
"Manganese - Phosphorus",0.0931057935036866,"Manganese","Phosphorus"
"Molybdenum - Phosphorus",0.0926590789377158,"Molybdenum","Phosphorus"
"pH - Phosphorus",0.0963284165799138,"pH","Phosphorus"
"Copper - Potassium",0.442663279429431,"Copper","Potassium"
"Iron - Potassium",0.0712306111175131,"Iron","Potassium"
"Calcium - Sulfate",0.294648353412818,"Calcium","Sulfate"
"Copper - Sulfate",0.0511086978544498,"Copper","Sulfate"
"Iron - Sulfate",0.490709384426574,"Iron","Sulfate"
"Magnesium - Sulfate",0.0559840910012519,"Magnesium","Sulfate"
"Potassium - Sulfate",0.0681151128499032,"Potassium","Sulfate"
"Manganese - Zinc",0.134366051705938,"Manganese","Zinc"
"Molybdenum - Zinc",0.061726644945678,"Molybdenum","Zinc"
"pH - Zinc",0.0644263024184927,"pH","Zinc"
"Phosphorus - Zinc",0.414539680533727,"Phosphorus","Zinc"
