"comparison","p","comp1","comp2"
"Ammonium-N - Calcium",5.58918891484668e-21,"Ammonium-N","Calcium"
"Boron - Calcium",2.00592298721544e-22,"Boron","Calcium"
"Ammonium-N - Copper",5.13254562170668e-07,"Ammonium-N","Copper"
"Boron - Copper",8.33630155089799e-08,"Boron","Copper"
"Calcium - Copper",4.54518943149089e-06,"Calcium","Copper"
"Ammonium-N - Iron",5.82839114544209e-28,"Ammonium-N","Iron"
"Boron - Iron",1.21794531720611e-29,"Boron","Iron"
"Copper - Iron",9.13510325581183e-10,"Copper","Iron"
"Ammonium-N - Magnesium",2.95546442324891e-23,"Ammonium-N","Magnesium"
"Boron - Magnesium",8.81093263559605e-25,"Boron","Magnesium"
"Copper - Magnesium",3.20584292153399e-07,"Copper","Magnesium"
"Ammonium-N - Manganese",2.85242372492699e-05,"Ammonium-N","Manganese"
"Boron - Manganese",0.000117477516889648,"Boron","Manganese"
"Calcium - Manganese",6.00762958852467e-41,"Calcium","Manganese"
"Copper - Manganese",2.52449074204255e-19,"Copper","Manganese"
"Iron - Manganese",1.15601140163756e-50,"Iron","Manganese"
"Magnesium - Manganese",3.66364973495639e-44,"Magnesium","Manganese"
"Boron - Molybdenum",0.0433049763942432,"Boron","Molybdenum"
"Calcium - Molybdenum",8.79500491861472e-16,"Calcium","Molybdenum"
"Copper - Molybdenum",0.000216178294912313,"Copper","Molybdenum"
"Iron - Molybdenum",7.71508883367916e-22,"Iron","Molybdenum"
"Magnesium - Molybdenum",9.65354481773038e-18,"Magnesium","Molybdenum"
"Manganese - Molybdenum",3.49004800071394e-08,"Manganese","Molybdenum"
"Calcium - Nitrate-N",2.25686005158712e-24,"Calcium","Nitrate-N"
"Copper - Nitrate-N",6.65481273967169e-09,"Copper","Nitrate-N"
"Iron - Nitrate-N",6.7972487370376e-32,"Iron","Nitrate-N"
"Magnesium - Nitrate-N",7.7939955693812e-27,"Magnesium","Nitrate-N"
"Manganese - Nitrate-N",0.000620807331462957,"Manganese","Nitrate-N"
"Molybdenum - Nitrate-N",0.0152883310872267,"Molybdenum","Nitrate-N"
"Calcium - pH",2.52245389556662e-23,"Calcium","pH"
"Copper - pH",2.61940388012779e-08,"Copper","pH"
"Iron - pH",1.10352514887393e-30,"Iron","pH"
"Magnesium - pH",9.90143349033384e-26,"Magnesium","pH"
"Manganese - pH",0.000262001359485109,"Manganese","pH"
"Molybdenum - pH",0.0272082665508407,"Molybdenum","pH"
"Ammonium-N - Phosphorus",0.00207879543180148,"Ammonium-N","Phosphorus"
"Boron - Phosphorus",0.0058781291761743,"Boron","Phosphorus"
"Calcium - Phosphorus",1.75304180397982e-34,"Calcium","Phosphorus"
"Copper - Phosphorus",4.50724208382352e-15,"Copper","Phosphorus"
"Iron - Phosphorus",2.07166123895625e-43,"Iron","Phosphorus"
"Magnesium - Phosphorus",1.99306360946582e-37,"Magnesium","Phosphorus"
"Molybdenum - Phosphorus",1.15330459919643e-05,"Molybdenum","Phosphorus"
"Nitrate-N - Phosphorus",0.0192076211401786,"Nitrate-N","Phosphorus"
"pH - Phosphorus",0.0104598865882588,"pH","Phosphorus"
"Ammonium-N - Potassium",1.58986811027165e-08,"Ammonium-N","Potassium"
"Boron - Potassium",2.07859865507567e-09,"Boron","Potassium"
"Calcium - Potassium",7.44198520311686e-05,"Calcium","Potassium"
"Iron - Potassium",3.98667917023722e-08,"Iron","Potassium"
"Magnesium - Potassium",7.33345873059826e-06,"Magnesium","Potassium"
"Manganese - Potassium",6.12342760501084e-22,"Manganese","Potassium"
"Molybdenum - Potassium",1.56184687784715e-05,"Molybdenum","Potassium"
"Nitrate-N - Potassium",1.25152787947299e-10,"Nitrate-N","Potassium"
"pH - Potassium",5.72499255940496e-10,"pH","Potassium"
"Phosphorus - Potassium",2.28642298889947e-17,"Phosphorus","Potassium"
"Ammonium-N - Sulfate",1.1153531428943e-22,"Ammonium-N","Sulfate"
"Boron - Sulfate",3.48187288800326e-24,"Boron","Sulfate"
"Copper - Sulfate",6.35599925149904e-07,"Copper","Sulfate"
"Manganese - Sulfate",2.36362871492703e-43,"Manganese","Sulfate"
"Molybdenum - Sulfate",3.03888280181582e-17,"Molybdenum","Sulfate"
"Nitrate-N - Sulfate",3.26952229188219e-26,"Nitrate-N","Sulfate"
"pH - Sulfate",4.02358640353152e-25,"pH","Sulfate"
"Phosphorus - Sulfate",1.10162716533626e-36,"Phosphorus","Sulfate"
"Potassium - Sulfate",1.33781400572844e-05,"Potassium","Sulfate"
"Ammonium-N - Zinc",0.0169613550824148,"Ammonium-N","Zinc"
"Boron - Zinc",0.037997186029148,"Boron","Zinc"
"Calcium - Zinc",1.24226145670477e-30,"Calcium","Zinc"
"Copper - Zinc",1.21327312097491e-12,"Copper","Zinc"
"Iron - Zinc",4.7109876097812e-39,"Iron","Zinc"
"Magnesium - Zinc",2.10718580778884e-33,"Magnesium","Zinc"
"Manganese - Zinc",0.0284740597306445,"Manganese","Zinc"
"Molybdenum - Zinc",0.000243347838965929,"Molybdenum","Zinc"
"Potassium - Zinc",9.87618251003615e-15,"Potassium","Zinc"
"Sulfate - Zinc",1.05458389765118e-32,"Sulfate","Zinc"
