"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_DL - Ammonium-N_PLS",0.339963066076785,"Ammonium-N_DL","Ammonium-N_PLS","Ammonium-N","Ammonium-N","DL","PLS"
"Ammonium-N_DL - Ammonium-N_RF-PCA",0.49083529417409,"Ammonium-N_DL","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","DL","RF-PCA"
"Ammonium-N_PLS - Ammonium-N_RF-PCA",0.331585813508656,"Ammonium-N_PLS","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","PLS","RF-PCA"
"Ammonium-N_DL - Ammonium-N_XGB-PCA",0.234100693879851,"Ammonium-N_DL","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","DL","XGB-PCA"
"Ammonium-N_PLS - Ammonium-N_XGB-PCA",0.127565972617401,"Ammonium-N_PLS","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Ammonium-N_XGB-PCA",0.241204247152182,"Ammonium-N_RF-PCA","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Boron_DL",0.215640957796644,"Ammonium-N_DL","Boron_DL","Ammonium-N","Boron","DL","DL"
"Ammonium-N_PLS - Boron_DL",0.115154387325757,"Ammonium-N_PLS","Boron_DL","Ammonium-N","Boron","PLS","DL"
"Ammonium-N_RF-PCA - Boron_DL",0.222426057926551,"Ammonium-N_RF-PCA","Boron_DL","Ammonium-N","Boron","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Boron_DL",0.475444153592316,"Ammonium-N_XGB-PCA","Boron_DL","Ammonium-N","Boron","XGB-PCA","DL"
"Ammonium-N_DL - Boron_PLS",0.353131361399284,"Ammonium-N_DL","Boron_PLS","Ammonium-N","Boron","DL","PLS"
"Ammonium-N_PLS - Boron_PLS",0.485767225247051,"Ammonium-N_PLS","Boron_PLS","Ammonium-N","Boron","PLS","PLS"
"Ammonium-N_RF-PCA - Boron_PLS",0.344631800723697,"Ammonium-N_RF-PCA","Boron_PLS","Ammonium-N","Boron","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Boron_PLS",0.135168089857302,"Ammonium-N_XGB-PCA","Boron_PLS","Ammonium-N","Boron","XGB-PCA","PLS"
"Boron_DL - Boron_PLS",0.122236323004331,"Boron_DL","Boron_PLS","Boron","Boron","DL","PLS"
