"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_DL - Ammonium-N_PLS",0.339963066076785,"Ammonium-N_DL","Ammonium-N_PLS","Ammonium-N","Ammonium-N","DL","PLS"
"Ammonium-N_DL - Ammonium-N_RF-PCA",0.49083529417409,"Ammonium-N_DL","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","DL","RF-PCA"
"Ammonium-N_PLS - Ammonium-N_RF-PCA",0.331585813508656,"Ammonium-N_PLS","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","PLS","RF-PCA"
"Ammonium-N_DL - Ammonium-N_XGB-PCA",0.234100693879851,"Ammonium-N_DL","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","DL","XGB-PCA"
"Ammonium-N_PLS - Ammonium-N_XGB-PCA",0.127565972617401,"Ammonium-N_PLS","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Ammonium-N_XGB-PCA",0.241204247152182,"Ammonium-N_RF-PCA","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","RF-PCA","XGB-PCA"
"Boron_DL - Boron_PLS",0.122236323004331,"Boron_DL","Boron_PLS","Boron","Boron","DL","PLS"
"Boron_DL - Boron_RF-PCA",0.196425898347433,"Boron_DL","Boron_RF-PCA","Boron","Boron","DL","RF-PCA"
"Boron_PLS - Boron_RF-PCA",0.378499908107323,"Boron_PLS","Boron_RF-PCA","Boron","Boron","PLS","RF-PCA"
"Boron_DL - Boron_XGB-PCA",0.459895542661724,"Boron_DL","Boron_XGB-PCA","Boron","Boron","DL","XGB-PCA"
"Boron_PLS - Boron_XGB-PCA",0.143849458874877,"Boron_PLS","Boron_XGB-PCA","Boron","Boron","PLS","XGB-PCA"
"Boron_RF-PCA - Boron_XGB-PCA",0.225496622986144,"Boron_RF-PCA","Boron_XGB-PCA","Boron","Boron","RF-PCA","XGB-PCA"
"Calcium_DL - Calcium_PLS",0.290181276337082,"Calcium_DL","Calcium_PLS","Calcium","Calcium","DL","PLS"
"Calcium_DL - Calcium_RF-PCA",0.390077856627643,"Calcium_DL","Calcium_RF-PCA","Calcium","Calcium","DL","RF-PCA"
"Calcium_PLS - Calcium_RF-PCA",0.392142563360405,"Calcium_PLS","Calcium_RF-PCA","Calcium","Calcium","PLS","RF-PCA"
