"spmod","groups","median","species","model"
"Ammonium-N_DL","a",0.0790498968230691,"Ammonium-N","DL"
"Ammonium-N_PLS","a",0.062850126116656,"Ammonium-N","PLS"
"Ammonium-N_RF-PCA","a",-0.0159714014526687,"Ammonium-N","RF-PCA"
"Ammonium-N_XGB-PCA","a",-0.0826994764120641,"Ammonium-N","XGB-PCA"
"Boron_DL","b",-0.103209963975496,"Boron","DL"
"Boron_PLS","b",0.0431122051327435,"Boron","PLS"
"Boron_RF-PCA","b",0.0162479946333379,"Boron","RF-PCA"
"Boron_XGB-PCA","b",-0.0890838386237377,"Boron","XGB-PCA"
"Calcium_DL","c",0.667306262153278,"Calcium","DL"
"Calcium_PLS","c",0.726113429010834,"Calcium","PLS"
"Calcium_RF-PCA","c",0.636939009126854,"Calcium","RF-PCA"
"Calcium_XGB-PCA","c",0.711561023575133,"Calcium","XGB-PCA"
"Copper_DL","d",0.326238577285174,"Copper","DL"
"Copper_PLS","d",0.365551966361516,"Copper","PLS"
"Copper_RF-PCA","d",0.413436561881582,"Copper","RF-PCA"
"Copper_XGB-PCA","d",0.379140393407798,"Copper","XGB-PCA"
"Iron_DL","e",0.840567934425233,"Iron","DL"
"Iron_PLS","e",0.799057534806574,"Iron","PLS"
"Iron_RF-PCA","e",0.756131284665861,"Iron","RF-PCA"
"Iron_XGB-PCA","e",0.754145698119165,"Iron","XGB-PCA"
"Magnesium_DL","f",0.723881801257427,"Magnesium","DL"
"Magnesium_PLS","f",0.777362154315501,"Magnesium","PLS"
"Magnesium_RF-PCA","f",0.636717586307154,"Magnesium","RF-PCA"
"Magnesium_XGB-PCA","f",0.715541952202172,"Magnesium","XGB-PCA"
"Manganese_DL","g",-0.715118434143883,"Manganese","DL"
"Manganese_PLS","g",-0.149590096947665,"Manganese","PLS"
"Manganese_RF-PCA","g",-0.153967045239033,"Manganese","RF-PCA"
"Manganese_XGB-PCA","g",-0.241064382005845,"Manganese","XGB-PCA"
"Molybdenum_DL","h",-0.0411694718388589,"Molybdenum","DL"
"Molybdenum_PLS","i",0.275251099331155,"Molybdenum","PLS"
"Molybdenum_RF-PCA","hi",0.0683375817003715,"Molybdenum","RF-PCA"
"Molybdenum_XGB-PCA","hi",0.0570304744872395,"Molybdenum","XGB-PCA"
"Nitrate-N_DL","j",-0.299699798981155,"Nitrate-N","DL"
"Nitrate-N_PLS","jk",-0.115592150317681,"Nitrate-N","PLS"
"Nitrate-N_RF-PCA","k",0.165149185655809,"Nitrate-N","RF-PCA"
"Nitrate-N_XGB-PCA","k",-0.00496929451754352,"Nitrate-N","XGB-PCA"
"pH_DL","l",-0.211264581851397,"pH","DL"
"pH_PLS","l",-0.237558410581017,"pH","PLS"
"pH_RF-PCA","m",0.116359728592543,"pH","RF-PCA"
"pH_XGB-PCA","lm",0.00821337496084723,"pH","XGB-PCA"
"Phosphorus_DL","n",-0.636623101987562,"Phosphorus","DL"
"Phosphorus_PLS","no",-0.155403740471892,"Phosphorus","PLS"
"Phosphorus_RF-PCA","o",-0.0612478190559403,"Phosphorus","RF-PCA"
"Phosphorus_XGB-PCA","no",-0.250919826069919,"Phosphorus","XGB-PCA"
"Potassium_DL","p",0.386065822547444,"Potassium","DL"
"Potassium_PLS","p",0.640499181077961,"Potassium","PLS"
"Potassium_RF-PCA","p",0.376919712679279,"Potassium","RF-PCA"
"Potassium_XGB-PCA","p",0.345363319884418,"Potassium","XGB-PCA"
"Sulfate_DL","q",0.709520736956224,"Sulfate","DL"
"Sulfate_PLS","q",0.815194287206243,"Sulfate","PLS"
"Sulfate_RF-PCA","q",0.635733070490974,"Sulfate","RF-PCA"
"Sulfate_XGB-PCA","q",0.697903388081722,"Sulfate","XGB-PCA"
"Zinc_DL","r",-0.52620008739604,"Zinc","DL"
"Zinc_PLS","rs",-0.164949054137073,"Zinc","PLS"
"Zinc_RF-PCA","s",0.0246244125879974,"Zinc","RF-PCA"
"Zinc_XGB-PCA","rs",-0.0598740209492949,"Zinc","XGB-PCA"
