"comparison","p","comp1","comp2"
"Ammonium-N - Boron",1.48648729192428e-18,"Ammonium-N","Boron"
"Ammonium-N - Calcium",7.69181229251123e-06,"Ammonium-N","Calcium"
"Boron - Calcium",3.83790645602744e-39,"Boron","Calcium"
"Ammonium-N - Copper",1.39934321346814e-18,"Ammonium-N","Copper"
"Calcium - Copper",3.50845548558071e-39,"Calcium","Copper"
"Ammonium-N - Iron",5.14470868773131e-08,"Ammonium-N","Iron"
"Boron - Iron",0.000348262783237809,"Boron","Iron"
"Calcium - Iron",2.58913732434059e-22,"Calcium","Iron"
"Copper - Iron",0.000339666955729682,"Copper","Iron"
"Boron - Magnesium",1.42310000440655e-23,"Boron","Magnesium"
"Calcium - Magnesium",0.000975304246477517,"Calcium","Magnesium"
"Copper - Magnesium",1.32860420394612e-23,"Copper","Magnesium"
"Iron - Magnesium",2.93505504584222e-11,"Iron","Magnesium"
"Ammonium-N - Manganese",1.35671113954269e-05,"Ammonium-N","Manganese"
"Boron - Manganese",3.14786593936227e-06,"Boron","Manganese"
"Calcium - Manganese",8.0193578268802e-18,"Calcium","Manganese"
"Copper - Manganese",3.04774419123684e-06,"Copper","Manganese"
"Magnesium - Manganese",2.95100058418504e-08,"Magnesium","Manganese"
"Ammonium-N - Molybdenum",5.17172590099103e-29,"Ammonium-N","Molybdenum"
"Boron - Molybdenum",0.00809178580144736,"Boron","Molybdenum"
"Calcium - Molybdenum",4.3810546554199e-54,"Calcium","Molybdenum"
"Copper - Molybdenum",0.00824455609769116,"Copper","Molybdenum"
"Iron - Molybdenum",3.4019969970227e-09,"Iron","Molybdenum"
"Magnesium - Molybdenum",2.66682014392244e-35,"Magnesium","Molybdenum"
"Manganese - Molybdenum",2.24303752702084e-12,"Manganese","Molybdenum"
"Ammonium-N - Nitrate-N",8.23990303907235e-16,"Ammonium-N","Nitrate-N"
"Boron - Nitrate-N",9.50471821402646e-63,"Boron","Nitrate-N"
