"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_DL - Ammonium-N_PLS",0.466886263404965,"Ammonium-N_DL","Ammonium-N_PLS","Ammonium-N","Ammonium-N","DL","PLS"
"Ammonium-N_DL - Ammonium-N_RF-PCA",0.489080753583961,"Ammonium-N_DL","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","DL","RF-PCA"
"Ammonium-N_PLS - Ammonium-N_RF-PCA",0.477780258488824,"Ammonium-N_PLS","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","PLS","RF-PCA"
"Ammonium-N_DL - Ammonium-N_XGB-PCA",0.470191124769951,"Ammonium-N_DL","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","DL","XGB-PCA"
"Ammonium-N_PLS - Ammonium-N_XGB-PCA",0.437272210678275,"Ammonium-N_PLS","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Ammonium-N_XGB-PCA",0.459313511729217,"Ammonium-N_RF-PCA","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Boron_DL",1.07918671216409e-05,"Ammonium-N_DL","Boron_DL","Ammonium-N","Boron","DL","DL"
"Ammonium-N_PLS - Boron_DL",1.55850446273365e-05,"Ammonium-N_PLS","Boron_DL","Ammonium-N","Boron","PLS","DL"
"Ammonium-N_RF-PCA - Boron_DL",1.21896558565067e-05,"Ammonium-N_RF-PCA","Boron_DL","Ammonium-N","Boron","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Boron_DL",7.7088797455274e-06,"Ammonium-N_XGB-PCA","Boron_DL","Ammonium-N","Boron","XGB-PCA","DL"
"Ammonium-N_DL - Boron_PLS",2.9302617926089e-06,"Ammonium-N_DL","Boron_PLS","Ammonium-N","Boron","DL","PLS"
"Ammonium-N_PLS - Boron_PLS",4.32842729676695e-06,"Ammonium-N_PLS","Boron_PLS","Ammonium-N","Boron","PLS","PLS"
"Ammonium-N_RF-PCA - Boron_PLS",3.33453241343149e-06,"Ammonium-N_RF-PCA","Boron_PLS","Ammonium-N","Boron","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Boron_PLS",2.05097069087383e-06,"Ammonium-N_XGB-PCA","Boron_PLS","Ammonium-N","Boron","XGB-PCA","PLS"
"Boron_DL - Boron_PLS",0.388390851753756,"Boron_DL","Boron_PLS","Boron","Boron","DL","PLS"
"Ammonium-N_DL - Boron_RF-PCA",3.78317717644781e-06,"Ammonium-N_DL","Boron_RF-PCA","Ammonium-N","Boron","DL","RF-PCA"
"Ammonium-N_PLS - Boron_RF-PCA",5.56415511771886e-06,"Ammonium-N_PLS","Boron_RF-PCA","Ammonium-N","Boron","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Boron_RF-PCA",4.29897851461262e-06,"Ammonium-N_RF-PCA","Boron_RF-PCA","Ammonium-N","Boron","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Boron_RF-PCA",2.65830416888574e-06,"Ammonium-N_XGB-PCA","Boron_RF-PCA","Ammonium-N","Boron","XGB-PCA","RF-PCA"
"Boron_DL - Boron_RF-PCA",0.409334781646611,"Boron_DL","Boron_RF-PCA","Boron","Boron","DL","RF-PCA"
"Boron_PLS - Boron_RF-PCA",0.478364407178227,"Boron_PLS","Boron_RF-PCA","Boron","Boron","PLS","RF-PCA"
"Ammonium-N_DL - Boron_XGB-PCA",1.30922947610763e-05,"Ammonium-N_DL","Boron_XGB-PCA","Ammonium-N","Boron","DL","XGB-PCA"
"Ammonium-N_PLS - Boron_XGB-PCA",1.88419355507498e-05,"Ammonium-N_PLS","Boron_XGB-PCA","Ammonium-N","Boron","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Boron_XGB-PCA",1.47711977437657e-05,"Ammonium-N_RF-PCA","Boron_XGB-PCA","Ammonium-N","Boron","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Boron_XGB-PCA",9.3813162676734e-06,"Ammonium-N_XGB-PCA","Boron_XGB-PCA","Ammonium-N","Boron","XGB-PCA","XGB-PCA"
"Boron_DL - Boron_XGB-PCA",0.482649503677286,"Boron_DL","Boron_XGB-PCA","Boron","Boron","DL","XGB-PCA"
"Boron_PLS - Boron_XGB-PCA",0.371826204526741,"Boron_PLS","Boron_XGB-PCA","Boron","Boron","PLS","XGB-PCA"
"Boron_RF-PCA - Boron_XGB-PCA",0.392518292952434,"Boron_RF-PCA","Boron_XGB-PCA","Boron","Boron","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Calcium_DL",0.0102251061285015,"Ammonium-N_DL","Calcium_DL","Ammonium-N","Calcium","DL","DL"
"Ammonium-N_PLS - Calcium_DL",0.00817331476676112,"Ammonium-N_PLS","Calcium_DL","Ammonium-N","Calcium","PLS","DL"
