"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_DL - Ammonium-N_PLS",0.466886263404965,"Ammonium-N_DL","Ammonium-N_PLS","Ammonium-N","Ammonium-N","DL","PLS"
"Ammonium-N_DL - Ammonium-N_RF-PCA",0.489080753583961,"Ammonium-N_DL","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","DL","RF-PCA"
"Ammonium-N_PLS - Ammonium-N_RF-PCA",0.477780258488824,"Ammonium-N_PLS","Ammonium-N_RF-PCA","Ammonium-N","Ammonium-N","PLS","RF-PCA"
"Ammonium-N_DL - Ammonium-N_XGB-PCA",0.470191124769951,"Ammonium-N_DL","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","DL","XGB-PCA"
"Ammonium-N_PLS - Ammonium-N_XGB-PCA",0.437272210678275,"Ammonium-N_PLS","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Ammonium-N_XGB-PCA",0.459313511729217,"Ammonium-N_RF-PCA","Ammonium-N_XGB-PCA","Ammonium-N","Ammonium-N","RF-PCA","XGB-PCA"
"Boron_DL - Boron_PLS",0.388390851753756,"Boron_DL","Boron_PLS","Boron","Boron","DL","PLS"
"Boron_DL - Boron_RF-PCA",0.409334781646611,"Boron_DL","Boron_RF-PCA","Boron","Boron","DL","RF-PCA"
"Boron_PLS - Boron_RF-PCA",0.478364407178227,"Boron_PLS","Boron_RF-PCA","Boron","Boron","PLS","RF-PCA"
"Boron_DL - Boron_XGB-PCA",0.482649503677286,"Boron_DL","Boron_XGB-PCA","Boron","Boron","DL","XGB-PCA"
"Boron_PLS - Boron_XGB-PCA",0.371826204526741,"Boron_PLS","Boron_XGB-PCA","Boron","Boron","PLS","XGB-PCA"
"Boron_RF-PCA - Boron_XGB-PCA",0.392518292952434,"Boron_RF-PCA","Boron_XGB-PCA","Boron","Boron","RF-PCA","XGB-PCA"
"Calcium_DL - Calcium_PLS",0.376085658486879,"Calcium_DL","Calcium_PLS","Calcium","Calcium","DL","PLS"
"Calcium_DL - Calcium_RF-PCA",0.484597967446986,"Calcium_DL","Calcium_RF-PCA","Calcium","Calcium","DL","RF-PCA"
"Calcium_PLS - Calcium_RF-PCA",0.390828303708082,"Calcium_PLS","Calcium_RF-PCA","Calcium","Calcium","PLS","RF-PCA"
"Calcium_DL - Calcium_XGB-PCA",0.379429735731984,"Calcium_DL","Calcium_XGB-PCA","Calcium","Calcium","DL","XGB-PCA"
"Calcium_PLS - Calcium_XGB-PCA",0.496489849181191,"Calcium_PLS","Calcium_XGB-PCA","Calcium","Calcium","PLS","XGB-PCA"
"Calcium_RF-PCA - Calcium_XGB-PCA",0.394210311365539,"Calcium_RF-PCA","Calcium_XGB-PCA","Calcium","Calcium","RF-PCA","XGB-PCA"
"Copper_DL - Copper_PLS",0.471941603463378,"Copper_DL","Copper_PLS","Copper","Copper","DL","PLS"
"Copper_DL - Copper_RF-PCA",0.415614559945675,"Copper_DL","Copper_RF-PCA","Copper","Copper","DL","RF-PCA"
"Copper_PLS - Copper_RF-PCA",0.443249583475279,"Copper_PLS","Copper_RF-PCA","Copper","Copper","PLS","RF-PCA"
"Copper_DL - Copper_XGB-PCA",0.463389489887093,"Copper_DL","Copper_XGB-PCA","Copper","Copper","DL","XGB-PCA"
"Copper_PLS - Copper_XGB-PCA",0.491420182123999,"Copper_PLS","Copper_XGB-PCA","Copper","Copper","PLS","XGB-PCA"
"Copper_RF-PCA - Copper_XGB-PCA",0.451755494242325,"Copper_RF-PCA","Copper_XGB-PCA","Copper","Copper","RF-PCA","XGB-PCA"
"Iron_DL - Iron_PLS",0.315606206725954,"Iron_DL","Iron_PLS","Iron","Iron","DL","PLS"
"Iron_DL - Iron_RF-PCA",0.283522794214861,"Iron_DL","Iron_RF-PCA","Iron","Iron","DL","RF-PCA"
"Iron_PLS - Iron_RF-PCA",0.463195305084658,"Iron_PLS","Iron_RF-PCA","Iron","Iron","PLS","RF-PCA"
"Iron_DL - Iron_XGB-PCA",0.364455970795767,"Iron_DL","Iron_XGB-PCA","Iron","Iron","DL","XGB-PCA"
"Iron_PLS - Iron_XGB-PCA",0.446919617593374,"Iron_PLS","Iron_XGB-PCA","Iron","Iron","PLS","XGB-PCA"
"Iron_RF-PCA - Iron_XGB-PCA",0.410664971035885,"Iron_RF-PCA","Iron_XGB-PCA","Iron","Iron","RF-PCA","XGB-PCA"
"Magnesium_DL - Magnesium_PLS",0.382409849160914,"Magnesium_DL","Magnesium_PLS","Magnesium","Magnesium","DL","PLS"
"Magnesium_DL - Magnesium_RF-PCA",0.457374045298102,"Magnesium_DL","Magnesium_RF-PCA","Magnesium","Magnesium","DL","RF-PCA"
"Magnesium_PLS - Magnesium_RF-PCA",0.342294420536488,"Magnesium_PLS","Magnesium_RF-PCA","Magnesium","Magnesium","PLS","RF-PCA"
