"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Molybdenum_DL - Molybdenum_PLS",0.999968026295533,"Molybdenum_DL","Molybdenum_PLS","Molybdenum","Molybdenum","DL","PLS"
"Molybdenum_XGB-PCA - Molybdenum_PLS",0.151236942437043,"Molybdenum_XGB-PCA","Molybdenum_PLS","Molybdenum","Molybdenum","XGB-PCA","PLS"
"Molybdenum_RF-PCA - Molybdenum_PLS",0.11331478678758,"Molybdenum_RF-PCA","Molybdenum_PLS","Molybdenum","Molybdenum","RF-PCA","PLS"
"Molybdenum_XGB-PCA - Molybdenum_DL",0.999917761644056,"Molybdenum_XGB-PCA","Molybdenum_DL","Molybdenum","Molybdenum","XGB-PCA","DL"
"Molybdenum_RF-PCA - Molybdenum_DL",0.999691490410345,"Molybdenum_RF-PCA","Molybdenum_DL","Molybdenum","Molybdenum","RF-PCA","DL"
"Molybdenum_RF-PCA - Molybdenum_XGB-PCA",1,"Molybdenum_RF-PCA","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","RF-PCA","XGB-PCA"
"Boron_RF-PCA - Boron_PLS",1,"Boron_RF-PCA","Boron_PLS","Boron","Boron","RF-PCA","PLS"
"Boron_XGB-PCA - Boron_PLS",0.999999720111261,"Boron_XGB-PCA","Boron_PLS","Boron","Boron","XGB-PCA","PLS"
"Boron_DL - Boron_PLS",0.999955446518886,"Boron_DL","Boron_PLS","Boron","Boron","DL","PLS"
"Boron_XGB-PCA - Boron_RF-PCA",0.999999999975655,"Boron_XGB-PCA","Boron_RF-PCA","Boron","Boron","XGB-PCA","RF-PCA"
"Boron_DL - Boron_RF-PCA",0.999999941213402,"Boron_DL","Boron_RF-PCA","Boron","Boron","DL","RF-PCA"
"Copper_XGB-PCA - Copper_RF-PCA",1,"Copper_XGB-PCA","Copper_RF-PCA","Copper","Copper","XGB-PCA","RF-PCA"
"Copper_PLS - Copper_RF-PCA",1,"Copper_PLS","Copper_RF-PCA","Copper","Copper","PLS","RF-PCA"
"Copper_DL - Copper_RF-PCA",1,"Copper_DL","Copper_RF-PCA","Copper","Copper","DL","RF-PCA"
"Boron_DL - Boron_XGB-PCA",1,"Boron_DL","Boron_XGB-PCA","Boron","Boron","DL","XGB-PCA"
"Copper_PLS - Copper_XGB-PCA",1,"Copper_PLS","Copper_XGB-PCA","Copper","Copper","PLS","XGB-PCA"
"Copper_DL - Copper_XGB-PCA",1,"Copper_DL","Copper_XGB-PCA","Copper","Copper","DL","XGB-PCA"
"Copper_DL - Copper_PLS",1,"Copper_DL","Copper_PLS","Copper","Copper","DL","PLS"
"Zinc_PLS - Zinc_RF-PCA",1,"Zinc_PLS","Zinc_RF-PCA","Zinc","Zinc","PLS","RF-PCA"
"Zinc_XGB-PCA - Zinc_RF-PCA",0.999999999725079,"Zinc_XGB-PCA","Zinc_RF-PCA","Zinc","Zinc","XGB-PCA","RF-PCA"
"Zinc_DL - Zinc_RF-PCA",0.968646175472679,"Zinc_DL","Zinc_RF-PCA","Zinc","Zinc","DL","RF-PCA"
"Iron_XGB-PCA - Iron_DL",1,"Iron_XGB-PCA","Iron_DL","Iron","Iron","XGB-PCA","DL"
"Iron_PLS - Iron_DL",1,"Iron_PLS","Iron_DL","Iron","Iron","PLS","DL"
"Iron_RF-PCA - Iron_DL",0.99999938639894,"Iron_RF-PCA","Iron_DL","Iron","Iron","RF-PCA","DL"
"Iron_PLS - Iron_XGB-PCA",1,"Iron_PLS","Iron_XGB-PCA","Iron","Iron","PLS","XGB-PCA"
"Iron_RF-PCA - Iron_XGB-PCA",1,"Iron_RF-PCA","Iron_XGB-PCA","Iron","Iron","RF-PCA","XGB-PCA"
"Iron_RF-PCA - Iron_PLS",1,"Iron_RF-PCA","Iron_PLS","Iron","Iron","RF-PCA","PLS"
