"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Molybdenum_DL - Molybdenum_PLS",0.999968026295533,"Molybdenum_DL","Molybdenum_PLS","Molybdenum","Molybdenum","DL","PLS"
"Molybdenum_XGB-PCA - Molybdenum_PLS",0.151236942437043,"Molybdenum_XGB-PCA","Molybdenum_PLS","Molybdenum","Molybdenum","XGB-PCA","PLS"
"Molybdenum_RF-PCA - Molybdenum_PLS",0.11331478678758,"Molybdenum_RF-PCA","Molybdenum_PLS","Molybdenum","Molybdenum","RF-PCA","PLS"
"Boron_PLS - Molybdenum_PLS",7.43849426498855e-15,"Boron_PLS","Molybdenum_PLS","Boron","Molybdenum","PLS","PLS"
"Boron_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Boron_RF-PCA","Molybdenum_PLS","Boron","Molybdenum","RF-PCA","PLS"
"Copper_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Copper_RF-PCA","Molybdenum_PLS","Copper","Molybdenum","RF-PCA","PLS"
"Boron_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Boron_XGB-PCA","Molybdenum_PLS","Boron","Molybdenum","XGB-PCA","PLS"
"Boron_DL - Molybdenum_PLS",7.43849426498855e-15,"Boron_DL","Molybdenum_PLS","Boron","Molybdenum","DL","PLS"
"Copper_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Copper_XGB-PCA","Molybdenum_PLS","Copper","Molybdenum","XGB-PCA","PLS"
"Copper_PLS - Molybdenum_PLS",7.43849426498855e-15,"Copper_PLS","Molybdenum_PLS","Copper","Molybdenum","PLS","PLS"
"Copper_DL - Molybdenum_PLS",7.43849426498855e-15,"Copper_DL","Molybdenum_PLS","Copper","Molybdenum","DL","PLS"
"Zinc_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Zinc_RF-PCA","Molybdenum_PLS","Zinc","Molybdenum","RF-PCA","PLS"
"Iron_DL - Molybdenum_PLS",7.43849426498855e-15,"Iron_DL","Molybdenum_PLS","Iron","Molybdenum","DL","PLS"
"Iron_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Iron_XGB-PCA","Molybdenum_PLS","Iron","Molybdenum","XGB-PCA","PLS"
"Iron_PLS - Molybdenum_PLS",7.43849426498855e-15,"Iron_PLS","Molybdenum_PLS","Iron","Molybdenum","PLS","PLS"
"Zinc_PLS - Molybdenum_PLS",7.43849426498855e-15,"Zinc_PLS","Molybdenum_PLS","Zinc","Molybdenum","PLS","PLS"
"Zinc_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Zinc_XGB-PCA","Molybdenum_PLS","Zinc","Molybdenum","XGB-PCA","PLS"
"Iron_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Iron_RF-PCA","Molybdenum_PLS","Iron","Molybdenum","RF-PCA","PLS"
"Manganese_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"Manganese_RF-PCA","Molybdenum_PLS","Manganese","Molybdenum","RF-PCA","PLS"
"Manganese_PLS - Molybdenum_PLS",7.43849426498855e-15,"Manganese_PLS","Molybdenum_PLS","Manganese","Molybdenum","PLS","PLS"
"Manganese_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"Manganese_XGB-PCA","Molybdenum_PLS","Manganese","Molybdenum","XGB-PCA","PLS"
"Zinc_DL - Molybdenum_PLS",7.43849426498855e-15,"Zinc_DL","Molybdenum_PLS","Zinc","Molybdenum","DL","PLS"
"Manganese_DL - Molybdenum_PLS",7.43849426498855e-15,"Manganese_DL","Molybdenum_PLS","Manganese","Molybdenum","DL","PLS"
"pH_RF-PCA - Molybdenum_PLS",7.43849426498855e-15,"pH_RF-PCA","Molybdenum_PLS","pH","Molybdenum","RF-PCA","PLS"
"pH_XGB-PCA - Molybdenum_PLS",7.43849426498855e-15,"pH_XGB-PCA","Molybdenum_PLS","pH","Molybdenum","XGB-PCA","PLS"
