"spmod","groups","median","species","model"
"Ammonium-N_DL","a",2.97945365664141,"Ammonium-N","DL"
"Ammonium-N_PLS","a",2.95756217642875,"Ammonium-N","PLS"
"Ammonium-N_RF-PCA","a",3.09052670002846,"Ammonium-N","RF-PCA"
"Ammonium-N_XGB-PCA","a",3.16008001572124,"Ammonium-N","XGB-PCA"
"Boron_DL","b",0.105442324295577,"Boron","DL"
"Boron_PLS","b",0.0661144072956779,"Boron","PLS"
"Boron_RF-PCA","b",0.0756582928398459,"Boron","RF-PCA"
"Boron_XGB-PCA","b",0.114131216918769,"Boron","XGB-PCA"
"Calcium_DL","c",13.891492883858,"Calcium","DL"
"Calcium_PLS","c",11.9710485380168,"Calcium","PLS"
"Calcium_RF-PCA","c",14.8261794061159,"Calcium","RF-PCA"
"Calcium_XGB-PCA","c",12.5952885177734,"Calcium","XGB-PCA"
"Copper_DL","d",0.0977946969850698,"Copper","DL"
"Copper_PLS","d",0.0921309239463969,"Copper","PLS"
"Copper_RF-PCA","d",0.0916193987775924,"Copper","RF-PCA"
"Copper_XGB-PCA","d",0.0937482524665097,"Copper","XGB-PCA"
"Iron_DL","e",0.156186957602927,"Iron","DL"
"Iron_PLS","e",0.200923264190945,"Iron","PLS"
"Iron_RF-PCA","e",0.191086565233282,"Iron","RF-PCA"
"Iron_XGB-PCA","e",0.180893631877327,"Iron","XGB-PCA"
"Magnesium_DL","f",3.97043907946712,"Magnesium","DL"
"Magnesium_PLS","f",3.77668062449732,"Magnesium","PLS"
"Magnesium_RF-PCA","f",4.83325547007662,"Magnesium","RF-PCA"
"Magnesium_XGB-PCA","f",4.38745783821293,"Magnesium","XGB-PCA"
"Manganese_DL","g",0.244428639299366,"Manganese","DL"
"Manganese_PLS","g",0.197725676394901,"Manganese","PLS"
"Manganese_RF-PCA","g",0.196374812959878,"Manganese","RF-PCA"
"Manganese_XGB-PCA","g",0.209097361837264,"Manganese","XGB-PCA"
"Molybdenum_DL","h",0.0195954671673768,"Molybdenum","DL"
"Molybdenum_PLS","h",0.0167647365792192,"Molybdenum","PLS"
"Molybdenum_RF-PCA","h",0.0171387111744505,"Molybdenum","RF-PCA"
"Molybdenum_XGB-PCA","h",0.0170647204532216,"Molybdenum","XGB-PCA"
"Nitrate-N_DL","i",28.9419103724892,"Nitrate-N","DL"
"Nitrate-N_PLS","i",27.7281057805462,"Nitrate-N","PLS"
"Nitrate-N_RF-PCA","i",23.6328774000594,"Nitrate-N","RF-PCA"
"Nitrate-N_XGB-PCA","i",24.5759711607245,"Nitrate-N","XGB-PCA"
"pH_DL","j",0.303658832284341,"pH","DL"
"pH_PLS","j",0.326045223190515,"pH","PLS"
"pH_RF-PCA","j",0.286651960263313,"pH","RF-PCA"
"pH_XGB-PCA","j",0.294196036154906,"pH","XGB-PCA"
"Phosphorus_DL","k",13.3019129060691,"Phosphorus","DL"
"Phosphorus_PLS","k",11.0871169721335,"Phosphorus","PLS"
"Phosphorus_RF-PCA","k",10.6710944392359,"Phosphorus","RF-PCA"
"Phosphorus_XGB-PCA","k",11.6636125555341,"Phosphorus","XGB-PCA"
"Potassium_DL","l",30.5579817101605,"Potassium","DL"
"Potassium_PLS","l",24.9372965416191,"Potassium","PLS"
"Potassium_RF-PCA","l",30.2627969845047,"Potassium","RF-PCA"
"Potassium_XGB-PCA","l",31.3605637363,"Potassium","XGB-PCA"
"Sulfate_DL","m",16.0259133630252,"Sulfate","DL"
"Sulfate_PLS","m",14.4456119205529,"Sulfate","PLS"
"Sulfate_RF-PCA","m",20.7621456618721,"Sulfate","RF-PCA"
"Sulfate_XGB-PCA","m",19.003007627983,"Sulfate","XGB-PCA"
"Zinc_DL","n",0.209176813417499,"Zinc","DL"
"Zinc_PLS","n",0.187126819029615,"Zinc","PLS"
"Zinc_RF-PCA","n",0.1708574886402,"Zinc","RF-PCA"
"Zinc_XGB-PCA","n",0.192523655707296,"Zinc","XGB-PCA"
