model,perf_met,factor_lev,letters
All,test_rmse,Ammonium-N,a
All,test_rmse,Boron,b
All,test_rmse,Calcium,c
All,test_rmse,Copper,b
All,test_rmse,Iron,d
All,test_rmse,Magnesium,e
All,test_rmse,Manganese,d
All,test_rmse,Molybdenum,f
All,test_rmse,Nitrate-N,g
All,test_rmse,Phosphorus,h
All,test_rmse,Potassium,g
All,test_rmse,Sulfate,i
All,test_rmse,Zinc,d
All,test_rmse,pH,j
DL,test_rmse,Ammonium-N,a
DL,test_rmse,Boron,b
DL,test_rmse,Calcium,c
DL,test_rmse,Copper,b
DL,test_rmse,Iron,d
DL,test_rmse,Magnesium,e
DL,test_rmse,Manganese,dh
DL,test_rmse,Molybdenum,f
DL,test_rmse,Nitrate-N,g
DL,test_rmse,Phosphorus,c
DL,test_rmse,Potassium,g
DL,test_rmse,Sulfate,c
DL,test_rmse,Zinc,d
DL,test_rmse,pH,h
PLS,test_rmse,Ammonium-N,a
PLS,test_rmse,Boron,b
PLS,test_rmse,Calcium,cg
PLS,test_rmse,Copper,b
PLS,test_rmse,Iron,d
PLS,test_rmse,Magnesium,a
PLS,test_rmse,Manganese,d
PLS,test_rmse,Molybdenum,e
PLS,test_rmse,Nitrate-N,f
PLS,test_rmse,Phosphorus,g
PLS,test_rmse,Potassium,f
PLS,test_rmse,Sulfate,c
PLS,test_rmse,Zinc,d
PLS,test_rmse,pH,h
RF-PCA,test_rmse,Ammonium-N,a
RF-PCA,test_rmse,Boron,b
RF-PCA,test_rmse,Calcium,c
RF-PCA,test_rmse,Copper,b
RF-PCA,test_rmse,Iron,d
RF-PCA,test_rmse,Magnesium,e
RF-PCA,test_rmse,Manganese,d
RF-PCA,test_rmse,Molybdenum,f
RF-PCA,test_rmse,Nitrate-N,gi
RF-PCA,test_rmse,Phosphorus,h
RF-PCA,test_rmse,Potassium,i
RF-PCA,test_rmse,Sulfate,g
RF-PCA,test_rmse,Zinc,d
RF-PCA,test_rmse,pH,j
XGB-PCA,test_rmse,Ammonium-N,a
XGB-PCA,test_rmse,Boron,b
XGB-PCA,test_rmse,Calcium,c
XGB-PCA,test_rmse,Copper,b
XGB-PCA,test_rmse,Iron,d
XGB-PCA,test_rmse,Magnesium,e
XGB-PCA,test_rmse,Manganese,d
XGB-PCA,test_rmse,Molybdenum,f
XGB-PCA,test_rmse,Nitrate-N,g
XGB-PCA,test_rmse,Phosphorus,c
XGB-PCA,test_rmse,Potassium,g
XGB-PCA,test_rmse,Sulfate,h
XGB-PCA,test_rmse,Zinc,d
XGB-PCA,test_rmse,pH,i
All,test_rsq,Ammonium-N,af
All,test_rsq,Boron,abf
All,test_rsq,Calcium,c
All,test_rsq,Copper,d
All,test_rsq,Iron,e
All,test_rsq,Magnesium,c
All,test_rsq,Manganese,b
All,test_rsq,Molybdenum,f
All,test_rsq,Nitrate-N,ab
All,test_rsq,Phosphorus,ab
All,test_rsq,Potassium,d
All,test_rsq,Sulfate,c
All,test_rsq,Zinc,ab
All,test_rsq,pH,abf
DL,test_rsq,Ammonium-N,ace
DL,test_rsq,Boron,ace
DL,test_rsq,Calcium,bd
DL,test_rsq,Copper,ce
DL,test_rsq,Iron,d
DL,test_rsq,Magnesium,bd
DL,test_rsq,Manganese,a
DL,test_rsq,Molybdenum,ace
DL,test_rsq,Nitrate-N,a
DL,test_rsq,Phosphorus,a
DL,test_rsq,Potassium,be
DL,test_rsq,Sulfate,bd
DL,test_rsq,Zinc,a
DL,test_rsq,pH,ac
PLS,test_rsq,Ammonium-N,acd
PLS,test_rsq,Boron,acd
PLS,test_rsq,Calcium,b
PLS,test_rsq,Copper,ce
PLS,test_rsq,Iron,b
PLS,test_rsq,Magnesium,b
PLS,test_rsq,Manganese,ad
PLS,test_rsq,Molybdenum,cd
PLS,test_rsq,Nitrate-N,a
PLS,test_rsq,Phosphorus,acd
PLS,test_rsq,Potassium,e
PLS,test_rsq,Sulfate,b
PLS,test_rsq,Zinc,ad
PLS,test_rsq,pH,acd
RF-PCA,test_rsq,Ammonium-N,ae
RF-PCA,test_rsq,Boron,ae
RF-PCA,test_rsq,Calcium,b
RF-PCA,test_rsq,Copper,c
RF-PCA,test_rsq,Iron,d
RF-PCA,test_rsq,Magnesium,b
RF-PCA,test_rsq,Manganese,e
RF-PCA,test_rsq,Molybdenum,a
RF-PCA,test_rsq,Nitrate-N,ae
RF-PCA,test_rsq,Phosphorus,ae
RF-PCA,test_rsq,Potassium,c
RF-PCA,test_rsq,Sulfate,b
RF-PCA,test_rsq,Zinc,ae
RF-PCA,test_rsq,pH,a
XGB-PCA,test_rsq,Ammonium-N,a
XGB-PCA,test_rsq,Boron,a
XGB-PCA,test_rsq,Calcium,b
XGB-PCA,test_rsq,Copper,c
XGB-PCA,test_rsq,Iron,b
XGB-PCA,test_rsq,Magnesium,b
XGB-PCA,test_rsq,Manganese,a
XGB-PCA,test_rsq,Molybdenum,acd
XGB-PCA,test_rsq,Nitrate-N,acd
XGB-PCA,test_rsq,Phosphorus,a
XGB-PCA,test_rsq,Potassium,cd
XGB-PCA,test_rsq,Sulfate,b
XGB-PCA,test_rsq,Zinc,a
XGB-PCA,test_rsq,pH,ad
