perf_met,species,mod1,mod2,meandiff,pvalue,reject
test_rmse,Ammonium-N,DL,PLS,-0.026979375273302963,0.9,False
test_rmse,Ammonium-N,DL,RF-PCA,-0.0012033807039495414,0.9,False
test_rmse,Ammonium-N,DL,XGB-PCA,0.05370893943187682,0.7489032260863159,False
test_rmse,Ammonium-N,PLS,RF-PCA,0.025775994569353422,0.9,False
test_rmse,Ammonium-N,PLS,XGB-PCA,0.08068831470517979,0.48060471432772,False
test_rmse,Ammonium-N,RF-PCA,XGB-PCA,0.054912320135826365,0.7369886053246137,False
test_rmse,Boron,DL,PLS,-0.17019511839993573,0.5672060197956557,False
test_rmse,Boron,DL,RF-PCA,-0.1387166515491205,0.6991954548575314,False
test_rmse,Boron,DL,XGB-PCA,-0.02519423161484724,0.9,False
test_rmse,Boron,PLS,RF-PCA,0.031478466850815234,0.9,False
test_rmse,Boron,PLS,XGB-PCA,0.1450008867850885,0.6728447949288487,False
test_rmse,Boron,RF-PCA,XGB-PCA,0.11352241993427326,0.8048330884080512,False
test_rmse,Calcium,DL,PLS,-0.13552036441021187,0.4171386019193698,False
test_rmse,Calcium,DL,RF-PCA,-0.04937187307138213,0.9,False
test_rmse,Calcium,DL,XGB-PCA,-0.1356679924182047,0.41615718645719124,False
test_rmse,Calcium,PLS,RF-PCA,0.08614849133882974,0.7348022949742645,False
test_rmse,Calcium,PLS,XGB-PCA,-0.00014762800799283937,0.9,False
test_rmse,Calcium,RF-PCA,XGB-PCA,-0.08629611934682258,0.7338660425578893,False
test_rmse,Copper,DL,PLS,-0.020523477016562097,0.9,False
test_rmse,Copper,DL,RF-PCA,-0.0942119955326608,0.19977142441631346,False
test_rmse,Copper,DL,XGB-PCA,-0.04358639081810711,0.7684624753769712,False
test_rmse,Copper,PLS,RF-PCA,-0.0736885185160987,0.40952951145619243,False
test_rmse,Copper,PLS,XGB-PCA,-0.023062913801545015,0.9,False
test_rmse,Copper,RF-PCA,XGB-PCA,0.050625604714553685,0.6857150719712997,False
test_rmse,Iron,DL,PLS,0.08435419610420603,0.8006605759491179,False
test_rmse,Iron,DL,RF-PCA,0.14837696038066017,0.43226473879203253,False
test_rmse,Iron,DL,XGB-PCA,0.07844462343450931,0.8343019369173713,False
test_rmse,Iron,PLS,RF-PCA,0.06402276427645415,0.9,False
test_rmse,Iron,PLS,XGB-PCA,-0.005909572669696717,0.9,False
test_rmse,Iron,RF-PCA,XGB-PCA,-0.06993233694615086,0.8827547482167692,False
test_rmse,Magnesium,DL,PLS,-0.23018502194163637,0.0995844048886857,False
test_rmse,Magnesium,DL,RF-PCA,0.04199405673390744,0.9,False
test_rmse,Magnesium,DL,XGB-PCA,-0.07873510118525062,0.8373422722940703,False
test_rmse,Magnesium,PLS,RF-PCA,0.2721790786755438,0.035827931428841,True
test_rmse,Magnesium,PLS,XGB-PCA,0.15144992075638575,0.42333630404405753,False
