,count,mean,std,min,25%,50%,75%,max
Nitrate-N,63.0,189.69253968253972,26.88388544596534,134.3,174.24,186.18,202.45499999999998,284.78
Ammonium-N,63.0,2.112063492063492,3.275372009765509,0.01,0.04,0.1,4.465,13.67
Phosphorus,63.0,32.805873015873026,10.448664775774851,0.36,27.065,34.99,39.525000000000006,69.91
Potassium,63.0,115.75174603174601,40.69094539605565,0.04,92.36,126.74,145.17000000000002,178.82
Calcium,63.0,179.90238095238095,24.199701991919156,139.2,163.815,175.84,192.66,234.02
Magnesium,63.0,49.13031746031746,8.365020673335803,27.34,44.489999999999995,48.58,53.805,65.83
Sulfate,63.0,182.82698412698412,34.396469653567294,102.37,160.85500000000002,180.48,207.17000000000002,257.75
Boron,63.0,0.3517460317460317,0.08865554369325904,0.21,0.315,0.34,0.37,0.85
Zinc,63.0,0.2631746031746032,0.19611406651878277,0.01,0.20500000000000002,0.26,0.305,1.01
Manganese,63.0,0.28,0.1852113004285959,0.01,0.125,0.29,0.405,0.65
Iron,63.0,2.133809523809524,0.40219329557391714,1.43,1.81,2.13,2.41,3.04
Copper,63.0,0.4996825396825397,0.11939320040573248,0.31,0.4,0.48,0.605,0.79
Molybdenum,59.0,0.08372881355932203,0.019109331994021768,0.04,0.07,0.08,0.1,0.12
pH,63.0,6.093650793650793,0.28841782855781506,5.4,5.9,6.1,6.2,7.1
