Sample Type - Treatment,count,mean,std,min,25%,50%,75%,max,Statistic
natural stream,1024.0,0.06182785665836812,0.06563289764598412,0.0020664270365296803,0.008880258775114155,0.03204297056392694,0.09583811993835617,0.24559365233789957,mean
"natural, diluted HNS",1024.0,0.01623016778047903,0.03440886247451043,0.001741016894736842,0.0027489503815789473,0.0032144325263157893,0.012021874070175438,0.19078897914035087,mean
"natural, undiluted HNS",1024.0,0.08346958233080666,0.10890490186637385,0.00278192473015873,0.004903421158730159,0.021694347484126984,0.12970639898412697,0.4584775295396825,mean
synthetic stream,1024.0,0.09202386787482246,0.12246362943150459,0.007540110919191919,0.012163000626262627,0.0255887235959596,0.12664595035858586,0.4414727174747475,mean
"synthetic, diluted HNS",1024.0,0.01687356574000085,0.03427229935092401,0.001407000847826087,0.0027208511467391302,0.004058457673913043,0.013624716586956524,0.19123768652173911,mean
"synthetic, undiluted HNS",1024.0,0.08948826447414233,0.11061678275892847,0.002735680804347826,0.005280152076086957,0.02801549915217391,0.14615596885869564,0.4551028791304348,mean
natural stream,1024.0,0.0508928877272741,0.04188968125384373,0.002108791640693391,0.015174978871959266,0.03016278799800677,0.08695887485843043,0.14689302920717304,SD
"natural, diluted HNS",1024.0,0.00747598207365906,0.005696388571529647,0.0017333525653003804,0.005103945936484675,0.005462616347205539,0.007146945356761594,0.03210838522872747,SD
"natural, undiluted HNS",1024.0,0.013232575694549067,0.009493302710385572,0.0014971180118354085,0.0060545681236489676,0.007048712113030929,0.019897195365888982,0.036179010193033635,SD
synthetic stream,1024.0,0.05422105739805997,0.03889160598239079,0.002078416811353523,0.02615879286019922,0.035861432684902494,0.08009245600486582,0.16565147121106982,SD
"synthetic, diluted HNS",1024.0,0.007713750140075595,0.00619206210521687,0.0011592609262162953,0.00522575809049321,0.005749346039031852,0.007796764273281586,0.05465041455004126,SD
"synthetic, undiluted HNS",1024.0,0.0298309842558208,0.03332455383733935,0.0013925401422654154,0.005778735080366146,0.010204078052674467,0.0593451784314714,0.1172869051662297,SD
