sample_type,species,model,perf_met,value
Streams,Ammonium-N,RF-PCA,test_rmse,0.09311914432809079
Streams,Nitrate-N,DL,test_rmse,0.20956240895899322
Streams,ON,DL,test_rmse,0.199606135894066
Streams,OP,RF-PCA,test_rmse,0.04698863721764868
Streams,Phosphate-P,RF-PCA,test_rmse,0.17191809294242494
Streams,TKN,DL,test_rmse,0.18762734715124454
Streams,TN,DL,test_rmse,0.3190744755533176
Streams,TP,XGB-PCA,test_rmse,0.1735943431745033
Hydroponics,Ammonium-N,PLS,test_rmse,2.9790255968139467
Hydroponics,Boron,PLS,test_rmse,0.08465429823206644
Hydroponics,Calcium,XGB-PCA,test_rmse,13.178890018408765
Hydroponics,Copper,RF-PCA,test_rmse,0.08912368460094479
Hydroponics,Iron,XGB-PCA,test_rmse,0.18282735529448454
Hydroponics,Magnesium,PLS,test_rmse,3.740179212481678
Hydroponics,Manganese,RF-PCA,test_rmse,0.19508297434185323
Hydroponics,Molybdenum,PLS,test_rmse,0.01680702513482929
Hydroponics,Nitrate-N,RF-PCA,test_rmse,24.395518596526607
Hydroponics,Phosphorus,RF-PCA,test_rmse,10.750782931223364
Hydroponics,Potassium,PLS,test_rmse,26.64095212283625
Hydroponics,Sulfate,PLS,test_rmse,16.32740039157337
Hydroponics,Zinc,RF-PCA,test_rmse,0.17066212966195465
Hydroponics,pH,RF-PCA,test_rmse,0.2765628222278606
Streams,Ammonium-N,RF-PCA,test_rsq,0.15758191792545445
Streams,Nitrate-N,DL,test_rsq,0.9513428522824589
Streams,ON,DL,test_rsq,0.19147084328625455
Streams,OP,RF-PCA,test_rsq,-0.03702114262964193
Streams,Phosphate-P,RF-PCA,test_rsq,0.42562082844397536
Streams,TKN,DL,test_rsq,0.33694569769338545
Streams,TN,DL,test_rsq,0.8368873385334826
Streams,TP,XGB-PCA,test_rsq,0.4407800869879915
Hydroponics,Ammonium-N,PLS,test_rsq,0.02517149150186094
Hydroponics,Boron,PLS,test_rsq,0.03449619845821868
Hydroponics,Calcium,XGB-PCA,test_rsq,0.6637909154399112
Hydroponics,Copper,RF-PCA,test_rsq,0.39786059802494567
Hydroponics,Iron,XGB-PCA,test_rsq,0.7606345971406447
Hydroponics,Magnesium,PLS,test_rsq,0.7651183668442011
Hydroponics,Manganese,RF-PCA,test_rsq,-0.19853369423794437
Hydroponics,Molybdenum,PLS,test_rsq,0.1630895833712996
Hydroponics,Nitrate-N,RF-PCA,test_rsq,0.05535280402328886
Hydroponics,Phosphorus,RF-PCA,test_rsq,-0.08379147257030228
Hydroponics,Potassium,PLS,test_rsq,0.37487169127823594
Hydroponics,Sulfate,PLS,test_rsq,0.7227284821240183
Hydroponics,Zinc,RF-PCA,test_rsq,-0.06233624426632499
Hydroponics,pH,RF-PCA,test_rsq,0.09536584200946152
