sample_type,species,model,treatment,perf_met,value
Streams,Ammonium-N,RF-PCA,unf,test_rmse,0.0984876221116476
Streams,Nitrate-N,DL,comb,test_rmse,0.22665345267107742
Streams,ON,RF-PCA,comb,test_rmse,0.19376739434043533
Streams,OP,DL,fil,test_rmse,0.025148191665219383
Streams,Phosphate-P,RF-PCA,comb,test_rmse,0.19638651863882006
Streams,TKN,RF-PCA,comb,test_rmse,0.18304911429269735
Streams,TN,DL,comb,test_rmse,0.3853859890800918
Streams,TP,RF-PCA,comb,test_rmse,0.20367334433145903
Hydroponics,Ammonium-N,PLS,undiluted,test_rmse,2.9790255968139467
Hydroponics,Boron,RF-PCA,diluted,test_rmse,0.08395588009403088
Hydroponics,Calcium,XGB-PCA,undiluted,test_rmse,13.178890018408765
Hydroponics,Copper,RF-PCA,undiluted,test_rmse,0.08912368460094479
Hydroponics,Iron,XGB-PCA,undiluted,test_rmse,0.18282735529448454
Hydroponics,Magnesium,PLS,undiluted,test_rmse,3.740179212481678
Hydroponics,Manganese,RF-PCA,undiluted,test_rmse,0.19508297434185323
Hydroponics,Molybdenum,PLS,undiluted,test_rmse,0.01680702513482929
Hydroponics,Nitrate-N,RF-PCA,undiluted,test_rmse,24.395518596526607
Hydroponics,Phosphorus,RF-PCA,diluted,test_rmse,10.419531863272722
Hydroponics,Potassium,PLS,undiluted,test_rmse,26.64095212283625
Hydroponics,Sulfate,PLS,undiluted,test_rmse,16.32740039157337
Hydroponics,Zinc,RF-PCA,diluted,test_rmse,0.13492226494576406
Hydroponics,pH,RF-PCA,undiluted,test_rmse,0.2765628222278606
Streams,Ammonium-N,RF-PCA,unf,test_rsq,-0.058229188462523764
Streams,Nitrate-N,DL,comb,test_rsq,0.936598229781301
Streams,ON,PLS,fil,test_rsq,0.08685799655655131
Streams,OP,DL,fil,test_rsq,-0.08524258406906499
Streams,Phosphate-P,DL,unf,test_rsq,0.2852439340531162
Streams,TKN,RF-PCA,comb,test_rsq,0.35815889189787875
Streams,TN,DL,comb,test_rsq,0.7371050371406962
Streams,TP,RF-PCA,unf,test_rsq,0.2030515427287512
Hydroponics,Ammonium-N,PLS,undiluted,test_rsq,0.02517149150186094
Hydroponics,Boron,PLS,undiluted,test_rsq,0.03449619845821868
Hydroponics,Calcium,XGB-PCA,undiluted,test_rsq,0.6637909154399112
Hydroponics,Copper,RF-PCA,undiluted,test_rsq,0.39786059802494567
Hydroponics,Iron,XGB-PCA,undiluted,test_rsq,0.7606345971406447
Hydroponics,Magnesium,PLS,undiluted,test_rsq,0.7651183668442011
Hydroponics,Manganese,RF-PCA,undiluted,test_rsq,-0.19853369423794437
Hydroponics,Molybdenum,PLS,undiluted,test_rsq,0.1630895833712996
Hydroponics,Nitrate-N,RF-PCA,undiluted,test_rsq,0.05535280402328886
Hydroponics,Phosphorus,RF-PCA,undiluted,test_rsq,-0.08379147257030228
Hydroponics,Potassium,PLS,undiluted,test_rsq,0.37487169127823594
Hydroponics,Sulfate,PLS,undiluted,test_rsq,0.7227284821240183
Hydroponics,Zinc,RF-PCA,diluted,test_rsq,0.2076079793939912
Hydroponics,pH,RF-PCA,undiluted,test_rsq,0.09536584200946152
