Name,Ca,Ammonium-N,Nitrate-N,TKN,Phosphate-P,TP,OP,ON,TN
SWs1,8.39,0.22,9.61,11.03,0.1643852,0.2499077,0.0855225,10.8147,20.6413
SWs2,12.24,0.15,2.90,7.22,0.1850672,0.2516219,0.0665547,7.0737,10.1244
SWs3,6.97,0.23,4.15,8.58,0.0952392,0.120334,0.0250948,8.3492,12.7268
SWs4,10.18,0.13,6.08,4.15,0.0810629,0.1315879,0.050525,4.013,10.2242
SWs5,5.31,0.06,10.09,4.84,0.2782206,0.3327267,0.0545061,4.7737,14.9293
SWs6,6.25,0.02,2.35,4.62,0.1742255,0.212111,0.0378855,4.6042,6.9678
SWs7,4.45,0.02,9.85,1.68,0.1275442,0.1650237,0.0374795,1.6661,11.5379
SWs8,13.22,0.08,10.12,1.78,0.0495778,0.072665,0.0230872,1.6992,11.9003
SWs9,1.92,0.11,7.34,4.69,0.1928711,0.2205687,0.0276976,4.574,12.0305
SWs10,4.47,0.14,6.71,3.11,0.2506253,0.2805747,0.0299494,2.973,9.8262
SWs11,5.78,0.08,0.75,8.25,0.1887941,0.2363494,0.0475553,8.1693,8.9985
SWs12,16.36,0.22,2.25,4.20,0.2844938,0.3424888,0.057995,3.9795,6.4526
SWs13,11.73,0.04,2.09,2.26,0.214931,0.2539808,0.0390498,2.2114,4.3456
SWs14,17.30,0.10,7.54,2.71,0.1257017,0.2073274,0.0816257,2.6171,10.2546
SWs15,16.06,0.07,4.26,6.76,0.140378,0.2160502,0.0756722,6.6858,11.0168
SWs16,17.16,0.15,8.59,6.33,0.0517008,0.0863149,0.0346141,6.1856,14.9163
SWs17,12.89,0.03,5.59,0.85,0.0190397,0.0626944,0.0436547,0.8128,6.4361
SWs18,5.93,0.08,7.55,1.67,0.2250195,0.2506223,0.0256028,1.5925,9.2159
SWs19,12.60,0.16,10.95,7.29,0.0450626,0.0819147,0.0368521,7.1254,18.2392
SWs20,20.99,0.01,4.26,5.80,0.1489555,0.2473551,0.0983996,5.7981,10.0636
SWs21,17.76,0.25,8.23,1.47,0.2085368,0.2705129,0.0619761,1.2258,9.7047
SWs22,26.54,0.11,10.17,-0.29,0.3009717,0.3826405,0.0816688,-0.4006,9.8831
SWs23,29.31,0.22,2.35,0.77,0.1567476,0.2052278,0.0484802,0.5523,3.1201
SWs24,25.35,0.09,6.73,3.46,0.1519111,0.2045178,0.0526067,3.365,10.189
SWs25,15.63,0.09,1.36,1.51,0.1023563,0.1593039,0.0569476,1.4251,2.8694
SWs26,22.31,0.17,2.78,2.28,0.2525985,0.3278157,0.0752172,2.1147,5.064
SWs27,30.67,0.25,4.07,1.68,0.1614489,0.2438278,0.0823789,1.4354,5.7595
SWs28,26.53,0.23,0.27,2.76,0.1702663,0.2540863,0.08382,2.5278,3.0255
SWs29,22.41,0.11,3.95,1.38,0.0861773,0.1638594,0.0776821,1.2698,5.3304
SWs30,21.26,0.19,9.15,4.40,0.0833235,0.122291,0.0389675,4.2125,13.5545
SWs31,25.76,0.29,3.65,7.71,0.1941291,0.2702174,0.0760883,7.424,11.3595
SWs32,18.04,0.13,5.24,0.80,0.2106126,0.2873878,0.0767752,0.6647,6.0412
SWs33,12.37,0.18,6.26,5.13,0.0488312,0.0687638,0.0199326,4.9445,11.39
SWs34,24.65,0.11,5.27,8.45,0.0300219,0.0677177,0.0376958,8.341,13.715
SWs35,24.42,0.10,2.09,3.19,0.2118919,0.2971212,0.0852293,3.0937,5.2795
SWs36,25.75,0.21,9.25,0.58,0.2763609,0.3269765,0.0506156,0.3727,9.8287
SWs37,24.46,0.06,7.12,1.48,0.1875033,0.2421562,0.0546529,1.4204,8.6029
SWs38,23.55,0.19,8.74,3.33,0.1771961,0.253985,0.0767889,3.1409,12.0711
SWs39,21.76,0.04,1.26,1.44,0.1580512,0.2184032,0.060352,1.3993,2.6911
SWs40,24.96,0.06,7.78,2.02,0.3008246,0.414831,0.1140064,1.9625,9.8022
SWs41,25.36,0.03,4.31,1.91,0.1683847,0.2589737,0.090589,1.8849,6.2172
SWs42,22.97,0.05,8.65,2.08,0.2229083,0.3218671,0.0989588,2.0298,10.7319
SWs43,23.77,0.00,6.48,2.09,0.181307,0.2210626,0.0397556,2.0839,8.5642
SWs44,3.92,0.13,8.26,9.60,0.1114287,0.1316782,0.0202495,9.4655,17.8552
SWs45,22.07,0.18,5.42,2.82,0.0817095,0.1386383,0.0569288,2.6366,8.2357
SWs46,15.58,0.15,5.25,4.79,0.2248865,0.292287,0.0674005,4.633,10.0342
SWs47,20.20,0.16,8.14,6.77,0.1365465,0.1847167,0.0481702,6.61,14.9131
SWs48,22.50,0.08,0.37,0.69,0.0758913,0.1210685,0.0451772,0.6083,1.0612
SWs49,18.19,0.07,4.85,1.01,0.216334,0.2849581,0.0686241,0.9366,5.8602
SWs50,23.17,0.16,7.55,0.52,0.051778,0.0952598,0.0434818,0.3528,8.0627
