Name,Date_col,Species,Conc
hat,11/5/2020,Ammonium-N,0.108449057
hat,11/5/2020,Nitrate-N,0.072786526
hat,11/5/2020,Phosphate-P,0.071530866
hat,10/22/2020,Ammonium-N,0.017558316
hat,10/22/2020,Nitrate-N,0.037253617
hat,10/22/2020,Phosphate-P,0.106957941
hat,10/8/2020,Ammonium-N,0.027432101
hat,10/8/2020,Nitrate-N,0.053444233
hat,10/8/2020,Phosphate-P,0.069682892
hat,9/10/2020,Ammonium-N,0.021232153
hat,9/10/2020,Nitrate-N,0.037506128
hat,9/10/2020,Phosphate-P,0.099366757
hat,8/24/2020,Ammonium-N,0.016837803
hat,8/24/2020,Nitrate-N,0.014086754
hat,8/24/2020,Phosphate-P,0.16774969
hat,8/14/2020,Ammonium-N,0.110989659
hat,8/14/2020,Nitrate-N,0.052136398
hat,8/14/2020,Phosphate-P,0.163838414
hat,7/28/2020,Ammonium-N,0.139659083
hat,7/28/2020,Nitrate-N,0.148140528
hat,7/28/2020,Phosphate-P,0.12965646
hat,7/16/2020,Ammonium-N,0.010523756
hat,7/16/2020,Nitrate-N,0.096144459
hat,7/16/2020,Phosphate-P,0.079515707
hat,6/26/2020,Ammonium-N,0.198485209
hat,6/26/2020,Nitrate-N,0.049613899
hat,6/26/2020,Phosphate-P,0.080980542
hat,3/12/2020,Ammonium-N,0.211481076
hat,3/12/2020,Nitrate-N,0.028631066
hat,3/12/2020,Phosphate-P,0.109926647
hat,2/28/2020,Ammonium-N,0.024624505
hat,2/28/2020,Nitrate-N,0.0015
hat,2/28/2020,Phosphate-P,0.09543639
hat,2/12/2020,Ammonium-N,0.027165116
hat,2/12/2020,Nitrate-N,0.015718177
hat,2/12/2020,Phosphate-P,0.097259147
hat,1/10/2020,Ammonium-N,0.008278148
hat,1/10/2020,Nitrate-N,0.0015
hat,1/10/2020,Phosphate-P,0.047892971
hat,12/17/2019,Ammonium-N,0.004
hat,12/17/2019,Nitrate-N,0.04285312
hat,12/17/2019,Phosphate-P,0.129354601
hat,11/20/2019,Ammonium-N,0.004
hat,11/20/2019,Nitrate-N,0.060857631
hat,11/20/2019,Phosphate-P,0.094475319
hat,11/6/2019,Ammonium-N,0.012658768
hat,11/6/2019,Nitrate-N,0.056062853
hat,11/6/2019,Phosphate-P,0.09860677
hat,10/23/2019,Ammonium-N,0.004
hat,10/23/2019,Nitrate-N,0.070823388
hat,10/23/2019,Phosphate-P,0.145860239
hat,10/9/2019,Ammonium-N,0.004
hat,10/9/2019,Nitrate-N,0.0015
hat,10/9/2019,Phosphate-P,0.117658193
hat,9/25/2019,Ammonium-N,0.004
hat,9/25/2019,Nitrate-N,0.100238399
hat,9/25/2019,Phosphate-P,0.104097178
hat,9/11/2019,Ammonium-N,0.004
hat,9/11/2019,Nitrate-N,0.091246753
hat,9/11/2019,Phosphate-P,0.081350544
hat,8/28/2019,Ammonium-N,0.00286954
hat,8/28/2019,Nitrate-N,0.0015
hat,8/28/2019,Phosphate-P,0.080236457
hat,8/14/2019,Ammonium-N,0.022744659
hat,8/14/2019,Nitrate-N,0.095595117
hat,8/14/2019,Phosphate-P,0.027388728
hat,7/29/2019,Ammonium-N,0.004
hat,7/29/2019,Nitrate-N,0.049632143
hat,7/29/2019,Phosphate-P,0.018088271
hat,7/9/2019,Ammonium-N,0.01989755
hat,7/9/2019,Nitrate-N,0.099610019
hat,7/9/2019,Phosphate-P,0.104625951
hat,6/18/2019,Ammonium-N,0.004
hat,6/18/2019,Nitrate-N,0.126158535
hat,6/18/2019,Phosphate-P,0.171791865
hat,6/6/2019,Ammonium-N,0.012094518
hat,6/6/2019,Nitrate-N,0.007537459
hat,6/6/2019,Phosphate-P,0.300725437
hat,5/24/2019,Ammonium-N,0.287302893
hat,5/24/2019,Nitrate-N,0.047062508
hat,5/24/2019,Phosphate-P,0.141272803
hat,5/7/2019,Ammonium-N,0.170017582
hat,5/7/2019,Nitrate-N,0.090427513
hat,5/7/2019,Phosphate-P,0.112113871
hat,4/24/2019,Ammonium-N,0.011837411
hat,4/24/2019,Nitrate-N,0.082494986
hat,4/24/2019,Phosphate-P,0.140891188
hat,4/3/2019,Ammonium-N,0.268670452
hat,4/3/2019,Nitrate-N,0.090630674
hat,4/3/2019,Phosphate-P,0.159448409
hat,3/22/2019,Ammonium-N,1.13473527
hat,3/22/2019,Nitrate-N,0.093439079
hat,3/22/2019,Phosphate-P,0.120361491
hat,2/20/2019,Ammonium-N,0.089939177
hat,2/20/2019,Nitrate-N,0.049764958
hat,2/20/2019,Phosphate-P,0.08581405
hat,2/6/2019,Ammonium-N,0.410994029
hat,2/6/2019,Nitrate-N,0.018542295
hat,2/6/2019,Phosphate-P,0.06088583
hat,1/25/2019,Ammonium-N,0.01029808
hat,1/25/2019,Nitrate-N,0.017435434
hat,1/25/2019,Phosphate-P,0.102733338
hat,1/18/2019,Ammonium-N,0.265256002
hat,1/18/2019,Nitrate-N,0.032732687
hat,1/18/2019,Phosphate-P,0.065443278
hat,1/4/2019,Ammonium-N,0.017150835
hat,1/4/2019,Nitrate-N,0.022898304
hat,1/4/2019,Phosphate-P,0.05534481
hat,12/20/2018,Ammonium-N,0.283476349
hat,12/20/2018,Nitrate-N,0.088811298
hat,12/20/2018,Phosphate-P,0.258076359
hat,12/5/2018,Ammonium-N,0.008691157
hat,12/5/2018,Nitrate-N,0.057913344
hat,12/5/2018,Phosphate-P,0.575079236
hat,11/29/2018,Ammonium-N,0.118133328
hat,11/29/2018,Nitrate-N,0.057468702
hat,11/29/2018,Phosphate-P,0.222159124
hat,11/13/2018,Ammonium-N,0.091148787
hat,11/13/2018,Nitrate-N,0.110586799
hat,11/13/2018,Phosphate-P,0.215538336
hat,11/8/2018,Ammonium-N,0.078749416
hat,11/8/2018,Nitrate-N,0.135545378
hat,11/8/2018,Phosphate-P,0.224899523
hat,10/31/2018,Ammonium-N,0.207266541
hat,10/31/2018,Nitrate-N,0.20771115
hat,10/31/2018,Phosphate-P,0.235731097
hat,10/18/2018,Ammonium-N,0.125190779
hat,10/18/2018,Nitrate-N,0.185678457
