perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rmse,Ammonium-N,DL,comb,fil,-0.004953910219493984,0.9973634186591482,False
test_rmse,Ammonium-N,DL,comb,unf,0.02676047545413507,0.9259683933445538,False
test_rmse,Ammonium-N,DL,fil,unf,0.03171438567362905,0.8976669933023149,False
test_rmse,Ammonium-N,PLS,comb,fil,-0.01586301111307309,0.9736446890791385,False
test_rmse,Ammonium-N,PLS,comb,unf,-0.04459699026775299,0.810363729771047,False
test_rmse,Ammonium-N,PLS,fil,unf,-0.0287339791546799,0.9162005257891026,False
test_rmse,Ammonium-N,RF-PCA,comb,fil,0.00952633227845201,0.9909920326965629,False
test_rmse,Ammonium-N,RF-PCA,comb,unf,-0.021711969543949827,0.9541198883516419,False
test_rmse,Ammonium-N,RF-PCA,fil,unf,-0.031238301822401837,0.9074506455445654,False
test_rmse,Ammonium-N,XGB-PCA,comb,fil,0.025080287090362585,0.930935979472873,False
test_rmse,Ammonium-N,XGB-PCA,comb,unf,0.0019034858552475775,0.9995872296870174,False
test_rmse,Ammonium-N,XGB-PCA,fil,unf,-0.023176801235115008,0.9407030171738459,False
test_rmse,Nitrate-N,DL,comb,fil,0.08801637185355249,0.5109137802719299,False
test_rmse,Nitrate-N,DL,comb,unf,0.13380547239781748,0.21782017684574617,False
test_rmse,Nitrate-N,DL,fil,unf,0.04578910054426499,0.8322166763847005,False
test_rmse,Nitrate-N,PLS,comb,fil,-0.03539559926013691,0.7740620320769139,False
test_rmse,Nitrate-N,PLS,comb,unf,0.08400140570192027,0.2447864692952012,False
test_rmse,Nitrate-N,PLS,fil,unf,0.11939700496205718,0.06310679013787168,False
test_rmse,Nitrate-N,RF-PCA,comb,fil,-0.03958189851830474,0.9027158594625095,False
test_rmse,Nitrate-N,RF-PCA,comb,unf,0.032118516390502894,0.9347833696799989,False
test_rmse,Nitrate-N,RF-PCA,fil,unf,0.07170041490880763,0.7159332716049223,False
test_rmse,Nitrate-N,XGB-PCA,comb,fil,-0.03542653173044674,0.9321135250101217,False
test_rmse,Nitrate-N,XGB-PCA,comb,unf,0.06522591385849452,0.7886317040948194,False
test_rmse,Nitrate-N,XGB-PCA,fil,unf,0.10065244558894126,0.5703352755766349,False
test_rmse,ON,DL,comb,fil,0.2543698330314921,4.0463377682820045e-05,True
test_rmse,ON,DL,comb,unf,0.1971315200427881,0.001449736827839665,True
test_rmse,ON,DL,fil,unf,-0.057238312988703965,0.5359509265106344,False
test_rmse,ON,PLS,comb,fil,0.06352685193977536,0.6173046056545175,False
test_rmse,ON,PLS,comb,unf,0.10904849705399511,0.24807172862392846,False
test_rmse,ON,PLS,fil,unf,0.045521645114219744,0.7796260331512197,False
test_rmse,ON,RF-PCA,comb,fil,0.1513788176728843,0.06715271549175816,False
test_rmse,ON,RF-PCA,comb,unf,0.11637268416008162,0.19542901147550706,False
test_rmse,ON,RF-PCA,fil,unf,-0.035006133512802684,0.8585857459429762,False
test_rmse,ON,XGB-PCA,comb,fil,0.16438946917101438,0.03682341935349853,True
test_rmse,ON,XGB-PCA,comb,unf,0.1938131205238003,0.01135682607159616,True
test_rmse,ON,XGB-PCA,fil,unf,0.029423651352785907,0.8929937013880456,False
test_rmse,OP,DL,comb,fil,-0.4621404169568919,2.3040014913267015e-05,True
test_rmse,OP,DL,comb,unf,0.20190006344014177,0.08921249854651658,False
test_rmse,OP,DL,fil,unf,0.6640404803970337,7.398337609210159e-09,True
test_rmse,OP,PLS,comb,fil,-0.42278476934952147,1.2424219718476515e-05,True
test_rmse,OP,PLS,comb,unf,0.1542610403773863,0.16068409050533294,False
test_rmse,OP,PLS,fil,unf,0.5770458097269078,1.1688020773448216e-08,True
test_rmse,OP,RF-PCA,comb,fil,-0.40826829950072385,2.7353239837379917e-05,True
test_rmse,OP,RF-PCA,comb,unf,0.27449142686558226,0.005064272410207793,True
test_rmse,OP,RF-PCA,fil,unf,0.6827597263663061,1.1926659659877714e-10,True
test_rmse,OP,XGB-PCA,comb,fil,-0.5433119976442873,1.2432061494482838e-05,True
test_rmse,OP,XGB-PCA,comb,unf,0.2794082703564724,0.030023349999998783,True
test_rmse,OP,XGB-PCA,fil,unf,0.8227202680007597,6.332943058851015e-10,True
test_rmse,Phosphate-P,DL,comb,fil,0.07777659300186102,0.1548815562218021,False
test_rmse,Phosphate-P,DL,comb,unf,0.03866863020371536,0.6219596310510243,False
test_rmse,Phosphate-P,DL,fil,unf,-0.03910796279814566,0.6153153969018802,False
test_rmse,Phosphate-P,PLS,comb,fil,0.00871932450147872,0.9537827671188487,False
test_rmse,Phosphate-P,PLS,comb,unf,0.07487355736420565,0.03841659308237011,True
test_rmse,Phosphate-P,PLS,fil,unf,0.06615423286272692,0.07570597215030839,False
test_rmse,Phosphate-P,RF-PCA,comb,fil,0.05708611622386939,0.2058171135860244,False
test_rmse,Phosphate-P,RF-PCA,comb,unf,0.08516805857078125,0.03380939286950557,True
test_rmse,Phosphate-P,RF-PCA,fil,unf,0.02808194234691186,0.6754676337994281,False
test_rmse,Phosphate-P,XGB-PCA,comb,fil,0.035630428875303766,0.4470053834239437,False
test_rmse,Phosphate-P,XGB-PCA,comb,unf,0.06901098727270094,0.055574726373631256,False
test_rmse,Phosphate-P,XGB-PCA,fil,unf,0.033380558397397175,0.4925417914198277,False
test_rmse,TKN,DL,comb,fil,-0.040899050546647775,0.8566032924963068,False
test_rmse,TKN,DL,comb,unf,-0.003498079634917106,0.9988646320874768,False
