species_model,perf_met,factor_lev,letters
Ammonium-N_DL,test_rmse,comb,a
Ammonium-N_DL,test_rmse,fil,a
Ammonium-N_DL,test_rmse,unf,a
Ammonium-N_PLS,test_rmse,comb,a
Ammonium-N_PLS,test_rmse,fil,a
Ammonium-N_PLS,test_rmse,unf,a
Ammonium-N_RF-PCA,test_rmse,comb,a
Ammonium-N_RF-PCA,test_rmse,fil,a
Ammonium-N_RF-PCA,test_rmse,unf,a
Ammonium-N_XGB-PCA,test_rmse,comb,a
Ammonium-N_XGB-PCA,test_rmse,fil,a
Ammonium-N_XGB-PCA,test_rmse,unf,a
Nitrate-N_DL,test_rmse,comb,a
Nitrate-N_DL,test_rmse,fil,a
Nitrate-N_DL,test_rmse,unf,a
Nitrate-N_PLS,test_rmse,comb,a
Nitrate-N_PLS,test_rmse,fil,a
Nitrate-N_PLS,test_rmse,unf,a
Nitrate-N_RF-PCA,test_rmse,comb,a
Nitrate-N_RF-PCA,test_rmse,fil,a
Nitrate-N_RF-PCA,test_rmse,unf,a
Nitrate-N_XGB-PCA,test_rmse,comb,a
Nitrate-N_XGB-PCA,test_rmse,fil,a
Nitrate-N_XGB-PCA,test_rmse,unf,a
ON_DL,test_rmse,comb,a
ON_DL,test_rmse,fil,b
ON_DL,test_rmse,unf,b
ON_PLS,test_rmse,comb,a
ON_PLS,test_rmse,fil,a
ON_PLS,test_rmse,unf,a
ON_RF-PCA,test_rmse,comb,a
ON_RF-PCA,test_rmse,fil,a
ON_RF-PCA,test_rmse,unf,a
ON_XGB-PCA,test_rmse,comb,a
ON_XGB-PCA,test_rmse,fil,b
ON_XGB-PCA,test_rmse,unf,b
OP_DL,test_rmse,comb,a
OP_DL,test_rmse,fil,b
OP_DL,test_rmse,unf,a
OP_PLS,test_rmse,comb,a
OP_PLS,test_rmse,fil,b
OP_PLS,test_rmse,unf,a
OP_RF-PCA,test_rmse,comb,a
OP_RF-PCA,test_rmse,fil,b
OP_RF-PCA,test_rmse,unf,c
OP_XGB-PCA,test_rmse,comb,a
OP_XGB-PCA,test_rmse,fil,b
OP_XGB-PCA,test_rmse,unf,c
Phosphate-P_DL,test_rmse,comb,a
Phosphate-P_DL,test_rmse,fil,a
Phosphate-P_DL,test_rmse,unf,a
Phosphate-P_PLS,test_rmse,comb,a
Phosphate-P_PLS,test_rmse,fil,ab
Phosphate-P_PLS,test_rmse,unf,b
Phosphate-P_RF-PCA,test_rmse,comb,a
Phosphate-P_RF-PCA,test_rmse,fil,ab
Phosphate-P_RF-PCA,test_rmse,unf,b
Phosphate-P_XGB-PCA,test_rmse,comb,a
Phosphate-P_XGB-PCA,test_rmse,fil,a
Phosphate-P_XGB-PCA,test_rmse,unf,a
TKN_DL,test_rmse,comb,a
TKN_DL,test_rmse,fil,a
TKN_DL,test_rmse,unf,a
TKN_PLS,test_rmse,comb,a
TKN_PLS,test_rmse,fil,a
TKN_PLS,test_rmse,unf,a
TKN_RF-PCA,test_rmse,comb,a
TKN_RF-PCA,test_rmse,fil,a
TKN_RF-PCA,test_rmse,unf,a
TKN_XGB-PCA,test_rmse,comb,a
TKN_XGB-PCA,test_rmse,fil,a
TKN_XGB-PCA,test_rmse,unf,a
TN_DL,test_rmse,comb,a
TN_DL,test_rmse,fil,ab
TN_DL,test_rmse,unf,b
TN_PLS,test_rmse,comb,a
TN_PLS,test_rmse,fil,a
TN_PLS,test_rmse,unf,a
TN_RF-PCA,test_rmse,comb,a
TN_RF-PCA,test_rmse,fil,a
TN_RF-PCA,test_rmse,unf,a
TN_XGB-PCA,test_rmse,comb,a
TN_XGB-PCA,test_rmse,fil,a
TN_XGB-PCA,test_rmse,unf,a
TP_DL,test_rmse,comb,a
TP_DL,test_rmse,fil,a
TP_DL,test_rmse,unf,a
TP_PLS,test_rmse,comb,a
TP_PLS,test_rmse,fil,a
TP_PLS,test_rmse,unf,a
TP_RF-PCA,test_rmse,comb,a
TP_RF-PCA,test_rmse,fil,a
TP_RF-PCA,test_rmse,unf,a
TP_XGB-PCA,test_rmse,comb,a
TP_XGB-PCA,test_rmse,fil,a
TP_XGB-PCA,test_rmse,unf,a
Ammonium-N_DL,test_rsq,comb,a
Ammonium-N_DL,test_rsq,fil,a
Ammonium-N_DL,test_rsq,unf,a
Ammonium-N_PLS,test_rsq,comb,a
Ammonium-N_PLS,test_rsq,fil,a
Ammonium-N_PLS,test_rsq,unf,a
Ammonium-N_RF-PCA,test_rsq,comb,a
Ammonium-N_RF-PCA,test_rsq,fil,a
Ammonium-N_RF-PCA,test_rsq,unf,a
Ammonium-N_XGB-PCA,test_rsq,comb,a
Ammonium-N_XGB-PCA,test_rsq,fil,a
Ammonium-N_XGB-PCA,test_rsq,unf,a
Nitrate-N_DL,test_rsq,comb,a
Nitrate-N_DL,test_rsq,fil,a
Nitrate-N_DL,test_rsq,unf,a
Nitrate-N_PLS,test_rsq,comb,a
Nitrate-N_PLS,test_rsq,fil,a
Nitrate-N_PLS,test_rsq,unf,a
Nitrate-N_RF-PCA,test_rsq,comb,a
Nitrate-N_RF-PCA,test_rsq,fil,a
Nitrate-N_RF-PCA,test_rsq,unf,a
Nitrate-N_XGB-PCA,test_rsq,comb,a
Nitrate-N_XGB-PCA,test_rsq,fil,a
Nitrate-N_XGB-PCA,test_rsq,unf,a
ON_DL,test_rsq,comb,a
ON_DL,test_rsq,fil,a
ON_DL,test_rsq,unf,a
ON_PLS,test_rsq,comb,a
ON_PLS,test_rsq,fil,a
ON_PLS,test_rsq,unf,a
ON_RF-PCA,test_rsq,comb,a
ON_RF-PCA,test_rsq,fil,a
ON_RF-PCA,test_rsq,unf,a
ON_XGB-PCA,test_rsq,comb,a
ON_XGB-PCA,test_rsq,fil,ab
ON_XGB-PCA,test_rsq,unf,b
OP_DL,test_rsq,comb,a
OP_DL,test_rsq,fil,b
OP_DL,test_rsq,unf,ab
OP_PLS,test_rsq,comb,a
OP_PLS,test_rsq,fil,a
OP_PLS,test_rsq,unf,a
OP_RF-PCA,test_rsq,comb,a
OP_RF-PCA,test_rsq,fil,a
OP_RF-PCA,test_rsq,unf,a
OP_XGB-PCA,test_rsq,comb,ab
OP_XGB-PCA,test_rsq,fil,b
OP_XGB-PCA,test_rsq,unf,a
Phosphate-P_DL,test_rsq,comb,ab
Phosphate-P_DL,test_rsq,fil,b
Phosphate-P_DL,test_rsq,unf,a
Phosphate-P_PLS,test_rsq,comb,a
Phosphate-P_PLS,test_rsq,fil,a
Phosphate-P_PLS,test_rsq,unf,a
Phosphate-P_RF-PCA,test_rsq,comb,a
Phosphate-P_RF-PCA,test_rsq,fil,b
Phosphate-P_RF-PCA,test_rsq,unf,a
Phosphate-P_XGB-PCA,test_rsq,comb,a
Phosphate-P_XGB-PCA,test_rsq,fil,a
Phosphate-P_XGB-PCA,test_rsq,unf,a
TKN_DL,test_rsq,comb,a
TKN_DL,test_rsq,fil,a
TKN_DL,test_rsq,unf,a
TKN_PLS,test_rsq,comb,a
TKN_PLS,test_rsq,fil,a
TKN_PLS,test_rsq,unf,a
TKN_RF-PCA,test_rsq,comb,a
TKN_RF-PCA,test_rsq,fil,ab
TKN_RF-PCA,test_rsq,unf,b
TKN_XGB-PCA,test_rsq,comb,a
TKN_XGB-PCA,test_rsq,fil,a
TKN_XGB-PCA,test_rsq,unf,a
TN_DL,test_rsq,comb,a
TN_DL,test_rsq,fil,a
TN_DL,test_rsq,unf,b
TN_PLS,test_rsq,comb,a
TN_PLS,test_rsq,fil,a
TN_PLS,test_rsq,unf,a
TN_RF-PCA,test_rsq,comb,a
TN_RF-PCA,test_rsq,fil,a
TN_RF-PCA,test_rsq,unf,a
TN_XGB-PCA,test_rsq,comb,a
