species_model,perf_met,factor_lev,letters
Ammonium-N_DL,test_rmse,False,a
Ammonium-N_DL,test_rmse,True,a
Ammonium-N_PLS,test_rmse,False,a
Ammonium-N_PLS,test_rmse,True,a
Ammonium-N_RF-PCA,test_rmse,False,a
Ammonium-N_RF-PCA,test_rmse,True,a
Ammonium-N_XGB-PCA,test_rmse,False,a
Ammonium-N_XGB-PCA,test_rmse,True,a
Nitrate-N_DL,test_rmse,False,a
Nitrate-N_DL,test_rmse,True,b
Nitrate-N_PLS,test_rmse,False,a
Nitrate-N_PLS,test_rmse,True,b
Nitrate-N_RF-PCA,test_rmse,False,a
Nitrate-N_RF-PCA,test_rmse,True,b
Nitrate-N_XGB-PCA,test_rmse,False,a
Nitrate-N_XGB-PCA,test_rmse,True,b
ON_DL,test_rmse,False,a
ON_DL,test_rmse,True,b
ON_PLS,test_rmse,False,a
ON_PLS,test_rmse,True,b
ON_RF-PCA,test_rmse,False,a
ON_RF-PCA,test_rmse,True,b
ON_XGB-PCA,test_rmse,False,a
ON_XGB-PCA,test_rmse,True,b
OP_DL,test_rmse,False,a
OP_DL,test_rmse,True,a
OP_PLS,test_rmse,False,a
OP_PLS,test_rmse,True,a
OP_RF-PCA,test_rmse,False,a
OP_RF-PCA,test_rmse,True,a
OP_XGB-PCA,test_rmse,False,a
OP_XGB-PCA,test_rmse,True,a
Phosphate-P_DL,test_rmse,False,a
Phosphate-P_DL,test_rmse,True,a
Phosphate-P_PLS,test_rmse,False,a
Phosphate-P_PLS,test_rmse,True,a
Phosphate-P_RF-PCA,test_rmse,False,a
Phosphate-P_RF-PCA,test_rmse,True,a
Phosphate-P_XGB-PCA,test_rmse,False,a
Phosphate-P_XGB-PCA,test_rmse,True,a
TKN_DL,test_rmse,False,a
TKN_DL,test_rmse,True,b
TKN_PLS,test_rmse,False,a
TKN_PLS,test_rmse,True,b
TKN_RF-PCA,test_rmse,False,a
TKN_RF-PCA,test_rmse,True,b
TKN_XGB-PCA,test_rmse,False,a
TKN_XGB-PCA,test_rmse,True,b
TN_DL,test_rmse,False,a
TN_DL,test_rmse,True,b
TN_PLS,test_rmse,False,a
TN_PLS,test_rmse,True,b
TN_RF-PCA,test_rmse,False,a
TN_RF-PCA,test_rmse,True,a
TN_XGB-PCA,test_rmse,False,a
TN_XGB-PCA,test_rmse,True,a
TP_DL,test_rmse,False,a
TP_DL,test_rmse,True,a
TP_PLS,test_rmse,False,a
TP_PLS,test_rmse,True,a
TP_RF-PCA,test_rmse,False,a
TP_RF-PCA,test_rmse,True,a
TP_XGB-PCA,test_rmse,False,a
TP_XGB-PCA,test_rmse,True,a
Ammonium-N_DL,test_rsq,False,a
Ammonium-N_DL,test_rsq,True,a
Ammonium-N_PLS,test_rsq,False,a
Ammonium-N_PLS,test_rsq,True,a
Ammonium-N_RF-PCA,test_rsq,False,a
Ammonium-N_RF-PCA,test_rsq,True,a
Ammonium-N_XGB-PCA,test_rsq,False,a
Ammonium-N_XGB-PCA,test_rsq,True,a
Nitrate-N_DL,test_rsq,False,a
Nitrate-N_DL,test_rsq,True,b
Nitrate-N_PLS,test_rsq,False,a
Nitrate-N_PLS,test_rsq,True,b
Nitrate-N_RF-PCA,test_rsq,False,a
Nitrate-N_RF-PCA,test_rsq,True,b
Nitrate-N_XGB-PCA,test_rsq,False,a
Nitrate-N_XGB-PCA,test_rsq,True,b
ON_DL,test_rsq,False,a
ON_DL,test_rsq,True,b
ON_PLS,test_rsq,False,a
ON_PLS,test_rsq,True,b
ON_RF-PCA,test_rsq,False,a
ON_RF-PCA,test_rsq,True,b
ON_XGB-PCA,test_rsq,False,a
ON_XGB-PCA,test_rsq,True,b
OP_DL,test_rsq,False,a
OP_DL,test_rsq,True,a
OP_PLS,test_rsq,False,a
OP_PLS,test_rsq,True,a
OP_RF-PCA,test_rsq,False,a
OP_RF-PCA,test_rsq,True,a
OP_XGB-PCA,test_rsq,False,a
OP_XGB-PCA,test_rsq,True,a
Phosphate-P_DL,test_rsq,False,a
Phosphate-P_DL,test_rsq,True,b
Phosphate-P_PLS,test_rsq,False,a
Phosphate-P_PLS,test_rsq,True,a
Phosphate-P_RF-PCA,test_rsq,False,a
Phosphate-P_RF-PCA,test_rsq,True,a
Phosphate-P_XGB-PCA,test_rsq,False,a
Phosphate-P_XGB-PCA,test_rsq,True,a
TKN_DL,test_rsq,False,a
TKN_DL,test_rsq,True,b
TKN_PLS,test_rsq,False,a
TKN_PLS,test_rsq,True,b
TKN_RF-PCA,test_rsq,False,a
TKN_RF-PCA,test_rsq,True,b
TKN_XGB-PCA,test_rsq,False,a
TKN_XGB-PCA,test_rsq,True,b
TN_DL,test_rsq,False,a
TN_DL,test_rsq,True,b
TN_PLS,test_rsq,False,a
TN_PLS,test_rsq,True,b
TN_RF-PCA,test_rsq,False,a
TN_RF-PCA,test_rsq,True,a
TN_XGB-PCA,test_rsq,False,a
TN_XGB-PCA,test_rsq,True,a
TP_DL,test_rsq,False,a
TP_DL,test_rsq,True,a
TP_PLS,test_rsq,False,a
TP_PLS,test_rsq,True,a
TP_RF-PCA,test_rsq,False,a
TP_RF-PCA,test_rsq,True,a
TP_XGB-PCA,test_rsq,False,a
TP_XGB-PCA,test_rsq,True,a
