model,perf_met,factor_lev,letters
All,test_rmse,Ammonium-N,a
All,test_rmse,Nitrate-N,b
All,test_rmse,ON,c
All,test_rmse,OP,d
All,test_rmse,Phosphate-P,e
All,test_rmse,TKN,f
All,test_rmse,TN,g
All,test_rmse,TP,e
DL,test_rmse,Ammonium-N,a
DL,test_rmse,Nitrate-N,b
DL,test_rmse,ON,b
DL,test_rmse,OP,c
DL,test_rmse,Phosphate-P,b
DL,test_rmse,TKN,b
DL,test_rmse,TN,d
DL,test_rmse,TP,b
PLS,test_rmse,Ammonium-N,a
PLS,test_rmse,Nitrate-N,b
PLS,test_rmse,ON,b
PLS,test_rmse,OP,c
PLS,test_rmse,Phosphate-P,d
PLS,test_rmse,TKN,b
PLS,test_rmse,TN,e
PLS,test_rmse,TP,d
RF-PCA,test_rmse,Ammonium-N,a
RF-PCA,test_rmse,Nitrate-N,b
RF-PCA,test_rmse,ON,c
RF-PCA,test_rmse,OP,d
RF-PCA,test_rmse,Phosphate-P,e
RF-PCA,test_rmse,TKN,c
RF-PCA,test_rmse,TN,f
RF-PCA,test_rmse,TP,e
XGB-PCA,test_rmse,Ammonium-N,a
XGB-PCA,test_rmse,Nitrate-N,b
XGB-PCA,test_rmse,ON,c
XGB-PCA,test_rmse,OP,d
XGB-PCA,test_rmse,Phosphate-P,e
XGB-PCA,test_rmse,TKN,c
XGB-PCA,test_rmse,TN,f
XGB-PCA,test_rmse,TP,e
All,test_rsq,Ammonium-N,a
All,test_rsq,Nitrate-N,b
All,test_rsq,ON,a
All,test_rsq,OP,c
All,test_rsq,Phosphate-P,d
All,test_rsq,TKN,d
All,test_rsq,TN,e
All,test_rsq,TP,d
DL,test_rsq,Ammonium-N,a
DL,test_rsq,Nitrate-N,b
DL,test_rsq,ON,c
DL,test_rsq,OP,a
DL,test_rsq,Phosphate-P,c
DL,test_rsq,TKN,c
DL,test_rsq,TN,d
DL,test_rsq,TP,c
PLS,test_rsq,Ammonium-N,ac
PLS,test_rsq,Nitrate-N,b
PLS,test_rsq,ON,cd
PLS,test_rsq,OP,d
PLS,test_rsq,Phosphate-P,ac
PLS,test_rsq,TKN,a
PLS,test_rsq,TN,e
PLS,test_rsq,TP,ac
RF-PCA,test_rsq,Ammonium-N,acd
RF-PCA,test_rsq,Nitrate-N,b
RF-PCA,test_rsq,ON,cd
RF-PCA,test_rsq,OP,d
RF-PCA,test_rsq,Phosphate-P,e
RF-PCA,test_rsq,TKN,ace
RF-PCA,test_rsq,TN,f
RF-PCA,test_rsq,TP,ae
XGB-PCA,test_rsq,Ammonium-N,ac
XGB-PCA,test_rsq,Nitrate-N,b
XGB-PCA,test_rsq,ON,ac
XGB-PCA,test_rsq,OP,c
XGB-PCA,test_rsq,Phosphate-P,d
XGB-PCA,test_rsq,TKN,ad
XGB-PCA,test_rsq,TN,e
XGB-PCA,test_rsq,TP,d
