species,perf_met,factor_lev,letters
Ammonium-N,test_rmse,DL,a
Ammonium-N,test_rmse,PLS,a
Ammonium-N,test_rmse,RF-PCA,a
Ammonium-N,test_rmse,XGB-PCA,a
Nitrate-N,test_rmse,DL,a
Nitrate-N,test_rmse,PLS,b
Nitrate-N,test_rmse,RF-PCA,c
Nitrate-N,test_rmse,XGB-PCA,c
ON,test_rmse,DL,a
ON,test_rmse,PLS,b
ON,test_rmse,RF-PCA,b
ON,test_rmse,XGB-PCA,b
OP,test_rmse,DL,a
OP,test_rmse,PLS,a
OP,test_rmse,RF-PCA,a
OP,test_rmse,XGB-PCA,a
Phosphate-P,test_rmse,DL,a
Phosphate-P,test_rmse,PLS,b
Phosphate-P,test_rmse,RF-PCA,a
Phosphate-P,test_rmse,XGB-PCA,a
TKN,test_rmse,DL,a
TKN,test_rmse,PLS,b
TKN,test_rmse,RF-PCA,b
TKN,test_rmse,XGB-PCA,b
TN,test_rmse,DL,a
TN,test_rmse,PLS,a
TN,test_rmse,RF-PCA,b
TN,test_rmse,XGB-PCA,b
TP,test_rmse,DL,a
TP,test_rmse,PLS,b
TP,test_rmse,RF-PCA,ab
TP,test_rmse,XGB-PCA,a
Ammonium-N,test_rsq,DL,a
Ammonium-N,test_rsq,PLS,ab
Ammonium-N,test_rsq,RF-PCA,b
Ammonium-N,test_rsq,XGB-PCA,ab
Nitrate-N,test_rsq,DL,a
Nitrate-N,test_rsq,PLS,b
Nitrate-N,test_rsq,RF-PCA,c
Nitrate-N,test_rsq,XGB-PCA,c
ON,test_rsq,DL,a
ON,test_rsq,PLS,a
ON,test_rsq,RF-PCA,a
ON,test_rsq,XGB-PCA,a
OP,test_rsq,DL,a
OP,test_rsq,PLS,ab
OP,test_rsq,RF-PCA,a
OP,test_rsq,XGB-PCA,b
Phosphate-P,test_rsq,DL,a
Phosphate-P,test_rsq,PLS,b
Phosphate-P,test_rsq,RF-PCA,a
Phosphate-P,test_rsq,XGB-PCA,a
TKN,test_rsq,DL,a
TKN,test_rsq,PLS,a
TKN,test_rsq,RF-PCA,a
TKN,test_rsq,XGB-PCA,a
TN,test_rsq,DL,a
TN,test_rsq,PLS,ab
TN,test_rsq,RF-PCA,b
TN,test_rsq,XGB-PCA,b
TP,test_rsq,DL,a
TP,test_rsq,PLS,b
TP,test_rsq,RF-PCA,a
TP,test_rsq,XGB-PCA,a
