output,species,iteration,value
y_hat_test,Ammonium-N,0,0.08632966792017593
y_hat_test,Ammonium-N,0,0.08271605042878954
y_hat_test,Ammonium-N,0,0.05660388720822111
y_hat_test,Ammonium-N,0,0.06579629749519474
y_hat_test,Ammonium-N,0,0.0908301826937757
y_hat_test,Ammonium-N,0,0.051575590686394154
y_hat_test,Ammonium-N,0,0.0616603492698847
y_hat_test,Ammonium-N,0,0.10549130646943372
y_hat_test,Ammonium-N,0,0.06156111054906749
y_hat_test,Ammonium-N,0,0.09395359346478305
y_hat_test,Ammonium-N,0,0.07953725621290066
y_hat_test,Ammonium-N,0,0.04319047203892374
y_hat_test,Ammonium-N,0,0.04684082731567461
y_hat_test,Ammonium-N,0,0.10351338547696987
y_hat_test,Ammonium-N,0,0.0783314360569251
y_hat_test,Ammonium-N,0,0.10466882541392418
y_hat_test,Ammonium-N,0,0.09704278640814823
y_hat_test,Ammonium-N,0,0.0936207057801561
y_hat_test,Ammonium-N,0,0.0815389585816179
y_hat_test,Ammonium-N,0,0.0668319943346138
y_hat_test,Ammonium-N,0,0.0742657994894683
y_hat_test,Ammonium-N,0,0.06789142565901896
y_hat_test,Ammonium-N,0,0.06896852033180642
y_hat_test,Ammonium-N,0,0.06982227585595312
y_hat_test,Ammonium-N,0,0.08396728174232389
y_hat_test,Ammonium-N,0,0.08100820370008616
y_hat_test,Ammonium-N,0,0.10932251062065876
y_hat_test,Ammonium-N,0,0.07766384347528847
y_hat_test,Ammonium-N,0,0.04539912930463899
y_hat_test,Ammonium-N,0,0.07262223757690119
y_hat_test,Ammonium-N,0,0.07169881889193447
y_hat_test,Ammonium-N,0,0.09623657217022619
y_hat_test,Ammonium-N,0,0.05674651419958656
y_hat_test,Ammonium-N,0,0.08318095640633591
y_hat_test,Ammonium-N,0,0.04828697780188233
y_hat_test,Ammonium-N,0,0.06425146009865956
y_hat_test,Ammonium-N,0,0.06990621935292038
y_hat_test,Ammonium-N,0,0.05085237243027945
y_hat_test,Ammonium-N,0,0.11149730616574516
y_hat_test,Ammonium-N,0,0.10109643869073523
y_hat_test,Ammonium-N,0,0.06576267409021196
y_hat_test,Ammonium-N,0,0.05919706290870799
y_hat_test,Ammonium-N,0,0.07105276433816991
y_hat_test,Ammonium-N,0,0.1133621267470598
y_hat_test,Ammonium-N,0,0.06743961954367036
y_hat_test,Ammonium-N,0,0.09768338296594588
y_hat_train,Ammonium-N,0,0.08189776068433632
y_hat_train,Ammonium-N,0,0.04649521293934776
y_hat_train,Ammonium-N,0,0.04850275167784729
y_hat_train,Ammonium-N,0,0.0738778887485838
y_hat_train,Ammonium-N,0,0.060048380733805515
y_hat_train,Ammonium-N,0,0.05277182553224647
y_hat_train,Ammonium-N,0,0.054656828166070204
y_hat_train,Ammonium-N,0,0.06460935105119864
y_hat_train,Ammonium-N,0,0.08895667819875967
y_hat_train,Ammonium-N,0,0.07122115493063522
y_hat_train,Ammonium-N,0,0.051900120839879334
y_hat_train,Ammonium-N,0,0.061441180915233526
y_hat_train,Ammonium-N,0,0.09528564590526742
y_hat_train,Ammonium-N,0,0.0613824040412289
y_hat_train,Ammonium-N,0,0.09849724080954267
y_hat_train,Ammonium-N,0,0.07930643129502533
y_hat_train,Ammonium-N,0,0.0472872427768548
y_hat_train,Ammonium-N,0,0.07312428637388367
y_hat_train,Ammonium-N,0,0.09045897879495979
y_hat_train,Ammonium-N,0,0.08347840904247145
y_hat_train,Ammonium-N,0,0.11716568951375336
y_hat_train,Ammonium-N,0,0.07173297529148995
y_hat_train,Ammonium-N,0,0.0933734450403485
y_hat_train,Ammonium-N,0,0.07005683670023444
y_hat_train,Ammonium-N,0,0.07873032122008136
y_hat_train,Ammonium-N,0,0.06621659827567476
y_hat_train,Ammonium-N,0,0.026428244425861114
y_hat_train,Ammonium-N,0,0.03680619381131769
y_hat_train,Ammonium-N,0,0.09114323693123251
y_hat_train,Ammonium-N,0,0.10017460930422996
y_hat_train,Ammonium-N,0,0.07793410501228001
y_hat_train,Ammonium-N,0,0.07068845591840678
y_hat_train,Ammonium-N,0,0.09985343656339965
y_hat_train,Ammonium-N,0,0.12170734900617343
y_hat_train,Ammonium-N,0,0.044513441950233976
y_hat_train,Ammonium-N,0,0.0828798807487627
y_hat_train,Ammonium-N,0,0.07475940324314656
y_hat_train,Ammonium-N,0,0.02728037946348446
y_hat_train,Ammonium-N,0,0.07815885805688738
y_hat_train,Ammonium-N,0,0.061419593812472986
y_hat_train,Ammonium-N,0,0.07735499622321176
y_hat_train,Ammonium-N,0,0.06615930601650381
y_hat_train,Ammonium-N,0,0.05011759711526964
y_hat_train,Ammonium-N,0,0.07735737225423747
y_hat_train,Ammonium-N,0,0.052983435663838355
y_hat_train,Ammonium-N,0,0.07406555151483074
y_hat_train,Ammonium-N,0,0.08408232872315854
y_hat_train,Ammonium-N,0,0.09379720477712136
y_hat_train,Ammonium-N,0,0.08116426593884954
y_hat_train,Ammonium-N,0,0.07018986602986008
y_hat_train,Ammonium-N,0,0.09556620783576171
y_hat_train,Ammonium-N,0,0.09432872212268295
y_hat_train,Ammonium-N,0,0.06827014670117429
y_hat_train,Ammonium-N,0,0.04917378637076367
y_hat_train,Ammonium-N,0,0.058301680549600804
y_hat_train,Ammonium-N,0,0.09226324768488259
y_hat_train,Ammonium-N,0,0.1051240038756463
y_hat_train,Ammonium-N,0,0.06468131652960374
y_hat_train,Ammonium-N,0,0.07686552473711215
y_hat_train,Ammonium-N,0,0.08793089016787874
y_hat_train,Ammonium-N,0,0.0806366905404149
y_hat_train,Ammonium-N,0,0.0891435257648641
y_hat_train,Ammonium-N,0,0.09267827882534999
y_hat_train,Ammonium-N,0,0.05755788523296365
y_hat_train,Ammonium-N,0,0.11127930467743911
y_hat_train,Ammonium-N,0,0.06559641286335277
y_hat_train,Ammonium-N,0,0.08351283137803787
y_hat_train,Ammonium-N,0,0.07688114294385881
y_hat_train,Ammonium-N,0,0.07372389505807482
y_hat_train,Ammonium-N,0,0.08615907282905282
y_hat_train,Ammonium-N,0,0.10263718777327788
y_hat_train,Ammonium-N,0,0.07170413299631431
y_hat_train,Ammonium-N,0,0.0774831878474775
y_hat_train,Ammonium-N,0,0.06608409564004565
y_hat_train,Ammonium-N,0,0.03683167298189255
y_hat_train,Ammonium-N,0,0.0795308398187002
y_hat_train,Ammonium-N,0,0.0617575185950711
y_hat_train,Ammonium-N,0,0.08920563505374825
y_hat_train,Ammonium-N,0,0.08645718568765115
y_hat_train,Ammonium-N,0,0.07032425457942795
y_hat_train,Ammonium-N,0,0.07684628113009559
y_hat_train,Ammonium-N,0,0.06908645547205035
y_hat_train,Ammonium-N,0,0.0240402634160269
y_hat_train,Ammonium-N,0,0.0645624140127199
y_hat_train,Ammonium-N,0,0.07791958781110825
y_hat_train,Ammonium-N,0,0.06726687624783038
y_hat_train,Ammonium-N,0,0.09253934010649884
y_hat_train,Ammonium-N,0,0.08523116438684805
y_hat_train,Ammonium-N,0,0.08610782042174395
y_hat_train,Ammonium-N,0,0.03276175063655906
y_hat_train,Ammonium-N,0,0.07628455151640427
y_hat_train,Ammonium-N,0,0.08943624490748792
y_hat_train,Ammonium-N,0,0.06345659389018288
y_hat_train,Ammonium-N,0,0.08639749563153451
y_hat_train,Ammonium-N,0,0.051024107971250995
y_hat_train,Ammonium-N,0,0.09955409757652586
y_hat_train,Ammonium-N,0,0.06308789548094881
y_hat_train,Ammonium-N,0,0.10365839550688909
y_hat_train,Ammonium-N,0,0.09966034479884625
y_hat_train,Ammonium-N,0,0.05470652295427309
y_hat_train,Ammonium-N,0,0.0969833099935263
y_hat_train,Ammonium-N,0,0.0675676583826391
y_hat_train,Ammonium-N,0,0.0844760021151445
y_hat_train,Ammonium-N,0,0.07591047067228489
y_hat_train,Ammonium-N,0,0.09495723729492815
y_true_train,Ammonium-N,0,0.042033333
y_true_train,Ammonium-N,0,0.030166667
y_true_train,Ammonium-N,0,0.0301
y_true_train,Ammonium-N,0,0.042333333
y_true_train,Ammonium-N,0,0.022549305
y_true_train,Ammonium-N,0,0.011766667
y_true_train,Ammonium-N,0,0.103817696
y_true_train,Ammonium-N,0,0.174233333
y_true_train,Ammonium-N,0,0.0191
y_true_train,Ammonium-N,0,0.130166667
y_true_train,Ammonium-N,0,0.007433333
y_true_train,Ammonium-N,0,0.0142
y_true_train,Ammonium-N,0,0.104686248
y_true_train,Ammonium-N,0,0.013633333
y_true_train,Ammonium-N,0,0.004291076
y_true_train,Ammonium-N,0,0.0393
y_true_train,Ammonium-N,0,0.0067
y_true_train,Ammonium-N,0,0.0491
y_true_train,Ammonium-N,0,0.089046085
y_true_train,Ammonium-N,0,0.08343562
y_true_train,Ammonium-N,0,0.007166791
y_true_train,Ammonium-N,0,0.0046
y_true_train,Ammonium-N,0,0.020533333
y_true_train,Ammonium-N,0,0.3012
y_true_train,Ammonium-N,0,0.0249
y_true_train,Ammonium-N,0,0.044866667
y_true_train,Ammonium-N,0,0.0164
y_true_train,Ammonium-N,0,0.013033333
y_true_train,Ammonium-N,0,0.008786351
y_true_train,Ammonium-N,0,0.2686
y_true_train,Ammonium-N,0,0.033733333
y_true_train,Ammonium-N,0,0.050533333
y_true_train,Ammonium-N,0,0.7161
y_true_train,Ammonium-N,0,0.004
y_true_train,Ammonium-N,0,0.0255
y_true_train,Ammonium-N,0,0.036566667
y_true_train,Ammonium-N,0,0.298466667
y_true_train,Ammonium-N,0,0.0189
y_true_train,Ammonium-N,0,0.012433333
y_true_train,Ammonium-N,0,0.018033333
y_true_train,Ammonium-N,0,0.110066667
y_true_train,Ammonium-N,0,0.03337575
y_true_train,Ammonium-N,0,0.2993
y_true_train,Ammonium-N,0,0.022166667
y_true_train,Ammonium-N,0,0.019933333
y_true_train,Ammonium-N,0,0.110989659
y_true_train,Ammonium-N,0,0.067433333
y_true_train,Ammonium-N,0,0.262866667
y_true_train,Ammonium-N,0,0.027433333
y_true_train,Ammonium-N,0,0.026266667
y_true_train,Ammonium-N,0,0.016837803
y_true_train,Ammonium-N,0,0.217466667
y_true_train,Ammonium-N,0,0.1658
y_true_train,Ammonium-N,0,0.006266667
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.289433333
y_true_train,Ammonium-N,0,0.0175
y_true_train,Ammonium-N,0,0.008033333
y_true_train,Ammonium-N,0,0.0064
y_true_train,Ammonium-N,0,0.332333333
y_true_train,Ammonium-N,0,0.049
y_true_train,Ammonium-N,0,0.067166667
y_true_train,Ammonium-N,0,0.099783572
y_true_train,Ammonium-N,0,0.023441081
y_true_train,Ammonium-N,0,0.017558316
y_true_train,Ammonium-N,0,0.0216
y_true_train,Ammonium-N,0,0.101468935
y_true_train,Ammonium-N,0,0.034066667
y_true_train,Ammonium-N,0,0.0149
y_true_train,Ammonium-N,0,0.014438093
y_true_train,Ammonium-N,0,0.122533333
