output,species,iteration,value
y_hat_test,Ammonium-N,0,0.04988390633215082
y_hat_test,Ammonium-N,0,0.08534183561547774
y_hat_test,Ammonium-N,0,0.02672693221680982
y_hat_test,Ammonium-N,0,0.046309893316992985
y_hat_test,Ammonium-N,0,0.048028460596285065
y_hat_test,Ammonium-N,0,0.026932793555846563
y_hat_test,Ammonium-N,0,0.03043498570336882
y_hat_test,Ammonium-N,0,0.029249829229815064
y_hat_test,Ammonium-N,0,0.07993894499632687
y_hat_test,Ammonium-N,0,0.03209332753512519
y_hat_test,Ammonium-N,0,0.04517484464282867
y_hat_test,Ammonium-N,0,0.0927529843031058
y_hat_test,Ammonium-N,0,0.04006011543447098
y_hat_test,Ammonium-N,0,0.02537455668015029
y_hat_test,Ammonium-N,0,0.06789797362832098
y_hat_train,Ammonium-N,0,0.03902060382543886
y_hat_train,Ammonium-N,0,0.03133772028873244
y_hat_train,Ammonium-N,0,0.02560233688104534
y_hat_train,Ammonium-N,0,0.04311262080920275
y_hat_train,Ammonium-N,0,0.04601115113342327
y_hat_train,Ammonium-N,0,0.032087395881030004
y_hat_train,Ammonium-N,0,0.03962886464612009
y_hat_train,Ammonium-N,0,0.025495832625190742
y_hat_train,Ammonium-N,0,0.026980274416245238
y_hat_train,Ammonium-N,0,0.03738725796991962
y_hat_train,Ammonium-N,0,0.023040957992718467
y_hat_train,Ammonium-N,0,0.022386772984818382
y_hat_train,Ammonium-N,0,0.02375514566532687
y_hat_train,Ammonium-N,0,0.031120469441682216
y_hat_train,Ammonium-N,0,0.02797926695518984
y_hat_train,Ammonium-N,0,0.05066536576976574
y_hat_train,Ammonium-N,0,0.03563182697955153
y_hat_train,Ammonium-N,0,0.03173008802176184
y_hat_train,Ammonium-N,0,0.031159284860396996
y_hat_train,Ammonium-N,0,0.02824667623513184
y_hat_train,Ammonium-N,0,0.08552141458372206
y_hat_train,Ammonium-N,0,0.029531963936350592
y_hat_train,Ammonium-N,0,0.032296865163400995
