output,species,iteration,value
y_hat_test,Nitrate-N,0,1.625759537282994
y_hat_test,Nitrate-N,0,2.20136658333962
y_hat_test,Nitrate-N,0,1.6470112997962667
y_hat_test,Nitrate-N,0,2.161018357027475
y_hat_test,Nitrate-N,0,3.5602075298201923
y_hat_test,Nitrate-N,0,0.840469623883783
y_hat_test,Nitrate-N,0,2.8500757225180497
y_hat_test,Nitrate-N,0,1.678609504481401
y_hat_train,Nitrate-N,0,5.167253850940892
y_hat_train,Nitrate-N,0,3.4495831328390363
y_hat_train,Nitrate-N,0,3.1767899665111017
y_hat_train,Nitrate-N,0,1.6875007659632602
y_hat_train,Nitrate-N,0,3.103560023301011
y_hat_train,Nitrate-N,0,2.302053519772066
y_hat_train,Nitrate-N,0,2.610965583689138
y_hat_train,Nitrate-N,0,1.1493905114576537
y_hat_train,Nitrate-N,0,2.5173709914178772
y_hat_train,Nitrate-N,0,3.4560127891552765
y_hat_train,Nitrate-N,0,2.2806338201664893
y_hat_train,Nitrate-N,0,1.4207676406362622
y_hat_train,Nitrate-N,0,3.501436476442925
y_hat_train,Nitrate-N,0,4.183849990675751
y_hat_train,Nitrate-N,0,2.8094278752810204
y_hat_train,Nitrate-N,0,2.863642501750248
y_true_train,Nitrate-N,0,5.165333333
y_true_train,Nitrate-N,0,3.455
y_true_train,Nitrate-N,0,3.177604111
y_true_train,Nitrate-N,0,1.687
y_true_train,Nitrate-N,0,3.105
y_true_train,Nitrate-N,0,2.300666667
y_true_train,Nitrate-N,0,2.611691805
y_true_train,Nitrate-N,0,1.146333333
y_true_train,Nitrate-N,0,2.524276858
y_true_train,Nitrate-N,0,3.455
y_true_train,Nitrate-N,0,2.28
y_true_train,Nitrate-N,0,1.42
y_true_train,Nitrate-N,0,3.498
y_true_train,Nitrate-N,0,4.182333333
y_true_train,Nitrate-N,0,2.810666667
y_true_train,Nitrate-N,0,2.861333333
y_true_test,Nitrate-N,0,1.965431456
y_true_test,Nitrate-N,0,2.539583346
y_true_test,Nitrate-N,0,1.549666667
y_true_test,Nitrate-N,0,2.243
y_true_test,Nitrate-N,0,3.665666667
y_true_test,Nitrate-N,0,1.501333333
y_true_test,Nitrate-N,0,2.544333333
y_true_test,Nitrate-N,0,2.438333333
test_ind,Nitrate-N,0,194.0
test_ind,Nitrate-N,0,193.0
test_ind,Nitrate-N,0,378.0
test_ind,Nitrate-N,0,265.0
test_ind,Nitrate-N,0,353.0
test_ind,Nitrate-N,0,20.0
test_ind,Nitrate-N,0,249.0
test_ind,Nitrate-N,0,389.0
train_ind,Nitrate-N,0,295.0
train_ind,Nitrate-N,0,191.0
train_ind,Nitrate-N,0,188.0
train_ind,Nitrate-N,0,311.0
train_ind,Nitrate-N,0,67.0
train_ind,Nitrate-N,0,41.0
train_ind,Nitrate-N,0,187.0
train_ind,Nitrate-N,0,320.0
train_ind,Nitrate-N,0,192.0
train_ind,Nitrate-N,0,190.0
train_ind,Nitrate-N,0,343.0
train_ind,Nitrate-N,0,55.0
train_ind,Nitrate-N,0,6.0
train_ind,Nitrate-N,0,365.0
train_ind,Nitrate-N,0,284.0
train_ind,Nitrate-N,0,232.0
test_rsq,Nitrate-N,0,0.5886452993674489
train_rsq,Nitrate-N,0,0.9999923799372451
test_rmse,Nitrate-N,0,0.4129899717663846
train_rmse,Nitrate-N,0,0.002721434469864015
test_mape,Nitrate-N,0,16.32578310487391
train_mape,Nitrate-N,0,0.08090352316339078
n_comp,Nitrate-N,0,12.0
y_hat_test,Nitrate-N,1,2.7021121565880066
y_hat_test,Nitrate-N,1,1.7129706609808562
y_hat_test,Nitrate-N,1,2.3481199164078435
y_hat_test,Nitrate-N,1,2.324845130537477
y_hat_test,Nitrate-N,1,3.3637738985116314
y_hat_test,Nitrate-N,1,1.8001624872515833
y_hat_test,Nitrate-N,1,2.827547026170492
y_hat_test,Nitrate-N,1,3.263247296460676
y_hat_train,Nitrate-N,1,2.115800215354753
y_hat_train,Nitrate-N,1,2.6076777147535144
y_hat_train,Nitrate-N,1,3.1322616570188857
y_hat_train,Nitrate-N,1,3.3014972116020824
y_hat_train,Nitrate-N,1,3.960405077277249
y_hat_train,Nitrate-N,1,1.2512826170473903
y_hat_train,Nitrate-N,1,4.828012093768796
y_hat_train,Nitrate-N,1,3.4198044075467844
y_hat_train,Nitrate-N,1,3.5711959307362835
y_hat_train,Nitrate-N,1,2.0085241662701883
y_hat_train,Nitrate-N,1,1.845416045036256
y_hat_train,Nitrate-N,1,2.6066607551569128
y_hat_train,Nitrate-N,1,3.2714220461538353
y_hat_train,Nitrate-N,1,3.050514440249733
y_hat_train,Nitrate-N,1,1.9372073070746323
y_hat_train,Nitrate-N,1,2.8689892109527086
y_true_train,Nitrate-N,1,2.300666667
y_true_train,Nitrate-N,1,2.28
y_true_train,Nitrate-N,1,3.177604111
y_true_train,Nitrate-N,1,3.455
y_true_train,Nitrate-N,1,4.182333333
y_true_train,Nitrate-N,1,1.501333333
y_true_train,Nitrate-N,1,5.165333333
y_true_train,Nitrate-N,1,3.498
y_true_train,Nitrate-N,1,2.810666667
y_true_train,Nitrate-N,1,2.438333333
y_true_train,Nitrate-N,1,1.549666667
y_true_train,Nitrate-N,1,2.524276858
y_true_train,Nitrate-N,1,3.455
y_true_train,Nitrate-N,1,2.861333333
y_true_train,Nitrate-N,1,1.965431456
y_true_train,Nitrate-N,1,2.611691805
y_true_test,Nitrate-N,1,2.544333333
y_true_test,Nitrate-N,1,1.146333333
y_true_test,Nitrate-N,1,1.42
y_true_test,Nitrate-N,1,2.243
y_true_test,Nitrate-N,1,3.665666667
y_true_test,Nitrate-N,1,1.687
y_true_test,Nitrate-N,1,2.539583346
y_true_test,Nitrate-N,1,3.105
test_ind,Nitrate-N,1,249.0
test_ind,Nitrate-N,1,320.0
test_ind,Nitrate-N,1,55.0
test_ind,Nitrate-N,1,265.0
test_ind,Nitrate-N,1,353.0
test_ind,Nitrate-N,1,311.0
test_ind,Nitrate-N,1,193.0
test_ind,Nitrate-N,1,67.0
train_ind,Nitrate-N,1,41.0
train_ind,Nitrate-N,1,343.0
train_ind,Nitrate-N,1,188.0
train_ind,Nitrate-N,1,190.0
train_ind,Nitrate-N,1,365.0
train_ind,Nitrate-N,1,20.0
train_ind,Nitrate-N,1,295.0
train_ind,Nitrate-N,1,6.0
train_ind,Nitrate-N,1,284.0
train_ind,Nitrate-N,1,389.0
train_ind,Nitrate-N,1,378.0
train_ind,Nitrate-N,1,192.0
train_ind,Nitrate-N,1,191.0
train_ind,Nitrate-N,1,232.0
train_ind,Nitrate-N,1,194.0
train_ind,Nitrate-N,1,187.0
test_rsq,Nitrate-N,1,0.7211727557739145
train_rsq,Nitrate-N,1,0.8979396560892801
test_rmse,Nitrate-N,1,0.42219478670701893
train_rmse,Nitrate-N,1,0.29503489309699155
test_mape,Nitrate-N,1,19.502526706818823
train_mape,Nitrate-N,1,9.328222567651714
n_comp,Nitrate-N,1,5.0
y_hat_test,Nitrate-N,2,3.9151828989979336
y_hat_test,Nitrate-N,2,2.4517118878979636
y_hat_test,Nitrate-N,2,2.11584893526795
y_hat_test,Nitrate-N,2,1.3035948324503246
y_hat_test,Nitrate-N,2,2.4935049231708533
y_hat_test,Nitrate-N,2,3.558704824504349
y_hat_test,Nitrate-N,2,2.4477095797426123
y_hat_test,Nitrate-N,2,3.712428730223004
y_hat_train,Nitrate-N,2,2.5872805661234572
y_hat_train,Nitrate-N,2,3.0900228277500514
y_hat_train,Nitrate-N,2,2.4906059515029737
y_hat_train,Nitrate-N,2,2.5930995972121664
y_hat_train,Nitrate-N,2,1.6383033630243573
y_hat_train,Nitrate-N,2,1.4785261131875767
y_hat_train,Nitrate-N,2,2.452180784759286
y_hat_train,Nitrate-N,2,3.4121663830590605
y_hat_train,Nitrate-N,2,3.6806578752245036
y_hat_train,Nitrate-N,2,2.12868310756747
y_hat_train,Nitrate-N,2,1.240688228765432
y_hat_train,Nitrate-N,2,2.039340882116483
y_hat_train,Nitrate-N,2,2.3314053346062518
y_hat_train,Nitrate-N,2,2.5408652423165434
y_hat_train,Nitrate-N,2,2.8314008278643903
y_hat_train,Nitrate-N,2,3.4950897129199983
y_true_train,Nitrate-N,2,2.524276858
y_true_train,Nitrate-N,2,3.105
y_true_train,Nitrate-N,2,2.539583346
y_true_train,Nitrate-N,2,2.611691805
y_true_train,Nitrate-N,2,1.687
y_true_train,Nitrate-N,2,1.501333333
y_true_train,Nitrate-N,2,2.300666667
y_true_train,Nitrate-N,2,3.455
y_true_train,Nitrate-N,2,3.665666667
y_true_train,Nitrate-N,2,2.28
y_true_train,Nitrate-N,2,1.146333333
y_true_train,Nitrate-N,2,1.965431456
y_true_train,Nitrate-N,2,2.438333333
y_true_train,Nitrate-N,2,2.544333333
y_true_train,Nitrate-N,2,2.810666667
y_true_train,Nitrate-N,2,3.455
y_true_test,Nitrate-N,2,4.182333333
y_true_test,Nitrate-N,2,3.498
y_true_test,Nitrate-N,2,1.549666667
y_true_test,Nitrate-N,2,3.177604111
y_true_test,Nitrate-N,2,2.243
y_true_test,Nitrate-N,2,5.165333333
y_true_test,Nitrate-N,2,1.42
y_true_test,Nitrate-N,2,2.861333333
test_ind,Nitrate-N,2,365.0
test_ind,Nitrate-N,2,6.0
test_ind,Nitrate-N,2,378.0
test_ind,Nitrate-N,2,188.0
test_ind,Nitrate-N,2,265.0
test_ind,Nitrate-N,2,295.0
test_ind,Nitrate-N,2,55.0
test_ind,Nitrate-N,2,232.0
train_ind,Nitrate-N,2,192.0
train_ind,Nitrate-N,2,67.0
train_ind,Nitrate-N,2,193.0
train_ind,Nitrate-N,2,187.0
train_ind,Nitrate-N,2,311.0
train_ind,Nitrate-N,2,20.0
train_ind,Nitrate-N,2,41.0
train_ind,Nitrate-N,2,190.0
train_ind,Nitrate-N,2,353.0
train_ind,Nitrate-N,2,343.0
train_ind,Nitrate-N,2,320.0
train_ind,Nitrate-N,2,194.0
train_ind,Nitrate-N,2,389.0
train_ind,Nitrate-N,2,249.0
train_ind,Nitrate-N,2,284.0
train_ind,Nitrate-N,2,191.0
test_rsq,Nitrate-N,2,0.1846459518335023
train_rsq,Nitrate-N,2,0.9886338603426141
test_rmse,Nitrate-N,2,1.085306381927332
