output,species,iteration,value
y_hat_test,Nitrate-N,0,2.8827549515091473
y_hat_test,Nitrate-N,0,0.47051709905103656
y_hat_test,Nitrate-N,0,-0.1075020973155234
y_hat_test,Nitrate-N,0,2.242027702692871
y_hat_test,Nitrate-N,0,0.5369607622524305
y_hat_test,Nitrate-N,0,-0.2697350247072168
y_hat_test,Nitrate-N,0,0.29585274607260836
y_hat_test,Nitrate-N,0,-0.26309674116769455
y_hat_test,Nitrate-N,0,3.5398546116401177
y_hat_test,Nitrate-N,0,-0.18753349905137506
y_hat_test,Nitrate-N,0,4.101685604661436
y_hat_test,Nitrate-N,0,4.8977808460571275
y_hat_test,Nitrate-N,0,3.514735037049025
y_hat_test,Nitrate-N,0,-0.5170629899703802
y_hat_test,Nitrate-N,0,0.0887239317517512
y_hat_train,Nitrate-N,0,1.4199462806460257
y_hat_train,Nitrate-N,0,0.11531633856392642
y_hat_train,Nitrate-N,0,0.20594764696606327
y_hat_train,Nitrate-N,0,0.21845519529896906
y_hat_train,Nitrate-N,0,0.09088328344563568
y_hat_train,Nitrate-N,0,0.3366561778352726
y_hat_train,Nitrate-N,0,2.242897707287483
y_hat_train,Nitrate-N,0,0.14307312778773018
y_hat_train,Nitrate-N,0,0.2734453453595518
y_hat_train,Nitrate-N,0,0.13880523846398085
y_hat_train,Nitrate-N,0,3.1773712502702365
y_hat_train,Nitrate-N,0,3.6652319453556057
y_hat_train,Nitrate-N,0,3.1052279058500103
y_hat_train,Nitrate-N,0,0.11117755373750748
y_hat_train,Nitrate-N,0,1.9656582011845374
y_hat_train,Nitrate-N,0,2.3005364430344875
y_hat_train,Nitrate-N,0,0.2722289131670772
y_hat_train,Nitrate-N,0,0.23412524885133723
y_hat_train,Nitrate-N,0,2.43829678688876
y_hat_train,Nitrate-N,0,3.497221778796189
y_hat_train,Nitrate-N,0,0.08175018079821461
y_hat_train,Nitrate-N,0,0.1523324309473626
y_hat_train,Nitrate-N,0,2.53983089777817
y_hat_train,Nitrate-N,0,0.14041624299096234
y_hat_train,Nitrate-N,0,2.524969196970517
y_hat_train,Nitrate-N,0,1.6869944299067559
y_hat_train,Nitrate-N,0,3.454625089526201
y_hat_train,Nitrate-N,0,2.6117313121697916
y_hat_train,Nitrate-N,0,0.14069592448931023
y_hat_train,Nitrate-N,0,1.1466360545926386
y_hat_train,Nitrate-N,0,0.15599720872644918
y_hat_train,Nitrate-N,0,1.5014396465286166
y_hat_train,Nitrate-N,0,0.2880002369795902
y_hat_train,Nitrate-N,0,1.5491524833563535
y_hat_train,Nitrate-N,0,4.183218352448676
y_true_train,Nitrate-N,0,1.42
y_true_train,Nitrate-N,0,0.113333333
y_true_train,Nitrate-N,0,0.206
y_true_train,Nitrate-N,0,0.219
y_true_train,Nitrate-N,0,0.090666667
y_true_train,Nitrate-N,0,0.336795488
y_true_train,Nitrate-N,0,2.243
y_true_train,Nitrate-N,0,0.142333333
y_true_train,Nitrate-N,0,0.273394835
y_true_train,Nitrate-N,0,0.138666667
y_true_train,Nitrate-N,0,3.177604111
y_true_train,Nitrate-N,0,3.665666667
y_true_train,Nitrate-N,0,3.105
y_true_train,Nitrate-N,0,0.113333333
y_true_train,Nitrate-N,0,1.965431456
y_true_train,Nitrate-N,0,2.300666667
y_true_train,Nitrate-N,0,0.272591332
y_true_train,Nitrate-N,0,0.233666667
y_true_train,Nitrate-N,0,2.438333333
y_true_train,Nitrate-N,0,3.498
y_true_train,Nitrate-N,0,0.08225616
y_true_train,Nitrate-N,0,0.152333333
y_true_train,Nitrate-N,0,2.539583346
y_true_train,Nitrate-N,0,0.141333333
y_true_train,Nitrate-N,0,2.524276858
y_true_train,Nitrate-N,0,1.687
y_true_train,Nitrate-N,0,3.455
y_true_train,Nitrate-N,0,2.611691805
y_true_train,Nitrate-N,0,0.140333333
y_true_train,Nitrate-N,0,1.146333333
y_true_train,Nitrate-N,0,0.155666667
y_true_train,Nitrate-N,0,1.501333333
y_true_train,Nitrate-N,0,0.287666667
y_true_train,Nitrate-N,0,1.549666667
y_true_train,Nitrate-N,0,4.182333333
y_true_test,Nitrate-N,0,2.544333333
y_true_test,Nitrate-N,0,0.294984357
