output,species,iteration,value
y_hat_test,Nitrate-N,0,2.7064741921612234
y_hat_test,Nitrate-N,0,0.21622398739651594
y_hat_test,Nitrate-N,0,2.955571866168433
y_hat_test,Nitrate-N,0,0.41586639581020046
y_hat_test,Nitrate-N,0,2.4021951847057803
y_hat_test,Nitrate-N,0,-0.7462675026465688
y_hat_test,Nitrate-N,0,1.760934578890486
y_hat_test,Nitrate-N,0,0.01114062831103979
y_hat_test,Nitrate-N,0,3.7879480590303856
y_hat_test,Nitrate-N,0,-2.4369440490553322
y_hat_test,Nitrate-N,0,4.355628847574143
y_hat_test,Nitrate-N,0,6.366244695090006
y_hat_test,Nitrate-N,0,1.9917352703171736
y_hat_test,Nitrate-N,0,-2.1617746779149063
y_hat_test,Nitrate-N,0,1.192069059667841
y_hat_train,Nitrate-N,0,2.1897885533550414
y_hat_train,Nitrate-N,0,0.2137772245033962
y_hat_train,Nitrate-N,0,0.011765979551351169
y_hat_train,Nitrate-N,0,0.22393902466125226
y_hat_train,Nitrate-N,0,0.23668028393441043
y_hat_train,Nitrate-N,0,1.4047978961725933
y_hat_train,Nitrate-N,0,2.615320781187499
y_hat_train,Nitrate-N,0,-0.343718644245429
y_hat_train,Nitrate-N,0,0.8865606581640035
y_hat_train,Nitrate-N,0,0.9140812824984987
y_hat_train,Nitrate-N,0,2.4217970417424377
y_hat_train,Nitrate-N,0,4.353107983791436
y_hat_train,Nitrate-N,0,4.221456444376551
y_hat_train,Nitrate-N,0,0.5673430035819012
y_hat_train,Nitrate-N,0,1.8520747845611023
y_hat_train,Nitrate-N,0,1.616191115206278
y_hat_train,Nitrate-N,0,-0.40063857153351057
y_hat_train,Nitrate-N,0,0.7882204464578653
y_hat_train,Nitrate-N,0,2.110856634519661
y_hat_train,Nitrate-N,0,3.7624302340366924
y_hat_train,Nitrate-N,0,0.006169039490562689
y_hat_train,Nitrate-N,0,0.45901061535897725
y_hat_train,Nitrate-N,0,2.452320953574912
y_hat_train,Nitrate-N,0,0.3722283693658306
y_hat_train,Nitrate-N,0,2.1030471577535996
y_hat_train,Nitrate-N,0,2.336369227733842
y_hat_train,Nitrate-N,0,3.553563075715324
y_hat_train,Nitrate-N,0,2.900484108998324
y_hat_train,Nitrate-N,0,0.17440996439787249
y_hat_train,Nitrate-N,0,0.09468608449707716
y_hat_train,Nitrate-N,0,0.4715473325041244
y_hat_train,Nitrate-N,0,1.565729047885685
y_hat_train,Nitrate-N,0,0.6609949854732089
y_hat_train,Nitrate-N,0,-0.4853559861149468
y_hat_train,Nitrate-N,0,3.8181005464211037
y_hat_train,Nitrate-N,0,3.4898783645138614
y_hat_train,Nitrate-N,0,3.2060337006846678
y_hat_train,Nitrate-N,0,2.2689122310029086
y_hat_train,Nitrate-N,0,8.999435224404145
y_hat_train,Nitrate-N,0,3.9802366799040643
y_hat_train,Nitrate-N,0,-0.24098676263638064
y_hat_train,Nitrate-N,0,1.3601309227345837
y_hat_train,Nitrate-N,0,7.326111362283272
y_hat_train,Nitrate-N,0,-0.2924614237647378
y_hat_train,Nitrate-N,0,9.42237909514279
y_hat_train,Nitrate-N,0,5.801682340878285
y_hat_train,Nitrate-N,0,8.89463351118894
y_hat_train,Nitrate-N,0,4.303222788196652
y_hat_train,Nitrate-N,0,2.999897493906827
y_hat_train,Nitrate-N,0,11.232596260535171
y_hat_train,Nitrate-N,0,9.680515724561287
y_hat_train,Nitrate-N,0,4.630938023947109
y_hat_train,Nitrate-N,0,5.509755320818089
y_hat_train,Nitrate-N,0,5.360347044201476
y_hat_train,Nitrate-N,0,7.332751398308134
y_hat_train,Nitrate-N,0,8.869863325562942
y_hat_train,Nitrate-N,0,4.769711367664853
y_hat_train,Nitrate-N,0,5.221384973552805
y_hat_train,Nitrate-N,0,6.317809383208269
y_hat_train,Nitrate-N,0,7.0243795710332115
y_hat_train,Nitrate-N,0,8.26295548945203
y_hat_train,Nitrate-N,0,5.491665047974639
y_hat_train,Nitrate-N,0,8.059786148894922
y_hat_train,Nitrate-N,0,6.706380669117614
y_hat_train,Nitrate-N,0,1.910417889864225
y_hat_train,Nitrate-N,0,2.9083686925728864
y_hat_train,Nitrate-N,0,7.7027487796272975
y_hat_train,Nitrate-N,0,4.519481769111501
y_hat_train,Nitrate-N,0,7.796635730771203
y_hat_train,Nitrate-N,0,4.777233003366674
y_hat_train,Nitrate-N,0,2.6193163568871807
y_hat_train,Nitrate-N,0,6.243011981439487
y_hat_train,Nitrate-N,0,3.5379758292360464
y_hat_train,Nitrate-N,0,7.345812402177746
y_hat_train,Nitrate-N,0,5.968914450091807
y_hat_train,Nitrate-N,0,6.604542772372032
y_hat_train,Nitrate-N,0,10.222525780520872
y_hat_train,Nitrate-N,0,4.669970198116221
y_hat_train,Nitrate-N,0,7.747222042731554
y_hat_train,Nitrate-N,0,7.635042954657077
y_hat_train,Nitrate-N,0,6.331989466604977
y_true_train,Nitrate-N,0,1.42
y_true_train,Nitrate-N,0,0.113333333
y_true_train,Nitrate-N,0,0.206
y_true_train,Nitrate-N,0,0.219
y_true_train,Nitrate-N,0,0.090666667
y_true_train,Nitrate-N,0,0.336795488
y_true_train,Nitrate-N,0,2.243
y_true_train,Nitrate-N,0,0.142333333
y_true_train,Nitrate-N,0,0.273394835
y_true_train,Nitrate-N,0,0.138666667
y_true_train,Nitrate-N,0,3.177604111
y_true_train,Nitrate-N,0,3.665666667
y_true_train,Nitrate-N,0,3.105
y_true_train,Nitrate-N,0,0.113333333
y_true_train,Nitrate-N,0,1.965431456
y_true_train,Nitrate-N,0,2.300666667
y_true_train,Nitrate-N,0,0.272591332
y_true_train,Nitrate-N,0,0.233666667
y_true_train,Nitrate-N,0,2.438333333
y_true_train,Nitrate-N,0,3.498
y_true_train,Nitrate-N,0,0.08225616
y_true_train,Nitrate-N,0,0.152333333
y_true_train,Nitrate-N,0,2.539583346
y_true_train,Nitrate-N,0,0.141333333
y_true_train,Nitrate-N,0,2.524276858
y_true_train,Nitrate-N,0,1.687
y_true_train,Nitrate-N,0,3.455
y_true_train,Nitrate-N,0,2.611691805
y_true_train,Nitrate-N,0,0.140333333
y_true_train,Nitrate-N,0,1.146333333
y_true_train,Nitrate-N,0,0.155666667
