output,species,iteration,value
y_hat_test,Ammonium-N,0,0.17291503550323356
y_hat_test,Ammonium-N,0,0.07847946486681238
y_hat_test,Ammonium-N,0,0.12521291610150984
y_hat_test,Ammonium-N,0,0.02925791579827769
y_hat_test,Ammonium-N,0,0.2693942858386037
y_hat_test,Ammonium-N,0,0.17319282948522446
y_hat_test,Ammonium-N,0,0.09910848182711236
y_hat_test,Ammonium-N,0,0.12790994144537815
y_hat_test,Ammonium-N,0,0.14524127537566342
y_hat_test,Ammonium-N,0,0.2000418238114196
y_hat_test,Ammonium-N,0,0.24614597582203085
y_hat_test,Ammonium-N,0,0.07484817252365475
y_hat_test,Ammonium-N,0,0.05880068134605867
y_hat_train,Ammonium-N,0,0.38402886671711
y_hat_train,Ammonium-N,0,0.10099289290225089
y_hat_train,Ammonium-N,0,-0.07718751521068958
y_hat_train,Ammonium-N,0,0.15225337623674975
y_hat_train,Ammonium-N,0,0.11444922369452735
y_hat_train,Ammonium-N,0,0.08388743985984942
y_hat_train,Ammonium-N,0,0.2226502577569207
y_hat_train,Ammonium-N,0,0.15664041613503338
y_hat_train,Ammonium-N,0,0.022156509877594863
y_hat_train,Ammonium-N,0,0.061869385967192984
y_hat_train,Ammonium-N,0,0.0530884718912319
y_hat_train,Ammonium-N,0,0.08163189271564181
y_hat_train,Ammonium-N,0,-0.0009705413736206397
y_hat_train,Ammonium-N,0,0.10457458968224505
y_hat_train,Ammonium-N,0,0.04405927493541162
y_hat_train,Ammonium-N,0,-0.009505253133848715
y_hat_train,Ammonium-N,0,0.23426527862385493
y_hat_train,Ammonium-N,0,0.03943082530551274
y_hat_train,Ammonium-N,0,0.01726996187801262
y_hat_train,Ammonium-N,0,0.024643818391647934
y_hat_train,Ammonium-N,0,0.019428383261369336
y_hat_train,Ammonium-N,0,0.0659351635459813
y_hat_train,Ammonium-N,0,-0.03407812419699717
y_hat_train,Ammonium-N,0,0.13025674203922866
y_hat_train,Ammonium-N,0,-0.01889679957847548
y_hat_train,Ammonium-N,0,0.1365534082128509
y_hat_train,Ammonium-N,0,0.11894070608134742
y_hat_train,Ammonium-N,0,0.13650884635482857
y_hat_train,Ammonium-N,0,0.35040138644012303
y_hat_train,Ammonium-N,0,0.26325974598710455
y_true_train,Ammonium-N,0,0.4519
y_true_train,Ammonium-N,0,0.067433333
y_true_train,Ammonium-N,0,0.016837803
y_true_train,Ammonium-N,0,0.139659083
y_true_train,Ammonium-N,0,0.139659083
y_true_train,Ammonium-N,0,0.139659083
y_true_train,Ammonium-N,0,0.1929
y_true_train,Ammonium-N,0,0.041333333
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.013333333
y_true_train,Ammonium-N,0,0.110989659
y_true_train,Ammonium-N,0,0.0254
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.122533333
y_true_train,Ammonium-N,0,0.0184
y_true_train,Ammonium-N,0,0.040266667
y_true_train,Ammonium-N,0,0.289433333
y_true_train,Ammonium-N,0,0.050533333
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.040266667
y_true_train,Ammonium-N,0,0.016837803
y_true_train,Ammonium-N,0,0.0184
y_true_train,Ammonium-N,0,0.016837803
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.017558316
y_true_train,Ammonium-N,0,0.041333333
y_true_train,Ammonium-N,0,0.064266667
y_true_train,Ammonium-N,0,0.067433333
y_true_train,Ammonium-N,0,0.4519
y_true_train,Ammonium-N,0,0.289433333
y_true_test,Ammonium-N,0,0.027433333
y_true_test,Ammonium-N,0,0.122533333
y_true_test,Ammonium-N,0,0.0064
y_true_test,Ammonium-N,0,0.013333333
y_true_test,Ammonium-N,0,0.010523756
y_true_test,Ammonium-N,0,0.050533333
y_true_test,Ammonium-N,0,0.0064
y_true_test,Ammonium-N,0,0.017558316
y_true_test,Ammonium-N,0,0.1929
y_true_test,Ammonium-N,0,0.0254
y_true_test,Ammonium-N,0,0.027433333
y_true_test,Ammonium-N,0,0.0235
y_true_test,Ammonium-N,0,0.064266667
test_ind,Ammonium-N,0,272.0
test_ind,Ammonium-N,0,308.0
test_ind,Ammonium-N,0,254.0
test_ind,Ammonium-N,0,38.0
test_ind,Ammonium-N,0,70.0
test_ind,Ammonium-N,0,235.0
test_ind,Ammonium-N,0,257.0
test_ind,Ammonium-N,0,72.0
test_ind,Ammonium-N,0,367.0
test_ind,Ammonium-N,0,278.0
test_ind,Ammonium-N,0,270.0
test_ind,Ammonium-N,0,88.0
test_ind,Ammonium-N,0,385.0
train_ind,Ammonium-N,0,16.0
train_ind,Ammonium-N,0,397.0
train_ind,Ammonium-N,0,80.0
train_ind,Ammonium-N,0,77.0
train_ind,Ammonium-N,0,90.0
train_ind,Ammonium-N,0,78.0
train_ind,Ammonium-N,0,370.0
train_ind,Ammonium-N,0,59.0
train_ind,Ammonium-N,0,75.0
train_ind,Ammonium-N,0,40.0
train_ind,Ammonium-N,0,79.0
train_ind,Ammonium-N,0,285.0
train_ind,Ammonium-N,0,76.0
train_ind,Ammonium-N,0,306.0
train_ind,Ammonium-N,0,50.0
train_ind,Ammonium-N,0,297.0
train_ind,Ammonium-N,0,11.0
train_ind,Ammonium-N,0,243.0
train_ind,Ammonium-N,0,74.0
train_ind,Ammonium-N,0,292.0
train_ind,Ammonium-N,0,92.0
train_ind,Ammonium-N,0,43.0
train_ind,Ammonium-N,0,91.0
train_ind,Ammonium-N,0,89.0
train_ind,Ammonium-N,0,86.0
train_ind,Ammonium-N,0,66.0
train_ind,Ammonium-N,0,383.0
train_ind,Ammonium-N,0,395.0
train_ind,Ammonium-N,0,19.0
train_ind,Ammonium-N,0,1.0
test_rsq,Ammonium-N,0,-5.267177352491247
train_rsq,Ammonium-N,0,0.7806907167866044
test_rmse,Ammonium-N,0,0.13114298426248502
train_rmse,Ammonium-N,0,0.05610613825092393
test_mape,Ammonium-N,0,696.795029476942
train_mape,Ammonium-N,0,126.78281676411562
n_comp,Ammonium-N,0,6.0
y_hat_test,Ammonium-N,1,0.01670006552943354
y_hat_test,Ammonium-N,1,0.010686340132543881
y_hat_test,Ammonium-N,1,0.09589056836326948
y_hat_test,Ammonium-N,1,0.11507855200413802
y_hat_test,Ammonium-N,1,0.05104004137998294
y_hat_test,Ammonium-N,1,0.05856040895359356
y_hat_test,Ammonium-N,1,0.02380818296630232
y_hat_test,Ammonium-N,1,0.019145747145630138
y_hat_test,Ammonium-N,1,0.1165963475284828
y_hat_test,Ammonium-N,1,0.01605197058267597
y_hat_test,Ammonium-N,1,0.0508517158510708
y_hat_test,Ammonium-N,1,0.03138561279042873
y_hat_test,Ammonium-N,1,0.06383415381342715
y_hat_train,Ammonium-N,1,-0.012755265737596083
y_hat_train,Ammonium-N,1,0.11742593989077002
y_hat_train,Ammonium-N,1,0.0464276531075599
y_hat_train,Ammonium-N,1,0.12882753430508748
