output,species,iteration,value
y_hat_test,Ammonium-N,0,0.07288011000433668
y_hat_test,Ammonium-N,0,0.03658825714190675
y_hat_test,Ammonium-N,0,0.06629557527108026
y_hat_test,Ammonium-N,0,0.04967831866062851
y_hat_test,Ammonium-N,0,0.0762596300109602
y_hat_test,Ammonium-N,0,0.056101616176093536
y_hat_test,Ammonium-N,0,0.03176258807498605
y_hat_test,Ammonium-N,0,0.056013046455645865
y_hat_test,Ammonium-N,0,0.03398988052639184
y_hat_test,Ammonium-N,0,0.053310035681269005
y_hat_test,Ammonium-N,0,0.058462278421815395
y_hat_test,Ammonium-N,0,0.09484097047683585
y_hat_test,Ammonium-N,0,0.013127221672752862
y_hat_test,Ammonium-N,0,0.046191291644093656
y_hat_train,Ammonium-N,0,0.06447337386394172
y_hat_train,Ammonium-N,0,0.07736691601277411
y_hat_train,Ammonium-N,0,0.0652548984067375
y_hat_train,Ammonium-N,0,0.0696040521210122
y_hat_train,Ammonium-N,0,0.06610943672635758
y_hat_train,Ammonium-N,0,0.038492722957842083
y_hat_train,Ammonium-N,0,0.04382756471484126
y_hat_train,Ammonium-N,0,0.07639623947229762
y_hat_train,Ammonium-N,0,0.06056640562790595
y_hat_train,Ammonium-N,0,0.02782906713295879
y_hat_train,Ammonium-N,0,0.06915554723235025
y_hat_train,Ammonium-N,0,0.051127792329329354
y_hat_train,Ammonium-N,0,0.06285259126545165
y_hat_train,Ammonium-N,0,0.08403335835817868
y_hat_train,Ammonium-N,0,0.05478514344487664
y_hat_train,Ammonium-N,0,0.11557513613105659
y_hat_train,Ammonium-N,0,0.1114518980091754
y_hat_train,Ammonium-N,0,0.07407155172036192
y_hat_train,Ammonium-N,0,0.05082974409882307
y_hat_train,Ammonium-N,0,0.06362107199927523
y_hat_train,Ammonium-N,0,0.06323434867719338
y_hat_train,Ammonium-N,0,0.05121875001537756
y_hat_train,Ammonium-N,0,0.014655607583138802
y_hat_train,Ammonium-N,0,0.09801534584554195
y_hat_train,Ammonium-N,0,0.0353683676433717
y_hat_train,Ammonium-N,0,0.07636694070326215
y_hat_train,Ammonium-N,0,0.07350130802335222
y_hat_train,Ammonium-N,0,0.08862011125465914
y_hat_train,Ammonium-N,0,0.02315721563932395
y_hat_train,Ammonium-N,0,0.05372877064158979
y_hat_train,Ammonium-N,0,0.09674892761438725
y_hat_train,Ammonium-N,0,0.049704005733254474
y_true_train,Ammonium-N,0,0.0229
y_true_train,Ammonium-N,0,0.104686248
y_true_train,Ammonium-N,0,0.020533333
y_true_train,Ammonium-N,0,0.107070292
y_true_train,Ammonium-N,0,0.020533333
y_true_train,Ammonium-N,0,0.110066667
y_true_train,Ammonium-N,0,0.110066667
y_true_train,Ammonium-N,0,0.043166667
y_true_train,Ammonium-N,0,0.026887548
y_true_train,Ammonium-N,0,0.006266667
y_true_train,Ammonium-N,0,0.107070292
y_true_train,Ammonium-N,0,0.001266667
y_true_train,Ammonium-N,0,0.03337575
y_true_train,Ammonium-N,0,0.042033333
